x1,x2,x3,label
0.888,0.3536,0.9696,1
0.0312,0.9836,0.6265,0
0.571,0.3896,0.5952,1
0.7515,0.7053,0.3145,1
0.4139,0.4971,0.2376,0
0.9507,0.2161,0.3023,1
0.7849,0.7778,0.9134,1
0.0249,0.4827,0.5001,0
0.9236,0.7324,0.5236,1
0.1433,0.8718,0.8221,1
0.6767,0.1327,0.7246,0
0.7137,0.5223,0.0041,1
0.6871,0.5943,0.0871,1
0.0461,0.5206,0.659,0
0.5776,0.3121,0.8921,1
0.1925,0.2766,0.3191,0
0.1177,0.1493,0.2736,0
0.6229,0.5141,0.2066,0
0.3185,0.1416,0.7044,0
0.2448,0.0712,0.6133,0
0.4436,0.1301,0.4707,0
0.1059,0.0538,0.4265,0
0.5961,0.5928,0.8362,1
0.6163,0.3124,0.8174,1
0.6709,0.5335,0.9737,1
0.4657,0.1318,0.8129,0
0.4683,0.4556,0.6845,0
0.4654,0.2317,0.2238,0
0.6169,0.9129,0.3921,1
0.6652,0.7888,0.8824,1
0.0303,0.4753,0.3514,0
0.1708,0.7679,0.6044,0
0.1029,0.8176,0.7968,0
0.6495,0.7924,0.5327,1
0.4134,0.6209,0.5479,1
0.3838,0.3407,0.8139,0
0.7843,0.4354,0.7873,1
0.2362,0.6626,0.0779,0
0.5742,0.4866,0.5922,1
0.5551,0.822,0.1762,1
0.0696,0.1087,0.8141,0
0.3789,0.4943,0.6602,0
0.817,0.8873,0.9033,1
0.0002,0.1467,0.1492,0
0.39,0.5779,0.1957,0
0.3166,0.5703,0.9132,0
0.9433,0.4347,0.9826,1
0.0893,0.0081,0.9864,0
0.1276,0.2942,0.3692,0
0.0531,0.7034,0.8208,0
0.8612,0.8657,0.2352,1
0.3943,0.3181,0.3828,0
0.5451,0.6625,0.4749,1
0.3846,0.9245,0.84,1
0.9975,0.6701,0.1343,1
0.0157,0.7213,0.4867,0
0.9902,0.0847,0.6422,1
0.456,0.7889,0.6044,1
0.1798,0.5094,0.5521,0
0.3553,0.1858,0.6046,0
0.8468,0.2367,0.5017,1
0.5462,0.367,0.9782,1
0.7049,0.1132,0.4815,0
0.1421,0.7313,0.9836,1
0.7789,0.4649,0.0782,1
0.0884,0.4725,0.7417,0
0.0781,0.6337,0.7981,0
0.0528,0.3435,0.7785,0
0.5127,0.4692,0.7338,1
0.9606,0.7982,0.2892,1
0.9229,0.7494,0.727,1
0.0614,0.4732,0.1691,0
0.9904,0.8089,0.6243,1
0.0825,0.5056,0.8514,0
0.1325,0.281,0.8579,0
0.1115,0.1746,0.5918,0
0.4467,0.8078,0.2613,1
0.4849,0.7994,0.862,1
0.0844,0.1451,0.9339,0
0.4959,0.9936,0.7704,1
0.4402,0.6376,0.2109,0
0.3451,0.6423,0.7555,0
0.1676,0.3987,0.3014,0
0.7524,0.5325,0.3798,1
0.4746,0.1451,0.8703,0
0.9272,0.4488,0.6785,1
0.6829,0.041,0.9177,1
0.9562,0.4318,0.918,1
0.335,0.2671,0.0983,0
0.3912,0.7732,0.7491,1
0.5887,0.1949,0.3374,0
0.1799,0.5476,0.6728,0
0.012,0.0977,0.1039,0
0.2194,0.2833,0.1931,0
0.0919,0.9385,0.6566,0
0.9505,0.6381,0.7081,1
0.8564,0.1299,0.6564,1
0.5661,0.9672,0.896,1
0.2533,0.467,0.9362,0
0.9227,0.2764,0.427,1
0.7699,0.3234,0.162,0
0.7771,0.3828,0.3327,0
0.9556,0.2647,0.4406,1
0.9286,0.6103,0.1784,1
0.1439,0.7687,0.2184,0
0.9126,0.7154,0.1033,1
0.5713,0.2506,0.4459,0
0.1489,0.6403,0.9329,0
0.2664,0.7001,0.9046,1
0.5154,0.9399,0.4907,1
0.844,0.7809,0.7854,1
0.0033,0.9542,0.818,0
0.5672,0.935,0.3589,1
0.4006,0.6323,0.9588,1
0.5346,0.9609,0.0805,1
0.7665,0.6478,0.1766,1
0.3842,0.191,0.6959,0
0.6306,0.3593,0.0849,0
0.7353,0.1399,0.1931,0
0.5929,0.4892,0.063,0
0.3077,0.5339,0.8343,0
0.9958,0.037,0.0561,1
0.0428,0.1182,0.8071,0
0.4584,0.6781,0.8743,1
0.5793,0.9248,0.0369,1
0.6538,0.4712,0.918,1
0.7013,0.1305,0.1722,0
0.3073,0.7937,0.4562,0
0.591,0.8178,0.1063,1
0.7992,0.2206,0.8045,1
0.8115,0.9822,0.6784,1
0.9759,0.576,0.1373,1
0.7931,0.7642,0.5931,1
0.1207,0.1412,0.4152,0
0.5534,0.4387,0.9257,1
0.1,0.8474,0.6124,0
0.0156,0.487,0.0063,0
0.0891,0.6518,0.8869,0
0.8074,0.7726,0.6924,1
0.6398,0.5231,0.412,1
0.6105,0.0376,0.18,0
0.9503,0.6272,0.7826,1
0.0046,0.2356,0.1175,0
0.0957,0.3619,0.7611,0
0.2193,0.7703,0.6593,0
