time,value
1,89.89
2,109.85
3,109.53
4,96.96
5,101.28
6,114.19
7,119.68
8,116.24
9,110.65
10,119.3
11,117.99
12,117.32
13,112.13
14,125.53
15,120.45
16,127.78
17,114.49
18,139.09
19,129.71
20,136.64
21,149.8
22,152.03
23,146.7
24,135.03
25,144.29
26,149.2
27,150.75
28,151.52
29,158.76
30,159.27
31,165.55
32,164.18
33,153.84
34,158.65
35,162.9
36,168.1
37,162.67
38,168.31
39,167.55
40,167.72
41,177.1
42,182.88
43,191.58
44,187.38
45,177.86
46,192.97
47,173.16
48,189.72
49,183.73
50,185.59
51,207.65
52,190.24
53,197.37
54,201.93
55,198.8
56,189.91
57,205.22
58,201.66
59,205.35
60,207.81
