x1,x2,x3,label
0.6575,0.1708,0.7417,0
0.5467,0.4762,0.29,1
0.6675,0.9591,0.493,1
0.6677,0.3912,0.6977,1
0.1073,0.4169,0.4248,0
0.028,0.4571,0.5642,0
0.011,0.3028,0.6451,0
0.8932,0.6199,0.0426,1
0.9071,0.9628,0.4679,1
0.7231,0.2769,0.9818,1
0.3577,0.8558,0.5032,1
0.3488,0.7062,0.3906,1
0.0628,0.6559,0.3519,0
0.7192,0.3393,0.7152,1
0.7867,0.2783,0.7626,1
0.3029,0.3939,0.9162,0
0.6451,0.3765,0.4718,1
0.659,0.576,0.9274,1
0.7754,0.5254,0.1294,1
0.3241,0.9552,0.3481,1
0.6175,0.4038,0.0449,1
0.852,0.1592,0.0965,1
0.1062,0.9342,0.4764,1
0.7599,0.9813,0.8086,1
0.7326,0.2366,0.8998,1
0.174,0.8925,0.7558,1
0.4201,0.0644,0.6119,0
0.1145,0.8468,0.0729,1
0.7634,0.6065,0.8407,1
0.9236,0.3212,0.6987,1
0.3776,0.9889,0.5738,1
0.1997,0.2525,0.4375,0
0.2861,0.2012,0.1621,0
0.8138,0.8087,0.1923,1
0.5821,0.6291,0.6687,1
0.2035,0.81,0.8933,1
0.3596,0.408,0.5466,0
0.072,0.1853,0.73,0
0.911,0.6422,0.4962,1
0.8324,0.5704,0.4737,1
0.3521,0.6185,0.5587,1
0.1379,0.0672,0.4275,0
0.3761,0.0709,0.0781,0
0.7824,0.2982,0.1179,1
0.2306,0.6015,0.3309,0
0.224,0.9406,0.9223,1
0.2514,0.7033,0.068,1
0.8715,0.9681,0.0748,1
0.5754,0.8532,0.9318,1
0.5,0.3992,0.0566,0
0.6975,0.1109,0.471,0
0.9174,0.2631,0.03,1
0.338,0.2609,0.3345,0
0.7647,0.1393,0.5471,0
0.7339,0.9242,0.6633,1
0.8783,0.2356,0.0729,1
0.948,0.9043,0.7031,1
0.7656,0.0354,0.9811,0
0.9499,0.5981,0.6124,1
0.0806,0.5514,0.9466,0
0.2705,0.0417,0.0356,0
0.5076,0.6503,0.4315,1
0.3034,0.8498,0.9715,1
0.0214,0.0554,0.7736,0
0.8114,0.5342,0.8603,1
0.6819,0.7379,0.5525,1
0.0521,0.7657,0.6954,0
0.4297,0.4268,0.1378,0
0.438,0.8971,0.9825,1
0.3677,0.1936,0.4365,0
0.0579,0.232,0.5886,0
0.2271,0.7475,0.8883,1
0.7932,0.568,0.9909,1
0.0149,0.7198,0.8126,0
0.0766,0.1267,0.1806,0
0.0437,0.3497,0.6552,0
0.2442,0.2924,0.6061,0
0.4787,0.1224,0.0768,0
0.2502,0.5436,0.4949,0
0.7352,0.357,0.9151,1
