x1,x2,x3,label
0.8703,0.5461,0.9063,1
0.6579,0.1004,0.4036,0
0.9308,0.3119,0.878,1
0.093,0.3333,0.7411,0
0.1369,0.0943,0.9447,0
0.004,0.8914,0.0425,0
0.8095,0.406,0.1069,1
0.1588,0.9397,0.895,1
0.2476,0.3341,0.1851,0
0.9182,0.7007,0.1039,1
0.8122,0.4703,0.7287,1
0.1267,0.7379,0.8222,0
0.6824,0.2386,0.4079,0
0.6814,0.8751,0.5767,1
0.7299,0.8418,0.4927,1
0.2379,0.4297,0.6133,0
0.3884,0.825,0.2927,1
0.1362,0.9737,0.4115,1
0.5783,0.2694,0.6164,0
0.8896,0.7069,0.255,1
0.6053,0.0015,0.1146,0
0.5907,0.7468,0.6913,1
0.5766,0.8144,0.5802,1
0.9672,0.2488,0.7111,1
0.2309,0.25,0.0466,0
0.0722,0.3947,0.9652,0
0.2765,0.1126,0.0028,0
0.2102,0.1108,0.6962,0
0.4134,0.3414,0.4471,0
0.147,0.648,0.1232,0
0.3688,0.9773,0.3787,1
0.5189,0.2751,0.6631,0
0.8578,0.1459,0.3892,1
0.188,0.6659,0.9468,0
0.2428,0.4889,0.2739,0
0.0489,0.0031,0.4636,0
0.0614,0.8889,0.0596,1
0.4587,0.2891,0.4134,0
0.8813,0.1407,0.2793,1
0.4262,0.0138,0.7857,0
0.5296,0.5865,0.3478,1
0.6443,0.4493,0.6884,1
0.2756,0.4768,0.3906,0
0.1605,0.2206,0.9048,0
0.0171,0.2344,0.4859,0
0.2189,0.9485,0.5097,1
0.934,0.1098,0.7212,1
0.522,0.6899,0.2718,1
0.6583,0.7995,0.7464,1
0.0203,0.5672,0.8848,0
0.2412,0.2828,0.8097,0
0.7577,0.6684,0.556,1
0.6136,0.799,0.5299,1
0.1829,0.497,0.5283,0
0.1491,0.0196,0.7685,0
0.7697,0.4197,0.3413,1
0.481,0.1874,0.7326,0
0.7209,0.4248,0.696,1
0.2719,0.1995,0.402,0
0.8419,0.6016,0.564,1
0.0961,0.4719,0.1963,0
0.2449,0.0458,0.3361,0
0.4714,0.2412,0.3334,0
0.2276,0.9575,0.0164,1
0.0763,0.5652,0.137,0
0.4107,0.0439,0.4671,0
0.535,0.7386,0.1026,1
0.9898,0.5486,0.7184,1
0.2207,0.2145,0.3709,0
0.0366,0.0117,0.5875,0
0.1203,0.2804,0.5886,0
0.4498,0.2091,0.3408,0
0.2367,0.1188,0.8054,0
0.7911,0.5369,0.6291,1
0.7609,0.0442,0.689,0
0.5411,0.6573,0.6959,1
0.0064,0.842,0.8171,0
0.2164,0.4118,0.3307,0
0.0887,0.5829,0.9248,0
0.2777,0.4271,0.349,0
