x1,x2,x3,label
0.31,0.2685,0.2965,0
0.972,0.8726,0.2708,1
0.6694,0.6682,0.1573,1
0.2795,0.8085,0.7539,1
0.0073,0.6009,0.4392,0
0.351,0.8944,0.0909,1
0.6683,0.5148,0.6574,1
0.9799,0.4165,0.274,1
0.6127,0.576,0.1031,1
0.495,0.1924,0.5392,0
0.7067,0.8973,0.4675,1
0.3199,0.8308,0.1342,1
0.8388,0.9901,0.6844,1
0.6236,0.5086,0.8247,1
0.3855,0.0761,0.9018,0
0.7799,0.0272,0.1996,0
0.3833,0.6165,0.1812,1
0.5779,0.9901,0.0352,1
0.9568,0.2419,0.3822,1
0.3816,0.5831,0.9365,1
0.4234,0.1733,0.1679,0
0.347,0.2317,0.3837,0
0.5687,0.0929,0.0654,0
0.8227,0.7824,0.1919,1
0.6768,0.8358,0.793,1
0.7834,0.3055,0.2804,1
0.6309,0.1488,0.0022,0
0.4246,0.1777,0.7447,0
0.2702,0.1913,0.806,0
0.6745,0.5388,0.2301,1
0.2381,0.2087,0.3709,0
0.9391,0.7376,0.3812,1
0.9025,0.2544,0.0373,1
0.4347,0.8084,0.8119,1
0.1757,0.2491,0.562,0
0.3837,0.6202,0.1336,1
0.3298,0.0208,0.269,0
0.34,0.8329,0.5776,1
0.3474,0.9741,0.8526,1
0.6336,0.9359,0.807,1
0.9887,0.6088,0.8791,1
0.9212,0.8435,0.8656,1
0.2487,0.4269,0.9043,0
0.8736,0.4219,0.3268,1
0.3227,0.0961,0.8619,0
0.4049,0.0448,0.4579,0
0.8026,0.523,0.0045,1
0.762,0.7982,0.3402,1
0.1364,0.5087,0.4553,0
0.9346,0.986,0.7396,1
0.6105,0.402,0.3773,1
0.9629,0.4297,0.589,1
0.6113,0.2582,0.0164,0
0.7008,0.4576,0.8534,1
0.6425,0.8722,0.8665,1
0.4332,0.0515,0.8463,0
0.6212,0.9082,0.0808,1
0.9634,0.2149,0.5236,1
0.7961,0.9511,0.9323,1
0.448,0.3367,0.4804,0
0.3585,0.4321,0.3258,0
0.6526,0.0766,0.728,0
0.4224,0.02,0.0959,0
0.4914,0.2925,0.563,0
0.7232,0.1807,0.2841,0
0.2075,0.9656,0.6107,1
0.6397,0.4349,0.5171,1
0.0186,0.9764,0.9264,1
0.3242,0.9093,0.6457,1
0.7815,0.4085,0.7074,1
0.791,0.2293,0.3432,1
0.0456,0.8248,0.7494,0
0.2643,0.1779,0.561,0
0.0721,0.8314,0.5371,0
0.1678,0.3311,0.4457,0
0.3007,0.0333,0.1301,0
0.0557,0.8622,0.8593,0
0.5389,0.8713,0.999,1
0.4278,0.1724,0.3764,0
0.8309,0.5142,0.7896,1
