x1,x2,x3,label
0.3438,0.1305,0.341,0
0.5377,0.3918,0.7785,0
0.5988,0.0903,0.5058,0
0.2424,0.7154,0.0486,1
0.7855,0.8615,0.2649,1
0.5311,0.828,0.3363,1
0.5317,0.7799,0.3406,1
0.1066,0.9618,0.6318,1
0.7647,0.5203,0.0098,1
0.1667,0.3501,0.311,0
0.1432,0.8022,0.324,0
0.9744,0.4102,0.9934,1
0.9706,0.3652,0.8007,1
0.4797,0.8596,0.9512,1
0.5506,0.6375,0.4466,1
0.3969,0.6787,0.042,1
0.7221,0.951,0.1688,1
0.2491,0.0752,0.4805,0
0.902,0.093,0.9688,1
0.9036,0.5602,0.9645,1
0.9225,0.9514,0.7757,1
0.6618,0.5399,0.472,1
0.5245,0.484,0.9197,1
0.5194,0.203,0.7976,0
0.0763,0.8014,0.8056,0
0.5674,0.7972,0.1737,1
0.8174,0.4739,0.6665,1
0.3923,0.3004,0.4271,0
0.2345,0.7602,0.5419,1
0.5066,0.471,0.0194,1
0.0786,0.0413,0.5271,0
0.3122,0.6848,0.1501,1
0.0212,0.6811,0.7306,0
0.6561,0.0036,0.7232,0
0.4891,0.2976,0.9471,0
0.0668,0.2754,0.4983,0
0.1375,0.8649,0.0682,1
0.8684,0.2691,0.4151,1
0.8744,0.3195,0.7397,1
0.7799,0.3555,0.4058,1
0.6805,0.4473,0.2758,1
0.8252,0.2298,0.7213,1
0.0554,0.5346,0.767,0
0.2924,0.5429,0.9389,0
0.1886,0.0134,0.9676,0
0.5077,0.4934,0.9021,1
0.6888,0.2162,0.5349,0
0.6443,0.4262,0.7956,1
0.8644,0.3356,0.9778,1
0.1535,0.1346,0.4854,0
0.2679,0.6637,0.3422,0
0.7037,0.621,0.4603,1
0.0957,0.0443,0.1069,0
0.4323,0.6093,0.847,1
0.4834,0.1322,0.6174,0
0.3504,0.5715,0.0462,0
0.8484,0.1547,0.7238,1
0.3528,0.2383,0.705,0
0.9695,0.45,0.0038,1
0.2687,0.6474,0.1977,0
0.4766,0.3405,0.1615,0
0.9095,0.3437,0.9647,1
0.6316,0.372,0.3227,1
0.1249,0.4294,0.211,0
0.6044,0.4436,0.2824,1
0.1649,0.0194,0.7876,0
0.3342,0.9363,0.3027,1
0.8592,0.9949,0.9632,1
0.9147,0.299,0.8107,1
0.8267,0.5828,0.1585,1
0.1303,0.6013,0.5171,0
0.5454,0.6931,0.1778,1
0.6531,0.9525,0.9678,1
0.9149,0.7276,0.2356,1
0.924,0.4342,0.7894,1
0.48,0.8819,0.2579,1
0.1913,0.3057,0.6297,0
0.3426,0.3043,0.8967,0
0.5189,0.1648,0.9745,0
0.3764,0.4766,0.3376,0
