time,value
1,101.16
2,99.74
3,125.69
4,108.18
5,121.7
6,101.98
7,128.35
8,105.42
9,113.98
10,117.28
11,113.63
12,118.26
13,136.67
14,121.52
15,130.28
16,128.21
17,115.19
18,130.2
19,122.5
20,139.51
21,139.28
22,144.42
23,142.22
24,157.52
25,150.51
26,160.14
27,149.75
28,132.5
29,168.12
30,155.68
31,154.88
32,164.04
33,153.31
34,157.71
35,177.08
36,172.76
37,159.42
38,181.3
39,178.6
40,165.6
41,179.8
42,190.31
43,175.84
44,173.67
45,183.98
46,186.8
47,181.25
48,178.86
49,181.1
50,188.72
51,198.27
52,190.5
53,196.77
54,198.34
55,197.75
56,194.1
57,209.8
58,195.26
59,217.76
60,212.98
