x1,x2,x3,label
0.2012,0.574,0.2865,0
0.4257,0.8788,0.9475,1
0.7522,0.3777,0.2564,1
0.0335,0.5559,0.6788,0
0.672,0.695,0.5636,1
0.7358,0.8649,0.6965,1
0.8359,0.3599,0.3147,1
0.2707,0.0754,0.7514,0
0.0546,0.6456,0.9372,0
0.4577,0.1512,0.4288,0
0.9496,0.504,0.6248,1
0.6531,0.45,0.6112,1
0.317,0.4545,0.0524,0
0.967,0.2787,0.2128,1
0.8435,0.4312,0.266,1
0.6758,0.5976,0.9983,1
0.9263,0.2587,0.2468,1
0.9365,0.5466,0.2704,1
0.0027,0.0393,0.6283,0
0.2009,0.3446,0.8018,0
0.838,0.3733,0.7864,1
0.1784,0.4321,0.6972,0
0.5895,0.7569,0.8337,1
0.7735,0.9405,0.2206,1
0.969,0.7253,0.4696,1
0.2083,0.3423,0.4963,0
0.141,0.3894,0.4838,0
0.1846,0.0724,0.8526,0
0.0049,0.5526,0.3414,0
0.6597,0.8625,0.3489,1
0.587,0.3674,0.1419,1
0.3049,0.3404,0.3884,0
0.0197,0.5803,0.7845,0
0.8541,0.8755,0.3336,1
0.4911,0.5377,0.4073,1
0.6057,0.6978,0.2055,1
0.2022,0.91,0.0732,1
0.9102,0.2459,0.6369,1
0.3384,0.189,0.5883,0
0.3232,0.7323,0.5361,1
0.6165,0.6797,0.998,1
0.4438,0.7201,0.4412,1
0.9653,0.7364,0.8013,1
0.4262,0.0249,0.2724,0
0.3773,0.8316,0.7872,1
0.2475,0.4451,0.9929,0
0.7839,0.7333,0.0793,1
0.8677,0.4882,0.3089,1
0.9501,0.197,0.5598,1
0.0824,0.7282,0.8259,0
0.9032,0.2384,0.9104,1
0.4584,0.1865,0.0793,0
0.3578,0.478,0.4898,0
0.3011,0.0062,0.325,0
0.9722,0.8333,0.4371,1
0.1219,0.1492,0.7603,0
0.7244,0.3076,0.2741,1
0.489,0.3615,0.2339,0
0.0635,0.1088,0.734,0
0.5031,0.4701,0.4183,1
0.7088,0.686,0.172,1
0.633,0.1364,0.7138,0
0.5762,0.5852,0.801,1
0.8971,0.8172,0.1592,1
0.314,0.7855,0.0143,1
0.6987,0.1229,0.8612,0
0.1386,0.696,0.2895,0
0.2731,0.5115,0.923,0
0.3511,0.4534,0.7951,0
0.0711,0.83,0.6668,0
0.1105,0.9506,0.6499,1
0.3799,0.0071,0.3157,0
0.5481,0.8378,0.5767,1
0.8919,0.4019,0.8188,1
0.3101,0.4402,0.4007,0
0.9206,0.8192,0.9461,1
0.7518,0.3995,0.3724,1
0.4738,0.433,0.4009,0
0.2517,0.9727,0.0469,1
0.3528,0.0084,0.6712,0
