x1,x2,x3
52.25,33.53,71.69
56.16,29.94,88.63
49.92,23.56,73.67
39.75,29.95,75.83
51.16,18.69,73.4
50.13,27.93,65.64
56.62,26.54,68.52
44.21,33.28,79.95
55.46,25.13,78.04
44.15,22.87,65.82
58.52,34.21,72.47
59.78,29.01,72.04
52.29,30.4,79.75
53.09,28.17,65.89
34.19,29.1,63.06
42.8,25.78,72.99
41.71,33.64,74.37
53.31,22.96,48.41
46.63,26.94,68.41
58.27,30.66,76.23
48.2,34.75,54.07
32.8,25.27,52.75
31.42,27.91,71.2
42.85,29.93,53.71
45.54,34.85,61.33
50.21,31.87,69.72
57.63,29.68,74.51
35.03,23.51,70.02
40.56,35.1,49.79
42.84,22.6,79.6
64.0,30.69,59.13
39.41,37.04,63.2
43.42,31.4,77.94
64.02,29.5,58.0
47.77,28.37,64.13
48.0,33.37,64.22
49.2,25.48,56.79
51.34,24.6,81.76
45.95,30.77,59.72
50.79,29.41,78.1
56.3,28.32,82.99
53.92,23.82,72.21
51.69,35.68,75.53
59.24,35.01,79.64
53.5,36.79,82.56
63.58,26.76,57.99
55.73,36.16,85.53
52.61,24.46,48.68
47.26,34.7,75.21
54.61,24.84,72.59
43.51,24.68,63.57
59.59,34.94,64.66
60.74,27.04,60.73
38.9,23.75,78.74
69.42,31.85,64.61
51.76,28.25,80.03
41.48,34.29,67.3
44.76,38.35,62.05
45.61,24.16,65.6
59.0,19.73,69.28
49.28,19.15,78.85
50.73,26.04,65.69
46.78,27.77,63.68
50.74,23.91,81.39
58.8,37.22,71.56
42.99,29.71,64.15
50.6,42.05,65.85
33.8,38.16,61.26
46.21,28.14,85.65
46.87,29.6,76.19
52.33,22.6,69.84
56.09,33.82,62.63
48.03,30.92,90.24
61.78,23.31,60.34
52.15,30.82,61.33
56.64,34.48,86.0
40.11,35.38,57.95
48.78,16.26,75.09
56.24,29.18,69.92
66.95,29.97,71.96
50.49,41.69,70.87
38.01,28.5,67.09
60.75,28.14,61.95
62.83,30.54,78.37
59.83,31.87,55.07
46.91,30.21,74.61
50.03,31.18,57.01
58.06,29.41,80.39
53.92,31.12,81.1
34.45,24.17,70.44
55.92,29.28,82.43
48.09,38.65,70.26
53.37,27.93,71.23
46.96,31.28,81.51
48.65,30.93,64.83
45.75,32.33,73.36
54.72,31.46,73.91
42.61,30.22,63.02
62.5,33.47,64.8
47.22,30.75,72.66
50.35,36.31,79.91
45.32,32.38,71.06
42.17,25.26,89.49
38.3,37.04,79.92
43.0,30.39,82.74
42.99,37.72,71.34
45.71,23.2,59.27
39.77,34.9,75.32
60.45,22.94,83.8
40.09,31.91,77.42
47.86,33.44,87.48
49.22,21.34,68.88
63.36,37.24,63.89
61.77,27.67,83.08
66.55,38.96,84.79
54.56,29.3,69.52
40.19,30.67,71.01
51.91,29.96,73.09
51.95,45.35,69.73
48.91,37.94,53.0
