time,value
1,103.95
2,104.84
3,111.67
4,112.15
5,114.43
6,101.55
7,109.37
8,120.94
9,111.43
10,129.84
11,123.29
12,122.47
13,135.51
14,114.53
15,129.57
16,125.45
17,129.74
18,123.14
19,130.18
20,148.89
21,132.55
22,126.13
23,152.94
24,143.51
25,150.33
26,158.28
27,142.18
28,160.53
29,135.36
30,145.99
31,137.97
32,162.45
33,162.45
34,170.1
35,167.53
36,163.58
37,159.76
38,172.64
39,177.62
40,156.48
41,170.37
42,174.0
43,177.39
44,176.41
45,169.37
46,180.41
47,184.62
48,183.45
49,195.1
50,196.31
51,195.83
52,210.81
53,199.91
54,197.23
55,200.67
56,201.16
57,202.04
58,208.89
59,198.13
60,210.16
