x1,x2,x3,label
0.4759,0.6787,0.1592,1
0.379,0.3653,0.3473,0
0.4407,0.1797,0.1893,0
0.7325,0.4518,0.7662,1
0.8766,0.1572,0.6398,1
0.8689,0.9517,0.7239,1
0.3805,0.5236,0.3672,0
0.5385,0.8264,0.1359,1
0.1436,0.2029,0.7067,0
0.0827,0.4088,0.4602,0
0.8492,0.0635,0.3701,0
0.8501,0.6359,0.4492,1
0.0245,0.7754,0.8355,0
0.767,0.8294,0.8744,1
0.9372,0.4438,0.9249,1
0.7571,0.8512,0.5448,1
0.6966,0.4214,0.7361,1
0.0897,0.9872,0.9876,1
0.5879,0.4725,0.525,1
0.8617,0.6903,0.8492,1
0.2482,0.1843,0.935,0
0.5508,0.9963,0.7981,1
0.7045,0.6547,0.7766,1
0.9845,0.8689,0.3903,1
0.8276,0.4529,0.7478,1
0.845,0.7595,0.4867,1
0.7597,0.2698,0.2881,1
0.1138,0.6263,0.9268,0
0.1547,0.169,0.012,0
0.9647,0.6568,0.7849,1
0.7716,0.8311,0.6766,1
0.8,0.1315,0.5658,0
0.7338,0.122,0.5178,0
0.4476,0.559,0.8824,1
0.3761,0.9158,0.4325,1
0.5926,0.6522,0.6052,1
0.263,0.0742,0.9512,0
0.658,0.5293,0.5187,1
0.152,0.1409,0.3811,0
0.9744,0.5163,0.7306,1
0.0147,0.694,0.4847,0
0.3733,0.4954,0.7988,0
0.7502,0.2455,0.6509,1
0.634,0.3603,0.5985,1
0.6513,0.6505,0.4152,1
0.1762,0.6265,0.6866,0
0.3833,0.3001,0.1402,0
0.3191,0.5471,0.5463,0
0.5824,0.7936,0.0017,1
0.9662,0.5484,0.5144,1
0.7634,0.936,0.7625,1
0.5253,0.0918,0.8959,0
0.4604,0.2823,0.7446,0
0.9141,0.2043,0.4003,1
0.2445,0.9732,0.5113,1
0.5076,0.3337,0.5584,0
0.5056,0.2611,0.7699,0
0.2094,0.8327,0.1343,1
0.1129,0.1984,0.4315,0
0.7903,0.7108,0.9936,1
0.8537,0.2124,0.5591,1
0.9528,0.7758,0.0727,1
0.5873,0.6839,0.5043,1
0.801,0.2329,0.8919,1
0.6984,0.0467,0.5913,0
0.469,0.9686,0.3295,1
0.7714,0.5126,0.7871,1
0.1766,0.5553,0.5561,0
0.9608,0.0657,0.5256,1
0.7469,0.2793,0.1661,1
0.0915,0.9537,0.8907,1
0.1048,0.1595,0.3864,0
0.6191,0.4408,0.3876,1
0.2172,0.1311,0.2125,0
0.1329,0.4893,0.1133,0
0.7866,0.017,0.1777,0
0.2445,0.1406,0.856,0
0.5259,0.5514,0.8729,1
0.5331,0.611,0.1668,1
0.4145,0.0243,0.2617,0
