time,value
1,91.11
2,102.03
3,100.93
4,96.05
5,120.55
6,112.16
7,106.11
8,121.13
9,99.92
10,122.28
11,117.88
12,121.97
13,127.6
14,136.07
15,116.14
16,118.07
17,126.62
18,129.48
19,124.97
20,154.9
21,127.29
22,142.88
23,166.39
24,142.66
25,142.55
26,140.44
27,145.03
28,143.23
29,152.64
30,167.57
31,146.7
32,158.8
33,154.38
34,160.6
35,155.84
36,169.58
37,167.54
38,158.65
39,185.8
40,179.34
41,177.65
42,162.53
43,166.36
44,188.06
45,181.84
46,183.59
47,188.85
48,198.91
49,182.46
50,193.64
51,195.86
52,184.86
53,191.8
54,207.57
55,192.75
56,205.2
57,207.3
58,195.18
59,192.94
60,212.08
