x1,x2,x3,label
0.4409,0.0843,0.639,0
0.3037,0.2239,0.7161,0
0.2246,0.6759,0.4412,0
0.2318,0.7711,0.646,1
0.6205,0.8457,0.5121,1
0.4384,0.2227,0.7382,0
0.6029,0.4428,0.7538,1
0.1047,0.7153,0.6539,0
0.1797,0.5724,0.013,0
0.2855,0.5936,0.6423,0
0.5372,0.7962,0.1571,1
0.2027,0.3995,0.9505,0
0.0784,0.0694,0.9765,0
0.9599,0.1114,0.8143,1
0.4919,0.7351,0.8206,1
0.9314,0.4089,0.0886,1
0.3781,0.8922,0.8737,1
0.5057,0.6217,0.502,1
0.1601,0.3104,0.735,0
0.8475,0.3605,0.1308,1
0.5766,0.5568,0.3296,1
0.7024,0.9166,0.628,1
0.3005,0.2946,0.3367,0
0.6894,0.8813,0.5505,1
0.1936,0.8836,0.1985,1
0.2538,0.9801,0.9901,1
0.6027,0.0227,0.1198,0
0.2575,0.6072,0.3913,0
0.0435,0.605,0.4044,0
0.3307,0.2251,0.6873,0
0.7097,0.2229,0.0767,0
0.6628,0.2014,0.4794,0
0.4663,0.6009,0.9905,1
0.618,0.7959,0.7055,1
0.696,0.5164,0.9438,1
0.0757,0.0621,0.7108,0
0.6373,0.2259,0.9614,0
0.9299,0.2772,0.3187,1
0.1793,0.5278,0.6029,0
0.6456,0.2515,0.2734,0
0.087,0.2087,0.7787,0
0.5601,0.1081,0.6506,0
0.7528,0.7085,0.1447,1
0.3501,0.4579,0.9149,0
0.2224,0.8442,0.0458,1
0.2,0.3555,0.6733,0
0.6504,0.8025,0.4433,1
0.4278,0.4465,0.3329,0
0.0006,0.7773,0.1901,0
0.7499,0.4842,0.9078,1
0.637,0.8927,0.3838,1
0.0596,0.2199,0.8586,0
0.209,0.9974,0.068,1
0.1808,0.2532,0.2808,0
0.9951,0.7645,0.0932,1
0.4345,0.2239,0.6158,0
0.4367,0.7088,0.6413,1
0.5083,0.7693,0.7954,1
0.1563,0.6995,0.6526,0
0.4166,0.5457,0.0752,1
0.5275,0.6954,0.6812,1
0.7446,0.4741,0.0602,1
0.3868,0.2604,0.9124,0
0.0295,0.4926,0.2549,0
0.086,0.3779,0.0257,0
0.7257,0.0614,0.7284,0
0.1551,0.4123,0.5108,0
0.2023,0.849,0.3301,1
0.6005,0.9208,0.829,1
0.4461,0.2494,0.8072,0
0.5569,0.4776,0.3824,1
0.2607,0.1341,0.2977,0
0.9974,0.7619,0.2831,1
0.1145,0.1933,0.2725,0
0.8781,0.7796,0.5317,1
0.7818,0.4182,0.3561,1
0.813,0.7715,0.9641,1
0.1808,0.2228,0.6676,0
0.4787,0.3885,0.4543,0
0.7616,0.341,0.8249,1
