time,value
1,103.01
2,107.7
3,95.76
4,107.61
5,101.24
6,116.61
7,93.58
8,123.99
9,126.55
10,116.86
11,119.32
12,123.03
13,125.91
14,144.13
15,133.66
16,126.13
17,113.83
18,111.74
19,147.04
20,123.67
21,137.54
22,143.2
23,141.47
24,140.93
25,137.34
26,149.67
27,164.61
28,126.48
29,153.43
30,161.15
31,159.26
32,152.08
33,153.39
34,167.32
35,163.2
36,188.95
37,166.76
38,160.08
39,160.71
40,148.31
41,160.18
42,172.11
43,188.68
44,174.89
45,187.51
46,193.75
47,177.89
48,187.34
49,184.21
50,198.86
51,184.1
52,197.58
53,206.56
54,202.44
55,191.5
56,197.4
57,199.79
58,207.15
59,195.88
60,196.05
