x1,x2,x3,label
0.9943,0.7061,0.0663,1
0.6346,0.4159,0.5801,1
0.2626,0.5175,0.3583,0
0.0099,0.2715,0.6004,0
0.4973,0.1382,0.9805,0
0.3156,0.2729,0.3349,0
0.107,0.6478,0.4662,0
0.2594,0.2989,0.8493,0
0.3477,0.5418,0.6145,0
0.0613,0.3992,0.8133,0
0.4674,0.1984,0.0547,0
0.9219,0.4257,0.4055,1
0.502,0.5319,0.5662,0
0.1774,0.2676,0.7591,0
0.9588,0.2425,0.1423,1
0.2801,0.1398,0.9289,0
0.1728,0.3057,0.2457,0
0.0443,0.5157,0.6854,0
0.0381,0.9576,0.074,0
0.9877,0.6454,0.5078,1
0.3833,0.2789,0.3247,0
0.7151,0.6692,0.1652,1
0.0079,0.7664,0.8596,0
0.4761,0.0773,0.0539,0
0.1759,0.964,0.4309,0
0.2869,0.8724,0.5095,0
0.1608,0.4677,0.2566,0
0.4222,0.9965,0.2192,1
0.817,0.9892,0.1403,1
0.5448,0.664,0.354,0
0.4466,0.4347,0.8894,0
0.747,0.548,0.5381,1
0.4228,0.7436,0.7621,1
0.6128,0.5455,0.1386,0
0.9115,0.6804,0.8793,1
0.9526,0.3657,0.5014,1
0.1954,0.6167,0.6893,0
0.5435,0.2672,0.1276,0
0.3298,0.0207,0.4126,0
0.4573,0.8316,0.7035,1
0.7196,0.8172,0.1865,1
0.2537,0.7129,0.3435,0
0.9495,0.3259,0.6025,1
0.1031,0.8396,0.3739,0
0.995,0.8004,0.8338,1
0.6738,0.1305,0.1573,0
0.3173,0.7252,0.4293,0
0.9457,0.9664,0.5283,1
0.2137,0.0995,0.0126,0
0.1924,0.3462,0.6793,0
0.4762,0.378,0.6813,0
0.4735,0.0345,0.1873,0
0.6059,0.3889,0.1843,0
0.173,0.5498,0.4389,0
0.8541,0.9544,0.5474,1
0.4347,0.4142,0.7374,0
0.6375,0.5691,0.4936,1
0.625,0.3129,0.7104,0
0.7339,0.6307,0.5632,1
