x1,x2,x3,label
0.0178,0.8451,0.9864,0
0.6593,0.2646,0.6927,0
0.5875,0.0215,0.3035,0
0.6449,0.3113,0.5715,1
0.17,0.7435,0.3741,0
0.8283,0.421,0.2462,1
0.9033,0.615,0.8167,1
0.9509,0.7404,0.7942,1
0.9762,0.7938,0.673,1
0.4575,0.4037,0.743,0
0.4861,0.7016,0.8468,1
0.6443,0.1817,0.9674,0
0.2406,0.8378,0.7664,1
0.4808,0.5937,0.0091,1
0.9211,0.3472,0.5574,1
0.1025,0.131,0.3688,0
0.0584,0.4728,0.5507,0
0.4356,0.3273,0.6756,0
0.6239,0.7349,0.0488,1
0.1029,0.1391,0.1463,0
0.1198,0.7764,0.4151,0
0.2063,0.9078,0.6461,1
0.3581,0.9037,0.0012,1
0.4611,0.6292,0.4474,1
0.8592,0.3433,0.5049,1
0.8379,0.204,0.793,1
0.4346,0.1899,0.6557,0
0.26,0.1365,0.4524,0
0.8453,0.0054,0.6715,0
0.9875,0.8417,0.128,1
0.2023,0.7746,0.1326,1
0.6278,0.0575,0.1661,0
0.8622,0.6841,0.0431,1
0.83,0.8693,0.3991,1
0.7342,0.0171,0.4532,0
0.5445,0.771,0.7184,1
0.3722,0.2324,0.7602,0
0.3401,0.295,0.5071,0
0.3237,0.4147,0.9509,0
0.9384,0.5555,0.4607,1
0.1933,0.1065,0.5091,0
0.5429,0.9333,0.2368,1
0.3787,0.5627,0.1108,0
0.1501,0.7037,0.9346,0
0.415,0.3638,0.5209,0
0.7517,0.3782,0.1941,1
0.6115,0.7187,0.2075,1
0.1326,0.0961,0.7582,0
0.5521,0.7815,0.0463,1
0.0031,0.5119,0.8693,0
0.0837,0.7008,0.8979,0
0.8288,0.3362,0.2629,1
0.8125,0.6732,0.8977,1
0.9479,0.7534,0.1004,1
0.1038,0.5461,0.9627,0
0.6924,0.2904,0.8549,1
0.078,0.575,0.0724,0
0.9015,0.2662,0.6973,1
0.3419,0.3657,0.4734,0
0.437,0.3882,0.5819,0
0.7113,0.1505,0.2016,0
0.4513,0.1033,0.4855,0
0.7498,0.0432,0.3051,0
0.3668,0.9715,0.692,1
0.1221,0.9795,0.4444,1
0.3806,0.9795,0.8102,1
0.7211,0.1727,0.9944,0
0.0473,0.1305,0.2926,0
0.1783,0.231,0.9596,0
0.0916,0.9913,0.3111,1
0.988,0.6621,0.1926,1
0.7994,0.9561,0.3556,1
0.0845,0.5993,0.6202,0
0.6269,0.1599,0.0654,0
0.0687,0.1335,0.9887,0
0.1617,0.752,0.0087,0
0.7935,0.6155,0.6816,1
0.2123,0.0555,0.8118,0
0.429,0.2567,0.0475,0
0.9512,0.6984,0.1166,1
