x1,x2,x3,label
0.4564,0.1012,0.4352,0
0.4602,0.1504,0.8134,0
0.2447,0.4094,0.9055,0
0.7533,0.2208,0.0386,1
0.4657,0.5306,0.9486,1
0.2078,0.2161,0.7714,0
0.7274,0.5818,0.0762,1
0.5001,0.7548,0.6643,1
0.365,0.4187,0.6221,0
0.0743,0.5036,0.4538,0
0.8978,0.1035,0.384,1
0.3831,0.9676,0.5736,1
0.4773,0.2199,0.7398,0
0.1171,0.0479,0.8448,0
0.7967,0.6374,0.4623,1
0.2989,0.7808,0.4119,1
0.3432,0.9925,0.0368,1
0.2942,0.6166,0.261,0
0.7576,0.763,0.5924,1
0.5854,0.853,0.3987,1
0.9944,0.8486,0.0992,1
0.8551,0.8644,0.9077,1
0.7023,0.6095,0.0406,1
0.4449,0.8874,0.1327,1
0.3937,0.9906,0.3833,1
0.6474,0.8821,0.7324,1
0.4899,0.8277,0.2307,1
0.3752,0.2303,0.3721,0
0.4751,0.403,0.0185,0
0.802,0.3612,0.0112,1
0.009,0.5589,0.1142,0
0.1957,0.5104,0.7808,0
0.5737,0.0977,0.4594,0
0.9161,0.7938,0.6457,1
0.0045,0.9856,0.6422,1
0.5972,0.9853,0.4834,1
0.6414,0.5807,0.5025,1
0.726,0.6805,0.1236,1
0.5165,0.3737,0.7062,0
0.4142,0.261,0.8875,0
0.5523,0.0037,0.8903,0
0.561,0.1448,0.9058,0
0.1795,0.3009,0.841,0
0.4331,0.9724,0.4132,1
0.0925,0.6989,0.3594,0
0.4329,0.4092,0.1832,0
0.4034,0.9735,0.8144,1
0.2987,0.2184,0.8125,0
0.2011,0.7541,0.1756,1
0.9856,0.6735,0.522,1
0.0253,0.5779,0.1184,0
0.7744,0.8901,0.0777,1
0.4052,0.2548,0.5578,0
0.4478,0.9755,0.2965,1
0.4442,0.8382,0.5679,1
0.955,0.9512,0.6791,1
0.6802,0.8786,0.0258,1
0.8125,0.3219,0.4685,1
0.0481,0.6203,0.4333,0
0.8481,0.3884,0.3274,1
0.1417,0.9505,0.4593,1
0.5941,0.2512,0.4713,0
0.501,0.8409,0.0778,1
0.4294,0.5406,0.4901,1
0.8797,0.1145,0.9444,1
0.0287,0.0792,0.4479,0
0.471,0.4017,0.9414,0
0.0465,0.1789,0.0137,0
0.6484,0.25,0.7003,0
0.308,0.1307,0.5116,0
0.1365,0.3437,0.1807,0
0.0296,0.3108,0.1652,0
0.2599,0.3362,0.704,0
0.1859,0.6257,0.1479,0
0.8824,0.0232,0.361,0
0.9999,0.6467,0.0263,1
0.2526,0.0797,0.1892,0
0.787,0.3333,0.3481,1
0.3293,0.3131,0.4446,0
0.3895,0.4157,0.6134,0
