x1,x2,x3,label
0.8757,0.7609,0.3979,1
0.107,0.6133,0.0373,0
0.6294,0.463,0.5419,1
0.5916,0.3291,0.5762,0
0.0798,0.1007,0.556,0
0.4996,0.9765,0.6635,1
0.5234,0.5193,0.0765,1
0.4477,0.2609,0.5846,0
0.6812,0.4223,0.486,1
0.4236,0.3206,0.4721,0
0.6755,0.526,0.4302,1
0.4923,0.8302,0.535,1
0.1182,0.4255,0.1779,0
0.2013,0.5567,0.9314,0
0.3677,0.6547,0.3659,1
0.612,0.8083,0.066,1
0.8613,0.9479,0.2884,1
0.6995,0.6665,0.9402,1
0.399,0.7851,0.5576,1
0.0894,0.5432,0.641,0
0.0805,0.6784,0.7687,0
0.4902,0.844,0.4899,1
0.2718,0.9883,0.5595,1
0.3204,0.6977,0.6148,1
0.4038,0.4113,0.3745,0
0.6589,0.6958,0.3806,1
0.3165,0.0243,0.192,0
0.9877,0.9736,0.7608,1
0.2872,0.1844,0.385,0
0.1964,0.6541,0.671,0
0.5878,0.3441,0.0951,0
0.2199,0.8972,0.6343,1
0.8191,0.464,0.0454,1
0.4224,0.9789,0.3476,1
0.6256,0.1684,0.2709,0
0.6301,0.062,0.2212,0
0.7603,0.8086,0.536,1
0.6769,0.1891,0.203,0
0.1153,0.2955,0.4654,0
0.9474,0.0513,0.0026,1
0.3961,0.6991,0.184,1
0.9136,0.1442,0.5633,1
0.1605,0.3495,0.9492,0
0.7839,0.711,0.203,1
0.4258,0.1188,0.0055,0
0.5654,0.8565,0.1993,1
0.7157,0.1294,0.8019,0
0.7973,0.0402,0.3969,0
0.3686,0.2742,0.5819,0
0.0149,0.9381,0.4978,1
0.9632,0.2405,0.3236,1
0.2417,0.7753,0.3745,1
0.7884,0.689,0.0608,1
0.5066,0.7033,0.2037,1
0.718,0.5607,0.1387,1
0.2604,0.123,0.4421,0
0.8869,0.2783,0.5789,1
0.4197,0.149,0.2986,0
0.4459,0.6201,0.0843,1
0.5843,0.0703,0.9077,0
0.8709,0.2122,0.6938,1
0.523,0.9394,0.0357,1
0.7551,0.4474,0.0015,1
0.6928,0.5306,0.5376,1
0.7104,0.9891,0.5783,1
0.5625,0.8651,0.4882,1
0.7671,0.9414,0.4403,1
0.039,0.0691,0.6676,0
0.8934,0.3002,0.1729,1
0.2675,0.2487,0.0444,0
0.955,0.6206,0.2171,1
0.1427,0.0216,0.2148,0
0.404,0.6531,0.264,1
0.0352,0.5887,0.999,0
0.3407,0.7759,0.7336,1
0.147,0.024,0.5892,0
0.2152,0.6918,0.5141,0
0.122,0.5452,0.2372,0
0.2786,0.0293,0.4569,0
0.3018,0.5412,0.5507,0
