x1,x2,x3,label
0.5457,0.2828,0.4384,0
0.7167,0.7229,0.1081,1
0.9109,0.8216,0.6887,1
0.1263,0.0796,0.3558,0
0.9016,0.7482,0.1032,1
0.1936,0.11,0.2706,0
0.1695,0.5383,0.7642,0
0.4669,0.6986,0.2701,1
0.7954,0.2631,0.233,1
0.4467,0.1044,0.7979,0
0.8063,0.4019,0.5374,1
0.1969,0.9908,0.4725,1
0.2309,0.4666,0.3329,0
0.111,0.834,0.9789,0
0.4472,0.4483,0.9401,0
0.7441,0.5955,0.2021,1
0.8759,0.6505,0.6001,1
0.0259,0.0741,0.2478,0
0.424,0.5128,0.6837,0
0.724,0.3316,0.2704,1
0.7977,0.1597,0.2194,1
0.2452,0.6834,0.4518,0
0.6639,0.9396,0.2711,1
0.103,0.8321,0.3362,0
0.9608,0.5334,0.4137,1
0.2166,0.27,0.1508,0
0.3679,0.752,0.9205,1
0.0327,0.2423,0.8898,0
0.4577,0.3207,0.3393,0
0.26,0.9936,0.286,1
0.8429,0.2827,0.0678,1
0.0038,0.9508,0.6851,1
0.5768,0.5906,0.5198,1
0.3338,0.4074,0.0046,0
0.6789,0.406,0.4177,1
0.6595,0.3904,0.4422,1
0.2046,0.5815,0.7407,0
0.4934,0.5375,0.9366,1
0.3886,0.7147,0.868,1
0.7041,0.8996,0.5816,1
0.5973,0.7146,0.567,1
0.736,0.9358,0.9472,1
0.6289,0.8132,0.4999,1
0.9049,0.5764,0.988,1
0.9466,0.6996,0.5203,1
0.8797,0.1081,0.7571,1
0.4038,0.1303,0.0055,0
0.7432,0.0817,0.3343,0
0.6799,0.7155,0.7068,1
0.2608,0.3953,0.2859,0
0.2522,0.3214,0.6911,0
0.1933,0.7236,0.178,0
0.9357,0.9153,0.3289,1
0.3655,0.6487,0.4661,1
0.5224,0.5206,0.6606,1
0.5009,0.5558,0.837,1
0.0115,0.8299,0.3743,0
0.3312,0.4791,0.181,0
0.0284,0.5332,0.5703,0
0.1492,0.3038,0.9956,0
0.6618,0.8656,0.0941,1
0.2962,0.1756,0.7078,0
0.1925,0.5033,0.5137,0
0.7889,0.2459,0.7205,1
0.866,0.1781,0.2725,1
0.1569,0.5522,0.2963,0
0.0318,0.7382,0.5718,0
0.6069,0.4193,0.4917,1
0.5289,0.8896,0.2337,1
0.4654,0.8416,0.1091,1
0.9353,0.0119,0.1371,0
0.8244,0.3177,0.5703,1
0.5435,0.9308,0.33,1
0.0055,0.9145,0.1501,0
0.496,0.0355,0.1688,0
0.9215,0.6898,0.2368,1
0.8452,0.8573,0.464,1
0.8762,0.0169,0.3883,0
0.3088,0.6161,0.409,0
0.9855,0.1484,0.821,1
