x1,x2,x3,label
0.1508,0.2751,0.6036,0
0.0801,0.9541,0.1704,0
0.5324,0.0146,0.7273,0
0.8366,0.9215,0.1222,1
0.4469,0.4567,0.5891,0
0.8543,0.185,0.4029,1
0.4002,0.2659,0.8624,0
0.9197,0.4335,0.7677,1
0.5625,0.4116,0.0108,0
0.4213,0.5701,0.613,1
0.0339,0.3113,0.4028,0
0.7906,0.7394,0.6181,1
0.742,0.1783,0.5401,1
0.8912,0.1546,0.3635,1
0.3755,0.791,0.7315,1
0.4844,0.5367,0.8419,1
0.4586,0.1852,0.2391,0
0.0222,0.394,0.0193,0
0.5861,0.2289,0.4104,0
0.1172,0.1806,0.8287,0
0.6647,0.7496,0.2089,1
0.0968,0.48,0.004,0
0.4881,0.2005,0.5,0
0.6234,0.5198,0.2977,0
0.8213,0.2717,0.9253,1
0.5436,0.8496,0.8013,1
0.4936,0.5312,0.1886,0
0.6861,0.2493,0.7025,0
0.1487,0.3876,0.3009,0
0.658,0.2514,0.1982,0
0.8104,0.0128,0.9572,1
0.0402,0.5496,0.1621,0
0.7541,0.8648,0.7234,1
0.866,0.1735,0.1808,0
0.78,0.8182,0.5205,1
0.6348,0.8895,0.498,1
0.5308,0.265,0.08,0
0.2424,0.7574,0.3204,0
0.5099,0.2763,0.9387,0
0.5694,0.9482,0.2107,1
0.423,0.0205,0.207,0
0.7957,0.5627,0.9869,1
0.7999,0.5005,0.0378,1
0.2133,0.6257,0.3713,0
0.0631,0.6134,0.507,0
0.236,0.1125,0.6826,0
0.9767,0.8014,0.0084,1
0.5846,0.7856,0.2962,1
0.8366,0.0231,0.4738,1
0.1093,0.8229,0.3379,0
0.8605,0.4594,0.2399,1
0.6691,0.2578,0.0445,0
0.8072,0.9959,0.6544,1
0.9973,0.8182,0.9101,1
0.6794,0.7392,0.9852,1
0.7196,0.8728,0.3932,1
0.7732,0.8639,0.2432,1
0.6192,0.1606,0.9019,1
0.0894,0.9128,0.4733,0
0.8274,0.3937,0.2511,1
0.3649,0.6422,0.4067,0
0.547,0.9165,0.5152,1
0.7489,0.5003,0.7153,1
0.4802,0.8815,0.74,1
0.7157,0.4211,0.3954,1
0.2264,0.9615,0.927,1
0.7864,0.6547,0.7269,1
0.3572,0.7108,0.1039,0
0.0893,0.2783,0.9217,0
0.5381,0.076,0.3059,0
0.3049,0.2248,0.6523,0
0.8007,0.7721,0.0643,1
0.0848,0.0092,0.1091,0
0.0249,0.0347,0.3027,0
0.1707,0.5428,0.4197,0
0.504,0.7192,0.035,0
0.109,0.6329,0.3969,0
0.3315,0.1011,0.4908,0
0.1904,0.7089,0.3572,0
0.8393,0.1586,0.4941,1
0.6903,0.8434,0.935,1
0.357,0.4988,0.149,0
0.1211,0.0858,0.0217,0
0.4279,0.3018,0.5849,0
0.8779,0.433,0.1214,1
0.1326,0.8165,0.4018,0
0.3414,0.8329,0.6635,1
0.8557,0.7236,0.1037,1
0.1894,0.3829,0.3821,0
0.0916,0.1643,0.3582,0
0.1352,0.6067,0.2271,0
0.3978,0.8623,0.5744,1
0.4763,0.5848,0.8833,1
0.6846,0.4669,0.6063,1
0.6255,0.6347,0.4782,1
0.2167,0.7796,0.7811,0
0.3793,0.8629,0.4718,1
0.8539,0.5718,0.2519,1
0.9744,0.5539,0.2995,1
0.444,0.2601,0.3456,0
0.2736,0.1032,0.9498,0
0.2998,0.4065,0.1811,0
0.3242,0.3753,0.3991,0
0.72,0.0061,0.9556,1
0.4606,0.0054,0.3405,0
0.2237,0.3156,0.1241,0
0.4093,0.3229,0.4893,0
0.8513,0.5083,0.4458,1
0.9013,0.2322,0.7297,1
0.4689,0.2372,0.489,0
0.5186,0.4338,0.1515,0
0.212,0.7859,0.8549,0
0.0614,0.3127,0.4715,0
0.4385,0.2539,0.7302,0
0.4225,0.2827,0.2778,0
0.3945,0.6895,0.9325,1
0.6573,0.4323,0.0174,0
0.2842,0.2037,0.7364,0
0.3434,0.999,0.106,0
0.6692,0.4712,0.7903,1
0.6273,0.0245,0.9032,0
0.7587,0.3663,0.0194,0
0.6983,0.6367,0.2808,1
0.4799,0.7569,0.1538,0
0.1414,0.1214,0.2008,0
0.9607,0.241,0.9381,1
0.7547,0.8659,0.5402,1
0.7066,0.7707,0.4539,1
0.8794,0.174,0.4178,0
0.1614,0.9227,0.6326,0
0.2665,0.6836,0.513,0
0.5221,0.6353,0.9969,1
0.0294,0.1505,0.8411,0
0.457,0.1299,0.6679,0
0.1608,0.5612,0.3487,0
0.751,0.3477,0.318,0
0.3136,0.8104,0.2871,0
0.2336,0.1741,0.3528,0
0.7766,0.3915,0.8759,1
0.3391,0.2977,0.4572,0
0.0151,0.6566,0.2887,0
0.5465,0.6873,0.4442,1
0.0775,0.5029,0.1998,0
0.3448,0.2602,0.2468,0
0.461,0.3676,0.2771,0
0.7359,0.7817,0.3228,1
0.7077,0.4581,0.1782,0
0.5673,0.2313,0.647,0
0.5103,0.3901,0.4844,0
0.9142,0.185,0.7069,1
0.7951,0.4785,0.2597,1
0.4209,0.7204,0.0837,0
0.6723,0.3601,0.1199,0
0.8093,0.5083,0.0223,1
0.5853,0.5702,0.0154,0
0.9307,0.0561,0.3785,1
0.5828,0.0395,0.6673,0
0.6019,0.0301,0.719,0
0.2722,0.7566,0.2471,0
0.2124,0.0364,0.6769,0
0.475,0.8709,0.0656,0
0.8169,0.176,0.8795,1
0.1895,0.3144,0.6762,0
0.8437,0.6297,0.7376,1
0.1714,0.2522,0.3998,0
0.2843,0.8291,0.2075,0
0.9011,0.4711,0.1806,1
0.4917,0.9915,0.5106,1
0.8567,0.1311,0.2745,0
0.1602,0.803,0.2399,0
0.7186,0.0365,0.844,0
0.7752,0.8915,0.6365,1
0.1366,0.4662,0.1731,0
0.1004,0.5972,0.2877,0
0.2828,0.8137,0.3881,0
0.5577,0.1498,0.3573,0
0.2094,0.0708,0.5319,0
0.7152,0.2571,0.8738,1
0.3903,0.0423,0.5145,0
0.3919,0.9485,0.4887,1
