x1,x2,x3
46.98,39.34,63.43
48.47,23.51,62.15
45.93,26.17,73.77
41.28,30.05,60.9
47.97,27.17,69.51
48.94,28.75,58.6
43.76,22.3,83.28
51.48,29.38,84.89
53.75,26.7,57.73
49.38,28.22,89.83
61.35,29.05,72.18
58.15,33.41,79.05
51.89,28.63,68.82
48.78,29.26,81.4
48.59,21.82,73.94
53.79,31.16,67.8
43.07,27.95,64.62
39.82,27.38,62.12
57.49,26.96,67.4
59.75,31.71,58.65
51.06,30.73,49.83
60.63,24.9,71.25
48.26,36.94,67.02
48.35,27.37,75.44
38.42,25.5,75.88
60.51,39.19,61.28
60.39,29.54,99.94
56.44,28.91,60.12
55.76,26.9,58.67
52.14,38.21,66.54
56.42,36.28,73.85
61.75,25.93,76.49
40.96,32.31,72.04
43.57,25.89,73.79
46.77,27.14,65.05
54.9,22.29,69.49
45.57,20.91,67.69
53.88,31.43,60.21
63.96,32.11,72.68
50.46,32.16,61.57
47.48,25.7,56.42
41.21,33.31,91.3
46.21,23.25,86.93
40.21,36.27,83.74
32.53,23.25,46.86
35.06,24.91,58.52
54.76,27.86,76.89
48.9,30.09,83.2
45.06,30.04,42.51
63.2,23.71,75.33
57.95,27.82,79.06
39.26,28.91,67.18
56.94,34.04,57.77
51.47,42.4,77.64
57.84,32.71,65.34
42.65,25.03,78.8
45.16,28.57,68.02
47.83,32.74,62.7
38.01,30.59,67.67
71.23,30.99,65.07
60.68,27.18,86.33
37.39,25.83,69.33
47.32,28.13,55.62
53.08,33.43,88.02
55.92,26.56,60.86
70.15,33.76,55.24
61.41,36.08,50.19
59.66,26.76,66.73
33.96,40.0,61.06
66.58,39.68,62.64
28.47,28.9,60.34
30.61,32.71,72.13
57.64,33.84,81.53
45.6,33.33,62.51
53.53,33.85,70.01
56.24,39.15,78.49
52.88,17.5,71.23
51.84,30.44,75.31
40.4,33.74,65.09
48.04,38.9,60.08
46.04,27.91,93.22
50.2,28.78,49.88
66.59,24.85,70.19
54.53,34.48,95.27
48.67,28.59,73.11
46.12,31.79,81.99
48.21,32.27,69.68
52.3,31.41,65.52
66.81,37.03,69.51
41.86,33.92,71.07
57.44,23.99,64.14
49.89,24.89,73.09
65.78,31.57,70.86
51.24,29.48,58.89
40.62,26.49,87.48
51.92,29.5,78.65
45.21,24.36,84.14
51.17,36.22,92.6
35.19,34.17,62.02
43.88,33.84,83.0
34.01,30.56,75.51
46.63,22.36,67.5
43.04,30.28,66.92
50.91,29.9,60.15
48.85,36.85,86.91
41.88,24.95,67.65
53.69,36.85,50.05
59.94,42.43,63.03
50.66,32.78,69.37
55.89,31.19,49.15
53.87,34.89,83.43
53.45,26.52,85.73
51.06,25.51,71.14
61.9,29.8,62.03
53.38,40.13,71.02
57.79,34.46,64.67
52.61,27.28,84.42
52.36,33.83,59.9
42.72,26.81,67.41
45.2,28.9,62.53
