x1,x2,x3,label
0.0164,0.2442,0.1353,0
0.1036,0.9933,0.9518,1
0.1282,0.5765,0.3574,0
0.9932,0.104,0.1098,1
0.574,0.7237,0.3124,1
0.2715,0.0836,0.9778,0
0.2777,0.5195,0.1592,0
0.099,0.7866,0.3761,0
0.5415,0.4017,0.0508,0
0.3784,0.3252,0.2139,0
0.4171,0.729,0.8445,1
0.6633,0.0958,0.8296,0
0.2703,0.4527,0.7988,0
0.3798,0.8389,0.4647,1
0.0744,0.871,0.8598,0
0.6805,0.2425,0.1985,0
0.7477,0.1617,0.9464,0
0.453,0.3979,0.1803,0
0.85,0.2129,0.386,1
0.3707,0.9341,0.1506,1
0.3216,0.6603,0.0838,1
0.406,0.6132,0.3585,1
0.6549,0.789,0.6205,1
0.0168,0.0112,0.8015,0
0.4283,0.4676,0.3274,0
0.5365,0.6342,0.1809,1
0.4779,0.2198,0.4555,0
0.6106,0.789,0.7783,1
0.9343,0.8986,0.7717,1
0.2043,0.7035,0.8874,0
0.8713,0.7209,0.4059,1
0.4725,0.6419,0.3364,1
0.4044,0.3396,0.8855,0
0.7003,0.6549,0.3653,1
0.2952,0.3101,0.2224,0
0.8005,0.6975,0.1549,1
0.9146,0.2519,0.1028,1
0.2533,0.5935,0.9803,0
0.5771,0.6699,0.789,1
0.08,0.7144,0.7302,0
0.872,0.971,0.9677,1
0.4183,0.8779,0.0965,1
0.904,0.4893,0.604,1
0.282,0.5397,0.7489,0
0.0337,0.4964,0.8783,0
0.6596,0.1996,0.2815,0
0.5124,0.0812,0.1732,0
0.958,0.5895,0.3644,1
0.289,0.9515,0.0607,1
0.9861,0.0286,0.8843,1
0.9076,0.9,0.1001,1
0.0953,0.7985,0.135,0
0.2571,0.9305,0.4034,1
0.2089,0.0591,0.5721,0
0.2278,0.5721,0.5808,0
0.5864,0.6281,0.1538,1
0.4899,0.3049,0.9109,0
0.2274,0.6067,0.777,0
0.2331,0.5273,0.8358,0
0.8674,0.8896,0.7659,1
0.4102,0.7436,0.8514,1
0.2613,0.0393,0.0569,0
0.3186,0.3267,0.2047,0
0.2194,0.1242,0.2365,0
0.0013,0.6084,0.3065,0
0.5697,0.7343,0.7004,1
0.0673,0.8668,0.1882,0
0.0501,0.796,0.3099,0
0.1697,0.5737,0.3347,0
0.9495,0.5533,0.7467,1
0.8241,0.2246,0.3698,1
0.8699,0.3842,0.0151,1
0.5744,0.7026,0.294,1
0.6999,0.2939,0.8782,1
0.9291,0.3599,0.4213,1
0.5912,0.0069,0.9021,0
0.3987,0.3511,0.3178,0
0.1246,0.3417,0.307,0
0.3007,0.5915,0.3705,0
0.2942,0.2459,0.4747,0
