x1,x2,x3
39.9,22.21,70.69
56.96,31.46,60.42
59.81,33.72,61.94
59.72,23.72,89.28
46.02,35.32,60.62
47.71,25.13,69.61
50.49,23.29,51.32
62.45,28.59,49.38
57.6,30.78,79.74
47.03,22.16,66.46
51.48,36.11,67.94
63.61,37.31,68.05
58.07,32.45,81.39
46.1,37.7,70.5
34.67,22.52,61.03
54.23,31.05,80.33
52.21,32.97,64.51
48.55,30.82,60.5
53.26,29.39,52.32
40.82,32.59,83.88
39.7,39.43,64.09
42.54,28.39,70.94
53.17,32.73,55.93
62.96,38.1,54.24
48.32,29.01,69.98
56.46,23.93,55.81
66.29,40.35,63.3
65.18,22.93,77.1
39.52,30.07,67.16
64.08,23.66,58.03
40.18,28.03,77.56
51.7,21.0,69.22
49.74,27.57,80.99
60.27,32.17,71.92
53.18,26.29,72.07
48.82,21.36,79.03
40.17,32.51,70.13
61.73,32.75,64.03
48.16,30.75,82.35
36.94,26.0,66.79
42.87,22.3,73.72
53.26,25.57,62.34
54.23,21.81,54.3
37.24,23.9,63.4
40.17,32.16,63.24
38.51,33.76,52.93
48.1,21.73,64.42
41.08,35.9,56.89
63.15,29.03,52.42
48.93,27.96,75.85
38.02,30.98,60.73
51.23,29.15,67.27
53.61,27.41,48.65
53.82,36.68,76.85
57.83,29.66,64.53
61.53,23.2,76.65
49.74,29.4,83.4
38.64,29.26,83.37
31.63,31.4,69.91
57.12,36.65,74.78
43.65,35.01,65.04
56.26,25.14,86.58
53.26,32.34,81.78
54.4,27.89,96.69
51.3,29.96,76.85
39.84,29.64,85.87
49.43,28.06,71.54
50.64,38.45,91.66
51.16,24.16,82.27
61.79,36.26,66.36
45.38,33.53,66.87
60.19,24.79,72.02
49.43,33.94,47.2
47.68,29.73,86.34
43.89,34.42,72.7
59.96,24.06,79.39
58.23,29.71,63.15
46.66,21.54,85.26
44.21,34.26,71.13
54.2,28.4,84.64
54.51,29.94,64.44
48.69,24.67,76.89
36.5,33.85,65.97
34.51,24.92,71.15
45.37,30.0,49.16
52.92,32.79,68.56
67.42,27.99,67.86
58.99,30.14,79.61
37.1,20.61,60.91
48.51,47.09,64.21
59.83,24.03,57.26
43.62,23.18,54.86
38.76,30.4,62.0
43.4,27.45,68.57
42.24,28.4,61.71
64.16,31.46,73.9
65.82,29.64,49.69
41.45,30.75,79.32
63.95,27.74,78.31
66.19,29.68,76.11
41.55,34.26,64.63
46.39,33.69,60.57
58.49,24.56,66.5
60.62,27.26,57.55
60.9,28.31,74.53
53.27,32.29,77.54
47.98,35.35,70.63
61.26,36.8,68.97
42.59,10.64,78.72
41.96,33.05,84.13
41.93,25.46,67.42
40.06,18.56,58.72
33.55,29.72,53.28
53.91,26.55,63.59
37.04,19.76,64.46
53.39,22.64,62.75
53.01,31.5,60.6
56.12,33.91,88.85
51.34,28.46,83.48
50.92,23.92,72.56
