x1,x2,x3,label
0.3793,0.1923,0.3946,0
0.9106,0.9733,0.4001,1
0.1644,0.5422,0.1293,0
0.3553,0.4549,0.2166,0
0.5568,0.1779,0.7412,0
0.7638,0.0742,0.2239,0
0.7552,0.4491,0.1573,1
0.2833,0.4041,0.7356,0
0.1378,0.9871,0.1642,0
0.3013,0.9022,0.6502,0
0.4026,0.6568,0.7563,1
0.6164,0.1359,0.4112,0
0.4824,0.8695,0.3931,1
0.0033,0.8053,0.9888,0
0.6967,0.5607,0.8163,1
0.4583,0.5878,0.5344,1
0.3113,0.1065,0.7249,0
0.372,0.3872,0.6645,0
0.3626,0.426,0.6497,0
0.7911,0.7284,0.5941,1
0.6,0.0542,0.0815,0
0.6645,0.7445,0.059,1
0.6605,0.8379,0.6505,1
0.4276,0.9364,0.2817,1
0.5326,0.7027,0.5694,1
0.319,0.299,0.7544,0
0.1382,0.6395,0.1589,0
0.9847,0.7357,0.3245,1
0.0458,0.1394,0.4477,0
0.5913,0.4582,0.7344,1
0.5961,0.39,0.7281,1
0.2198,0.3046,0.0926,0
0.4892,0.9847,0.5909,1
0.426,0.3243,0.8595,0
0.8428,0.3963,0.3364,1
0.8969,0.8052,0.1797,1
0.1133,0.8415,0.6221,0
0.2147,0.1506,0.203,0
0.2483,0.3256,0.4303,0
0.6447,0.3776,0.3456,0
0.3698,0.5218,0.1054,0
0.8882,0.109,0.6449,1
0.7857,0.4733,0.9017,1
0.9385,0.9701,0.4204,1
0.7493,0.6944,0.5933,1
0.4683,0.1393,0.4644,0
0.0206,0.7892,0.0701,0
0.6577,0.167,0.5438,0
0.1072,0.1365,0.8029,0
0.5138,0.3535,0.9926,1
0.8765,0.0266,0.3708,0
0.0686,0.5193,0.1428,0
0.6641,0.0392,0.0373,0
0.2037,0.0654,0.8834,0
0.794,0.0219,0.3934,0
0.885,0.5462,0.5773,1
0.2793,0.7581,0.4736,0
0.6239,0.2648,0.2052,0
0.9728,0.8343,0.4211,1
0.5371,0.5671,0.7501,1
0.6307,0.9697,0.2492,1
0.8317,0.8895,0.9378,1
0.2104,0.5595,0.7855,0
0.4825,0.5356,0.9836,1
0.5942,0.6388,0.7102,1
0.2567,0.591,0.4412,0
0.5651,0.4919,0.0573,0
0.3682,0.7369,0.3805,0
0.3481,0.291,0.2292,0
0.2704,0.2907,0.4358,0
0.8384,0.6332,0.9797,1
0.0891,0.1514,0.0557,0
0.5105,0.1552,0.9392,0
0.7958,0.8447,0.0929,1
0.1828,0.1284,0.4937,0
0.8512,0.3573,0.3363,1
0.9363,0.3127,0.2955,1
0.3166,0.784,0.1732,0
0.2149,0.8721,0.1102,0
0.383,0.77,0.0965,0
0.8287,0.7358,0.5473,1
0.6505,0.14,0.8159,1
0.4306,0.5603,0.0531,0
0.3396,0.3997,0.1153,0
0.4617,0.6698,0.3072,0
0.5927,0.7241,0.7188,1
0.4035,0.3188,0.3333,0
0.8666,0.9053,0.1226,1
0.6016,0.5862,0.168,0
0.0385,0.8431,0.4782,0
0.1477,0.6215,0.3741,0
0.8007,0.3313,0.3649,1
0.1524,0.3053,0.0287,0
0.7322,0.5127,0.8793,1
0.2604,0.1846,0.7509,0
0.5819,0.9654,0.231,1
0.2623,0.7303,0.9572,1
0.7456,0.0494,0.9844,1
0.7784,0.4586,0.0105,0
0.2051,0.947,0.1876,0
0.7145,0.6071,0.6782,1
0.5609,0.6924,0.5266,1
0.3452,0.3479,0.6074,0
0.629,0.8425,0.2995,1
0.644,0.9125,0.139,1
0.9356,0.9077,0.7185,1
0.6642,0.4042,0.5557,0
0.0469,0.1636,0.9468,0
0.6506,0.5935,0.1668,1
0.4386,0.4235,0.9514,1
0.4437,0.0893,0.4338,0
0.5349,0.3947,0.8021,1
0.9765,0.9832,0.4626,1
0.9376,0.8682,0.3687,1
0.9921,0.5444,0.1938,1
0.5497,0.0028,0.396,0
0.598,0.3251,0.2823,0
0.4826,0.8313,0.5315,1
0.0064,0.1677,0.9623,0
0.567,0.529,0.1247,0
0.1003,0.5397,0.5601,0
0.2188,0.2059,0.6345,0
0.9537,0.1632,0.594,1
0.5411,0.7423,0.8328,1
0.0179,0.8376,0.345,0
0.3192,0.3935,0.2127,0
0.0054,0.9078,0.0368,0
0.9805,0.0254,0.8911,1
0.1099,0.4335,0.7489,0
0.6185,0.0532,0.0737,0
0.4462,0.6267,0.5943,1
0.6854,0.3036,0.6524,1
0.4516,0.3822,0.7793,1
0.4056,0.7832,0.3867,0
0.3857,0.9189,0.3896,1
0.5108,0.8674,0.2553,1
0.3142,0.3031,0.4715,0
0.035,0.4942,0.0539,0
0.442,0.9408,0.5915,1
0.594,0.9293,0.5666,1
0.4908,0.4264,0.0816,0
0.5018,0.4691,0.0832,0
0.0404,0.8812,0.7416,0
0.1347,0.9783,0.1693,0
0.1965,0.1816,0.0345,0
0.0914,0.6829,0.9073,0
0.3119,0.595,0.5943,0
0.0521,0.0069,0.9329,0
0.9448,0.1306,0.269,0
0.0984,0.7237,0.1403,0
0.9876,0.2605,0.7241,1
0.9256,0.6283,0.5741,1
0.7644,0.5498,0.7577,1
0.8739,0.0431,0.9028,1
0.887,0.8278,0.5115,1
0.3177,0.1519,0.5427,0
0.5917,0.6086,0.5085,1
0.2798,0.8689,0.9589,1
0.6494,0.067,0.9945,0
0.0173,0.9569,0.3742,0
0.5745,0.4654,0.0086,0
0.7489,0.2241,0.6296,1
0.9787,0.6278,0.5069,1
0.0865,0.9009,0.4665,0
0.556,0.5659,0.2837,0
0.3531,0.6411,0.31,0
0.6688,0.16,0.1338,0
0.3046,0.7643,0.523,0
0.5806,0.3698,0.7051,0
0.9402,0.577,0.9515,1
0.1366,0.0518,0.64,0
0.2896,0.6633,0.3479,0
0.8304,0.233,0.6371,1
0.1877,0.9067,0.4785,0
0.4796,0.1346,0.2753,0
0.9758,0.7601,0.8935,1
0.9887,0.519,0.8524,1
0.7889,0.3208,0.6245,1
0.0083,0.6115,0.5882,0
0.5294,0.3164,0.9477,1
