x1,x2,x3,label
0.8098,0.4842,0.5942,1
0.8416,0.5142,0.1059,1
0.7599,0.2181,0.7665,1
0.437,0.8862,0.711,1
0.1277,0.9218,0.7219,1
0.7606,0.4269,0.1964,1
0.008,0.141,0.5174,0
0.3497,0.7105,0.7143,1
0.6976,0.277,0.5616,1
0.357,0.3549,0.9992,0
0.6326,0.5221,0.0693,1
0.0448,0.8761,0.5837,0
0.1084,0.6036,0.2256,0
0.5771,0.2264,0.3718,0
0.2305,0.2278,0.8669,0
0.3319,0.7208,0.176,1
0.5071,0.3465,0.2339,0
0.538,0.6313,0.0089,1
0.281,0.2693,0.8895,0
0.5548,0.6531,0.1061,1
0.0784,0.6616,0.1478,0
0.0585,0.0479,0.6797,0
0.1647,0.6147,0.6544,0
0.627,0.9119,0.218,1
0.594,0.6949,0.0397,1
0.1936,0.1129,0.3679,0
0.6957,0.3921,0.9568,1
0.8847,0.043,0.1268,0
0.2642,0.0359,0.2685,0
0.5924,0.518,0.5452,1
0.2495,0.9809,0.2924,1
0.1259,0.9156,0.827,1
0.1137,0.1188,0.1264,0
0.1973,0.1835,0.6513,0
0.7631,0.0902,0.9618,0
0.6339,0.8167,0.1834,1
0.4794,0.3759,0.7237,0
0.3592,0.5699,0.1814,0
0.9933,0.2485,0.1548,1
0.9762,0.2663,0.3173,1
0.8179,0.6949,0.4445,1
0.5709,0.4719,0.1731,1
0.8228,0.1775,0.7681,1
0.5437,0.4214,0.1057,1
0.9208,0.3279,0.5189,1
0.6727,0.7888,0.5169,1
0.4452,0.1627,0.4269,0
0.2687,0.5431,0.1283,0
0.9872,0.8236,0.2264,1
0.4324,0.4481,0.0522,0
0.2298,0.5546,0.8993,0
0.2992,0.6572,0.4294,1
0.6655,0.5207,0.1709,1
0.1834,0.7999,0.8343,1
0.609,0.5994,0.0126,1
0.7456,0.8933,0.6248,1
0.2573,0.3265,0.0316,0
0.3672,0.38,0.1522,0
0.4484,0.3371,0.5881,0
0.964,0.5547,0.1156,1
0.694,0.1658,0.9175,0
0.5109,0.7368,0.7388,1
0.6263,0.3397,0.63,1
0.731,0.9575,0.555,1
0.5135,0.7646,0.5727,1
0.4514,0.8268,0.2385,1
0.2932,0.9897,0.3856,1
0.3408,0.8176,0.4939,1
0.4304,0.9427,0.1226,1
0.6911,0.1018,0.4786,0
0.7598,0.1213,0.3294,0
0.8972,0.6937,0.7495,1
0.3659,0.6971,0.8894,1
0.7077,0.5048,0.4695,1
0.9081,0.868,0.5564,1
0.9856,0.9068,0.6392,1
0.0426,0.1216,0.9947,0
0.4685,0.7036,0.2736,1
0.6292,0.3508,0.2745,1
0.358,0.0443,0.9212,0
