x1,x2,x3,label
0.8591,0.9348,0.6682,1
0.0631,0.4423,0.1529,0
0.5385,0.3332,0.3976,0
0.8842,0.6251,0.6402,1
0.845,0.6094,0.3502,1
0.8167,0.2367,0.0152,1
0.6723,0.2691,0.3316,0
0.9476,0.9066,0.1517,1
0.7105,0.8524,0.9312,1
0.0258,0.9924,0.7023,1
0.0434,0.5006,0.6845,0
0.6431,0.7461,0.1853,1
0.9555,0.9217,0.3099,1
0.5178,0.5263,0.7591,1
0.9368,0.7739,0.7602,1
0.2366,0.5884,0.6324,0
0.05,0.6117,0.8721,0
0.4907,0.7158,0.7148,1
0.765,0.3404,0.9333,1
0.4409,0.4135,0.0595,0
0.6651,0.6413,0.5595,1
0.8758,0.625,0.7073,1
0.5829,0.8453,0.4226,1
0.8161,0.6385,0.3549,1
0.4974,0.1042,0.3947,0
0.9493,0.9991,0.3151,1
0.0193,0.6216,0.9491,0
0.8417,0.6351,0.6427,1
0.0397,0.647,0.2671,0
0.9812,0.5774,0.0682,1
0.57,0.7285,0.7125,1
0.2575,0.1156,0.4512,0
0.2931,0.6134,0.0199,0
0.948,0.2732,0.6109,1
0.6924,0.314,0.8504,1
0.7216,0.3168,0.5199,1
0.8507,0.9821,0.0935,1
0.325,0.1106,0.1799,0
0.6572,0.7866,0.2758,1
0.0257,0.5971,0.2021,0
0.6572,0.4458,0.3218,1
0.9887,0.5475,0.7781,1
0.9368,0.8431,0.3926,1
0.4059,0.7701,0.1966,1
0.4235,0.1941,0.4854,0
0.0403,0.4766,0.8978,0
0.4394,0.8325,0.8632,1
0.1635,0.8415,0.5498,1
0.5099,0.4486,0.9022,1
0.2571,0.3177,0.5276,0
0.9022,0.7372,0.7897,1
0.1189,0.4194,0.1048,0
0.2408,0.2754,0.7507,0
0.2915,0.1856,0.0737,0
0.6021,0.2886,0.0981,0
0.8739,0.0011,0.5707,0
0.0461,0.9609,0.1078,1
0.7445,0.1538,0.0395,0
0.1562,0.7797,0.2845,0
0.1785,0.0406,0.9659,0
0.4027,0.5488,0.2279,1
0.0178,0.8496,0.94,0
0.1738,0.5815,0.1189,0
0.8484,0.6144,0.6099,1
0.7532,0.1594,0.915,0
0.8532,0.8207,0.8183,1
0.5124,0.1387,0.856,0
0.6376,0.208,0.0747,0
0.2167,0.7956,0.9737,1
0.7843,0.9076,0.7938,1
0.0594,0.0517,0.8795,0
0.1282,0.3451,0.6916,0
0.4162,0.2112,0.6993,0
0.2601,0.211,0.9534,0
0.1831,0.1103,0.3739,0
0.5417,0.8845,0.6006,1
0.1085,0.6113,0.2338,0
0.0435,0.9374,0.9834,1
0.0539,0.6851,0.1491,0
0.4524,0.2024,0.2557,0
