x1,x2,x3,label
0.8829,0.7862,0.2498,1
0.7688,0.6294,0.637,1
0.0024,0.577,0.5139,0
0.0003,0.0199,0.9804,0
0.2426,0.0393,0.29,0
0.1781,0.4807,0.9592,0
0.5593,0.7198,0.5851,1
0.9771,0.6079,0.9196,1
0.1231,0.3454,0.766,0
0.9598,0.3982,0.4092,1
0.5908,0.1014,0.4889,0
0.9229,0.956,0.3489,1
0.45,0.6006,0.9463,1
0.0926,0.5192,0.9921,0
0.3683,0.5715,0.2454,0
0.6884,0.0593,0.1805,0
0.5471,0.0779,0.8537,0
0.6871,0.5859,0.6672,1
0.779,0.7413,0.4808,1
0.4176,0.0693,0.6974,0
0.3004,0.1608,0.969,0
0.7345,0.656,0.6941,1
0.0239,0.6686,0.1641,0
0.4041,0.428,0.2396,0
0.1155,0.7665,0.0285,0
0.2529,0.8558,0.0336,0
0.1313,0.3986,0.2514,0
0.1786,0.0857,0.9932,0
0.3847,0.7445,0.678,0
0.7312,0.6341,0.5146,1
0.2573,0.1008,0.3269,0
0.2787,0.3989,0.8433,0
0.4266,0.2713,0.3539,0
0.1135,0.0736,0.0861,0
0.291,0.5146,0.6201,0
0.9184,0.5717,0.3337,1
0.3814,0.2469,0.0184,0
0.774,0.8063,0.962,1
0.9105,0.1134,0.5545,1
0.5949,0.1917,0.8519,0
0.3697,0.1332,0.4116,0
0.0137,0.9929,0.2956,0
0.046,0.6913,0.7096,0
0.6656,0.8103,0.7307,1
0.0121,0.2741,0.4287,0
0.752,0.2791,0.3552,0
0.5631,0.0756,0.5063,0
0.1249,0.2603,0.8742,0
0.2407,0.3325,0.9171,0
0.5286,0.0466,0.6437,0
0.6706,0.4024,0.0928,0
0.0632,0.334,0.3895,0
0.1117,0.8356,0.9604,0
0.569,0.6343,0.1159,0
0.4676,0.1875,0.2682,0
0.695,0.6409,0.1879,1
0.0838,0.5917,0.8205,0
0.5726,0.3924,0.5952,0
0.9401,0.5876,0.5124,1
0.7462,0.405,0.4888,1
0.819,0.0209,0.5961,0
0.3437,0.7766,0.9299,1
0.7512,0.9586,0.9812,1
0.563,0.7165,0.7733,1
0.2385,0.7484,0.2118,0
0.604,0.3184,0.5163,0
0.9879,0.2573,0.3212,1
0.2967,0.4931,0.6996,0
0.9207,0.4658,0.0913,1
0.8452,0.578,0.8269,1
0.3866,0.3947,0.3789,0
0.5348,0.4791,0.7543,1
0.9987,0.3981,0.3744,1
0.8191,0.5106,0.3955,1
0.266,0.3526,0.5315,0
0.6122,0.0352,0.6533,0
0.9903,0.0489,0.849,1
0.795,0.2083,0.152,0
0.7559,0.5831,0.2847,1
0.6627,0.7444,0.876,1
0.3062,0.0315,0.0474,0
0.6861,0.7147,0.6531,1
0.2591,0.5714,0.9829,0
0.9649,0.4543,0.1916,1
0.7667,0.75,0.2717,1
0.5019,0.3463,0.9028,0
0.1788,0.5648,0.5117,0
0.6007,0.328,0.3383,0
0.1767,0.0648,0.3835,0
