x1,x2,x3,label
0.9231,0.8845,0.205,1
0.5243,0.0042,0.8855,0
0.4889,0.0252,0.797,0
0.3602,0.8773,0.8085,1
0.2476,0.4801,0.8235,0
0.5724,0.6553,0.5024,1
0.4456,0.2798,0.0402,0
0.6444,0.072,0.5262,0
0.2442,0.7377,0.7019,1
0.1752,0.0288,0.1605,0
0.3647,0.2969,0.0383,0
0.8183,0.2499,0.8104,1
0.7095,0.7076,0.4371,1
0.2464,0.8352,0.6834,1
0.0627,0.7675,0.2487,0
0.8059,0.3647,0.7827,1
0.7374,0.0226,0.4728,0
0.7655,0.8115,0.2275,1
0.257,0.2276,0.2839,0
0.3954,0.6618,0.5218,1
0.2858,0.389,0.923,0
0.3099,0.3902,0.8975,0
0.1468,0.6712,0.4463,0
0.9449,0.3292,0.9673,1
0.0522,0.2701,0.6583,0
0.4913,0.9092,0.5865,1
0.8833,0.8829,0.7656,1
0.5051,0.1319,0.691,0
0.1043,0.6329,0.9289,0
0.2772,0.4133,0.3238,0
0.8887,0.2681,0.1228,1
0.918,0.4037,0.5172,1
0.2574,0.6379,0.4122,0
0.1138,0.5157,0.7404,0
0.4832,0.6709,0.8939,1
0.318,0.6816,0.752,1
0.3293,0.1825,0.9208,0
0.7393,0.0708,0.1256,0
0.8123,0.1465,0.6827,1
0.6366,0.1648,0.2546,0
0.4788,0.6486,0.4144,1
0.819,0.9608,0.0126,1
0.7959,0.3372,0.4505,1
0.4858,0.0304,0.3733,0
0.6679,0.7309,0.4488,1
0.1146,0.2131,0.93,0
0.798,0.9046,0.433,1
0.7418,0.9221,0.0671,1
0.6085,0.0856,0.1302,0
0.2822,0.379,0.2949,0
0.4051,0.4698,0.0679,0
0.9302,0.9502,0.4856,1
0.3044,0.9484,0.614,1
0.7858,0.3039,0.4335,1
0.3004,0.0588,0.3558,0
0.4618,0.1629,0.4537,0
0.1723,0.3098,0.6496,0
0.4155,0.1068,0.9083,0
0.2387,0.202,0.8386,0
0.561,0.1886,0.0111,0
0.1065,0.0227,0.3825,0
0.3848,0.03,0.3124,0
0.7987,0.9351,0.7318,1
0.2145,0.407,0.2978,0
0.7296,0.7971,0.45,1
0.1576,0.6787,0.1869,0
0.6407,0.1261,0.037,0
0.1837,0.3779,0.8068,0
0.3061,0.9442,0.4898,1
0.3229,0.399,0.7708,0
0.595,0.4206,0.461,1
0.9477,0.4038,0.3275,1
0.3489,0.2394,0.2513,0
0.5955,0.9472,0.6735,1
0.7154,0.0154,0.9195,0
0.0627,0.5145,0.9282,0
0.4987,0.9254,0.8366,1
0.4587,0.0351,0.4833,0
0.1925,0.612,0.7226,0
0.2089,0.1918,0.7992,0
