x1,x2,x3,label
0.334,0.0686,0.9431,0
0.3888,0.5262,0.715,0
0.7824,0.1513,0.3538,0
0.1097,0.1469,0.2042,0
0.1357,0.0805,0.227,0
0.0227,0.0611,0.9377,0
0.8179,0.3852,0.984,1
0.1188,0.6184,0.8281,0
0.0746,0.0716,0.3655,0
0.5754,0.4748,0.9809,1
0.9272,0.6968,0.9665,1
0.1298,0.4991,0.5577,0
0.9065,0.8945,0.0784,1
0.3545,0.385,0.7352,0
0.7168,0.8704,0.0355,1
0.9193,0.1226,0.6595,1
0.5211,0.108,0.6264,0
0.0715,0.8402,0.3054,0
0.4489,0.4975,0.6279,0
0.6599,0.8577,0.9022,1
0.5475,0.542,0.7188,1
0.8695,0.4647,0.2948,1
0.2514,0.7953,0.7731,1
0.9196,0.4786,0.4417,1
0.4258,0.168,0.352,0
0.5921,0.8574,0.4786,1
0.621,0.195,0.0822,0
0.4861,0.1724,0.9187,0
0.7078,0.501,0.2337,1
0.0178,0.1825,0.6264,0
0.5047,0.1638,0.2113,0
0.0289,0.808,0.6088,0
0.4565,0.895,0.114,1
0.6773,0.5258,0.2382,1
0.4508,0.2981,0.9899,0
0.2938,0.782,0.8114,1
0.8791,0.426,0.299,1
0.0023,0.5028,0.2546,0
0.3939,0.4378,0.2192,0
0.8295,0.4653,0.8083,1
0.8882,0.3093,0.5492,1
0.4486,0.1918,0.2848,0
0.3754,0.1637,0.7086,0
0.2793,0.1255,0.4549,0
0.7756,0.1707,0.2221,0
0.9237,0.8162,0.1882,1
0.0078,0.2757,0.9253,0
0.006,0.3345,0.0649,0
0.7352,0.2579,0.5286,1
0.9636,0.1894,0.7933,1
0.2977,0.3588,0.4355,0
0.2857,0.2349,0.352,0
0.4391,0.2137,0.6326,0
0.006,0.4198,0.6305,0
0.9622,0.7406,0.2248,1
0.8351,0.3996,0.5752,1
0.2351,0.9389,0.2749,1
0.9177,0.186,0.5445,1
0.1498,0.0019,0.6053,0
0.27,0.088,0.3721,0
0.1407,0.1259,0.1617,0
0.5766,0.5108,0.0175,1
0.3533,0.8535,0.0349,1
0.7326,0.9766,0.5996,1
0.7279,0.9325,0.3909,1
0.4683,0.2967,0.0515,0
0.3641,0.1881,0.5872,0
0.7447,0.7713,0.1166,1
0.4563,0.0066,0.9538,0
0.9316,0.747,0.1532,1
0.2341,0.3325,0.2967,0
0.8527,0.4113,0.506,1
0.4641,0.3798,0.3132,0
0.975,0.6905,0.8762,1
0.9204,0.28,0.4672,1
0.5842,0.9863,0.2984,1
0.4946,0.0521,0.4062,0
0.2805,0.2876,0.0489,0
0.3774,0.5734,0.0463,1
0.5129,0.6348,0.312,1
