time,value
1,106.27
2,107.28
3,102.91
4,105.49
5,94.4
6,103.12
7,109.99
8,103.0
9,119.0
10,113.99
11,118.96
12,111.51
13,114.82
14,122.79
15,125.96
16,126.9
17,109.35
18,121.99
19,130.62
20,123.62
21,150.36
22,133.92
23,138.26
24,154.83
25,139.45
26,141.17
27,143.02
28,155.01
29,152.83
30,162.08
31,152.87
32,141.96
33,169.15
34,167.55
35,171.44
36,164.61
37,160.32
38,170.93
39,170.32
40,158.75
41,162.33
42,178.2
43,166.5
44,189.56
45,172.58
46,192.38
47,188.31
48,183.03
49,177.76
50,195.98
51,189.09
52,209.81
53,198.67
54,200.01
55,210.36
56,211.53
57,207.56
58,204.39
59,200.27
60,217.97
