x1,x2,x3,label
0.4966,0.9053,0.1929,1
0.2965,0.0942,0.859,0
0.8746,0.7718,0.3041,1
0.0911,0.1803,0.5721,0
0.5787,0.4566,0.1331,1
0.8839,0.4684,0.2026,1
0.8497,0.4214,0.0824,1
0.6843,0.9642,0.3406,1
0.2426,0.0443,0.1538,0
0.6126,0.5319,0.7687,1
0.9088,0.4055,0.3951,1
0.852,0.8516,0.5465,1
0.2499,0.5156,0.8195,0
0.7275,0.6268,0.2747,1
0.7966,0.7151,0.2803,1
0.309,0.9439,0.2871,1
0.5881,0.5659,0.2598,1
0.3819,0.2192,0.8491,0
0.9076,0.4761,0.323,1
0.1626,0.8462,0.6502,1
0.1803,0.8209,0.8274,1
0.2432,0.9998,0.6281,1
0.084,0.8959,0.5398,1
0.941,0.4108,0.8511,1
0.2176,0.2736,0.7396,0
0.1512,0.5543,0.4668,0
0.6771,0.9391,0.8936,1
0.8158,0.6267,0.9958,1
0.1409,0.4663,0.8597,0
0.3825,0.9493,0.838,1
0.5805,0.7938,0.9408,1
0.2263,0.013,0.1241,0
0.7891,0.4357,0.5446,1
0.5566,0.1259,0.8429,0
0.8805,0.3566,0.2832,1
0.2011,0.8177,0.8225,1
0.4183,0.9724,0.0276,1
0.6797,0.6608,0.0798,1
0.6265,0.9574,0.3253,1
0.8319,0.983,0.9655,1
0.215,0.0983,0.3018,0
0.6681,0.8639,0.3442,1
0.89,0.7753,0.73,1
0.1747,0.4565,0.6267,0
0.6626,0.4526,0.9447,1
0.8044,0.8859,0.6396,1
0.9466,0.932,0.3019,1
0.0333,0.5429,0.0606,0
0.6419,0.1409,0.4815,0
0.019,0.2343,0.2055,0
0.7335,0.3883,0.8537,1
0.6202,0.6644,0.9765,1
0.0795,0.9979,0.173,1
0.4141,0.5907,0.2156,1
0.5121,0.53,0.6891,1
0.1968,0.7585,0.5073,1
0.5218,0.9967,0.4993,1
0.8609,0.4936,0.3889,1
0.0048,0.3473,0.0139,0
0.5514,0.3954,0.7627,0
0.4484,0.4975,0.6748,0
0.1354,0.9342,0.8967,1
0.5899,0.4156,0.2581,1
0.2414,0.9919,0.4897,1
0.6474,0.6358,0.8912,1
0.4797,0.8016,0.3035,1
0.8655,0.1929,0.6103,1
0.0376,0.3805,0.5934,0
0.272,0.8044,0.8787,1
0.5908,0.907,0.4028,1
0.7374,0.2807,0.6423,1
0.2361,0.8466,0.9951,1
0.1034,0.0101,0.0713,0
0.7799,0.8659,0.6809,1
0.0229,0.6594,0.1475,0
0.4309,0.9153,0.8589,1
0.3856,0.2398,0.4995,0
0.9784,0.2788,0.2404,1
0.6742,0.4278,0.4811,1
0.206,0.1929,0.9036,0
