x1,x2,x3,label
0.3053,0.4926,0.8092,0
0.3817,0.7028,0.9957,1
0.2916,0.4375,0.1298,0
0.4181,0.2559,0.3076,0
0.413,0.8288,0.0792,1
0.4301,0.1432,0.5097,0
0.3915,0.9381,0.5307,1
0.6933,0.2473,0.7202,0
0.2708,0.7228,0.6527,1
0.1816,0.4961,0.6175,0
0.0995,0.7363,0.7852,0
0.4405,0.0199,0.6721,0
0.8695,0.6493,0.1736,1
0.7565,0.3339,0.4449,1
0.4746,0.047,0.4326,0
0.9243,0.5316,0.9353,1
0.6576,0.8221,0.5485,1
0.692,0.684,0.6123,1
0.0901,0.0829,0.7073,0
0.1275,0.2285,0.0722,0
0.1844,0.6825,0.1943,0
0.9724,0.8909,0.6369,1
0.3568,0.2577,0.0943,0
0.4274,0.2624,0.5356,0
0.8629,0.4161,0.941,1
0.3879,0.2205,0.6839,0
0.6831,0.4026,0.4579,1
0.518,0.1479,0.1994,0
0.1156,0.7624,0.0036,0
0.0916,0.1187,0.1222,0
0.2827,0.9027,0.4796,1
0.6245,0.8126,0.6811,1
0.0743,0.6008,0.4403,0
0.4788,0.8066,0.5048,1
0.4053,0.1327,0.2424,0
0.1388,0.6133,0.5659,0
0.9951,0.7926,0.446,1
0.412,0.8422,0.6029,1
0.7161,0.2008,0.3879,0
0.2112,0.5882,0.2604,0
0.1138,0.1735,0.7948,0
0.5052,0.7618,0.0374,1
0.3087,0.4005,0.6518,0
0.6167,0.9667,0.3667,1
0.7505,0.0904,0.2134,0
0.0651,0.066,0.1344,0
0.3799,0.2569,0.7822,0
0.8206,0.6313,0.6501,1
0.7965,0.2832,0.628,1
0.2611,0.7583,0.4566,1
0.9015,0.264,0.4703,1
0.2273,0.118,0.1179,0
0.7876,0.09,0.1715,0
0.0854,0.6464,0.1122,0
0.1077,0.5912,0.5097,0
0.6197,0.748,0.9534,1
0.605,0.6769,0.5916,1
0.5434,0.1353,0.9967,0
0.2349,0.1892,0.6489,0
0.8707,0.9921,0.7838,1
0.4734,0.1188,0.7026,0
0.6981,0.7907,0.1558,1
0.0898,0.0151,0.0735,0
0.5757,0.6581,0.2086,1
0.2812,0.2564,0.9037,0
0.6786,0.9485,0.8744,1
0.4108,0.7534,0.4711,1
0.8198,0.1429,0.9098,1
0.3331,0.9098,0.0518,1
0.9361,0.3776,0.4637,1
0.0593,0.92,0.5286,1
0.5382,0.9833,0.8779,1
0.0658,0.7752,0.022,0
0.2411,0.7432,0.6143,1
0.2697,0.8193,0.1569,1
0.3306,0.9605,0.6205,1
0.6899,0.6242,0.8626,1
0.1712,0.5275,0.1634,0
0.4613,0.5904,0.397,1
0.2344,0.978,0.6249,1
