x1,x2,x3,label
0.902,0.0242,0.4255,0
0.2747,0.0001,0.8826,0
0.2366,0.4554,0.539,0
0.4937,0.5136,0.4651,1
0.9242,0.6313,0.2857,1
0.4939,0.9425,0.9623,1
0.0276,0.0797,0.2702,0
0.2078,0.0126,0.5555,0
0.9914,0.0174,0.6918,1
0.3836,0.4122,0.92,0
0.8189,0.8391,0.6824,1
0.5255,0.8036,0.1092,1
0.193,0.8121,0.0981,1
0.3556,0.8882,0.7846,1
0.8772,0.1433,0.0225,1
0.9672,0.0392,0.5826,1
0.122,0.5149,0.1176,0
0.2782,0.4132,0.5709,0
0.7921,0.0619,0.2085,0
0.7382,0.5901,0.8079,1
0.7218,0.3341,0.772,1
0.3875,0.8802,0.1572,1
0.0781,0.0191,0.66,0
0.3749,0.2334,0.1741,0
0.7624,0.4733,0.2747,1
0.3334,0.262,0.1198,0
0.0592,0.1767,0.9891,0
0.2649,0.1387,0.7128,0
0.9972,0.215,0.3618,1
0.6739,0.5651,0.4308,1
0.4817,0.8911,0.9858,1
0.6905,0.0436,0.3148,0
0.5106,0.0822,0.3595,0
0.919,0.3326,0.6496,1
0.8897,0.4454,0.0822,1
0.057,0.2943,0.8162,0
0.4533,0.5369,0.3349,1
0.5649,0.1382,0.3504,0
0.6835,0.9681,0.3617,1
0.196,0.5635,0.5437,0
0.57,0.7903,0.6515,1
0.381,0.6021,0.8225,1
0.7711,0.1239,0.3288,0
0.0712,0.4369,0.3251,0
0.3576,0.8289,0.2672,1
0.4638,0.3981,0.8654,0
0.8524,0.9183,0.5375,1
0.3844,0.8632,0.4637,1
0.4642,0.843,0.3571,1
0.8801,0.2682,0.8547,1
0.1778,0.6144,0.825,0
0.1426,0.6232,0.0578,0
0.6954,0.2884,0.2078,1
0.7722,0.1728,0.9054,0
0.0117,0.4265,0.093,0
0.4187,0.2358,0.4502,0
0.2036,0.9666,0.4403,1
0.199,0.7982,0.5444,1
0.249,0.4889,0.9186,0
0.8456,0.8258,0.0007,1
0.9344,0.3038,0.1164,1
0.2663,0.1544,0.524,0
0.2709,0.5584,0.741,0
0.3293,0.4684,0.7773,0
0.1226,0.5919,0.5729,0
0.7996,0.1356,0.2469,0
0.7697,0.3377,0.7956,1
0.3407,0.507,0.7281,0
0.6555,0.0447,0.7062,0
0.8723,0.1604,0.3108,1
0.1918,0.9958,0.4341,1
0.1505,0.1021,0.6098,0
0.9361,0.7473,0.0375,1
0.5911,0.8253,0.5158,1
0.2249,0.1253,0.024,0
0.8792,0.5454,0.3795,1
0.4827,0.7606,0.8563,1
0.0362,0.1675,0.8227,0
0.2804,0.2496,0.3605,0
0.3339,0.3434,0.6134,0
