x1,x2,x3,label
0.4966,0.7985,0.412,1
0.5381,0.9464,0.5548,1
0.0929,0.1183,0.6605,0
0.3947,0.9521,0.7415,1
0.6792,0.381,0.8024,1
0.5357,0.7284,0.4081,1
0.8571,0.1986,0.9283,1
0.0234,0.8411,0.2639,0
0.1341,0.2177,0.2017,0
0.9814,0.9972,0.3526,1
0.4604,0.4844,0.343,0
0.2292,0.7335,0.1737,1
0.6355,0.0436,0.8658,0
0.4548,0.0063,0.8966,0
0.1845,0.0736,0.7772,0
0.5486,0.8114,0.682,1
0.9109,0.7222,0.7963,1
0.4611,0.7933,0.3849,1
0.8041,0.2742,0.421,1
0.2632,0.2548,0.3107,0
0.1317,0.7021,0.933,0
0.7731,0.255,0.8048,1
0.4547,0.5834,0.5922,1
0.0069,0.6697,0.9213,0
0.4002,0.2954,0.6778,0
0.5288,0.3634,0.7003,0
0.6118,0.8473,0.2306,1
0.7213,0.9674,0.3536,1
0.6457,0.1255,0.0847,0
0.2756,0.705,0.0437,1
0.2809,0.8383,0.6264,1
0.6597,0.9889,0.9049,1
0.638,0.2346,0.1857,0
0.5824,0.5044,0.9448,1
0.6588,0.9971,0.5714,1
0.5854,0.1723,0.1338,0
0.5665,0.5203,0.9152,1
0.2252,0.394,0.3194,0
0.4609,0.2215,0.76,0
0.4579,0.497,0.5573,1
0.9143,0.7979,0.77,1
0.8833,0.7812,0.1036,1
0.1314,0.3964,0.1623,0
0.1263,0.3569,0.3564,0
0.1533,0.7131,0.3967,0
0.8593,0.5883,0.0598,1
0.6505,0.4071,0.2408,1
0.1008,0.4433,0.914,0
0.2818,0.6825,0.6166,1
0.9729,0.662,0.0276,1
0.2406,0.8103,0.0562,1
0.1323,0.7399,0.0945,0
0.5532,0.1426,0.2375,0
0.9011,0.9332,0.3473,1
0.5945,0.8026,0.8833,1
0.4855,0.6179,0.4796,1
0.703,0.4274,0.5102,1
0.7785,0.843,0.3755,1
0.0213,0.8916,0.4056,0
0.8279,0.0008,0.0667,0
0.2659,0.7724,0.3834,1
0.4606,0.5946,0.5816,1
0.7518,0.3754,0.6984,1
0.3744,0.3361,0.9299,0
0.8515,0.0995,0.9287,1
0.3979,0.5022,0.0875,0
0.2188,0.4765,0.562,0
0.5354,0.0888,0.0608,0
0.9467,0.2836,0.9383,1
0.66,0.2671,0.1769,0
0.0303,0.4482,0.1456,0
0.452,0.5263,0.0376,1
0.1174,0.4646,0.501,0
0.3963,0.3227,0.7035,0
0.4749,0.9259,0.0751,1
0.0297,0.638,0.4837,0
0.1939,0.8152,0.5824,1
0.6991,0.7953,0.0403,1
0.9157,0.0373,0.5786,1
0.124,0.8825,0.0389,1
