x1,x2,x3,label
0.2878,0.2587,0.9576,0
0.0318,0.4007,0.467,0
0.4861,0.0779,0.8326,0
0.1768,0.442,0.9616,0
0.1178,0.4496,0.9671,0
0.0799,0.8667,0.8163,0
0.8113,0.2693,0.2037,1
0.7205,0.1697,0.5628,0
0.4478,0.4795,0.5255,0
0.994,0.6893,0.5677,1
0.5439,0.0151,0.5678,0
0.2163,0.9147,0.6815,1
0.654,0.5853,0.5958,1
0.5647,0.3708,0.729,0
0.6563,0.9765,0.8578,1
0.2454,0.2374,0.0658,0
0.0644,0.1962,0.0032,0
0.9978,0.7235,0.9882,1
0.0751,0.0199,0.5857,0
0.5271,0.1947,0.1957,0
0.1842,0.9978,0.8948,1
0.8906,0.9009,0.0213,1
0.3768,0.8313,0.2555,1
0.8101,0.6942,0.2098,1
0.3496,0.9707,0.6766,1
0.0272,0.8229,0.9153,0
0.4311,0.5334,0.8161,1
0.3891,0.2977,0.9852,0
0.8637,0.686,0.0366,1
0.0631,0.7942,0.4181,0
0.4539,0.8646,0.5728,1
0.1285,0.5166,0.5292,0
0.7189,0.2846,0.7874,1
0.7849,0.2231,0.2548,1
0.5365,0.0305,0.9313,0
0.7102,0.8646,0.4123,1
0.6716,0.4166,0.4668,1
0.1353,0.043,0.3603,0
0.1676,0.1767,0.9547,0
0.8385,0.6936,0.6839,1
0.8101,0.0111,0.223,0
0.0747,0.7844,0.9382,0
0.4683,0.9121,0.1775,1
0.2537,0.1704,0.7907,0
0.9342,0.9868,0.2418,1
0.567,0.6783,0.9805,1
0.7774,0.7322,0.3406,1
0.9539,0.3725,0.8891,1
0.8872,0.156,0.1587,1
0.6231,0.4919,0.4646,1
0.8609,0.168,0.8315,1
0.7824,0.7898,0.349,1
0.808,0.0484,0.012,0
0.4479,0.9523,0.8889,1
0.6924,0.3286,0.8072,1
0.7973,0.4986,0.1218,1
0.7074,0.4009,0.3856,1
0.4678,0.0116,0.2061,0
0.8867,0.2768,0.3751,1
0.672,0.9606,0.2825,1
0.8812,0.2816,0.892,1
0.591,0.5836,0.4524,1
0.4516,0.45,0.0782,0
0.0108,0.1723,0.819,0
0.3258,0.6507,0.2057,1
0.1935,0.3913,0.2323,0
0.8611,0.4444,0.9234,1
0.1076,0.9579,0.6396,1
0.0292,0.1676,0.027,0
0.0285,0.7754,0.5239,0
0.3319,0.6241,0.4978,1
0.7813,0.8496,0.3787,1
0.3315,0.1728,0.1798,0
0.8341,0.9046,0.588,1
0.7121,0.4002,0.663,1
0.8347,0.4415,0.9591,1
0.5304,0.8232,0.9197,1
0.3708,0.8638,0.8705,1
0.9199,0.2671,0.1772,1
0.7943,0.4559,0.3186,1
