x1,x2,x3
46.75,22.77,44.92
52.03,33.15,69.77
58.47,30.08,81.93
50.73,29.98,62.42
45.71,35.61,64.45
44.52,29.28,80.96
41.77,24.23,81.34
53.89,31.9,83.96
28.89,28.53,87.95
50.73,25.45,64.52
47.74,25.97,74.77
45.51,29.24,53.18
54.35,28.33,83.28
46.6,34.5,48.94
45.69,35.65,80.19
59.52,24.65,68.02
54.52,22.54,95.55
42.82,27.96,79.4
47.04,27.88,56.61
58.21,27.91,60.79
62.41,29.17,78.29
61.32,34.81,63.28
48.0,37.64,56.57
55.2,27.43,58.66
59.74,30.48,80.53
56.63,32.44,57.14
44.57,35.43,58.33
35.99,30.12,62.8
56.04,35.2,75.32
47.16,32.15,71.15
56.44,31.69,74.93
61.85,36.81,69.57
45.52,34.86,60.73
47.41,30.74,70.44
52.55,33.47,62.18
43.09,20.83,77.89
69.73,32.92,76.64
34.31,30.35,69.64
55.39,36.85,70.86
53.18,24.67,58.39
49.6,28.42,71.41
44.98,32.65,60.43
60.79,33.05,67.21
42.58,32.01,61.84
57.59,35.19,68.42
51.04,26.87,86.95
46.59,29.47,67.31
47.7,37.3,72.73
28.25,24.61,80.41
45.4,31.17,60.06
36.45,20.96,63.44
40.16,15.08,70.53
59.65,29.87,75.48
43.01,36.23,56.18
50.4,39.43,77.66
41.57,27.04,52.7
45.12,25.25,77.43
52.15,34.76,74.43
51.25,26.35,57.32
64.98,34.42,107.66
41.98,38.01,67.06
45.98,28.44,77.55
54.37,31.51,73.84
48.15,36.14,71.88
48.39,36.27,79.5
32.69,31.15,65.07
41.54,25.91,76.05
57.44,26.79,81.05
55.08,33.51,71.61
47.37,31.24,83.58
59.94,30.0,64.33
50.54,29.19,84.01
52.12,28.23,72.81
45.49,28.32,75.89
42.45,31.04,74.71
53.17,35.89,54.33
59.25,33.98,60.97
49.24,31.13,63.66
46.55,38.0,70.21
58.4,26.96,73.23
60.14,28.31,49.34
66.37,27.21,65.03
43.2,42.32,54.3
48.35,28.43,68.01
50.27,34.78,80.28
35.56,26.23,66.56
57.69,31.91,60.77
44.72,36.3,77.67
51.76,23.89,69.6
49.6,38.21,75.62
47.57,30.08,69.02
52.33,32.56,57.26
37.39,34.4,57.11
62.11,28.16,73.54
48.5,37.52,74.36
49.84,26.24,77.98
43.77,35.05,80.38
54.27,26.97,63.05
58.48,32.89,76.87
52.54,31.79,60.06
34.47,28.94,80.31
34.78,31.84,78.05
44.58,25.38,87.74
33.03,24.97,55.66
45.06,31.36,72.77
47.58,30.46,69.56
39.98,31.11,70.29
50.52,29.0,61.58
49.29,27.79,73.97
36.34,32.4,83.24
57.59,36.12,62.1
52.62,23.53,81.07
39.67,31.47,73.19
57.28,44.54,75.02
47.31,25.04,71.02
55.08,31.31,67.44
46.67,32.71,67.61
49.38,34.23,53.31
45.62,25.95,72.92
40.85,21.61,63.25
