x1,x2,x3,label
0.8376,0.8233,0.483,1
0.6636,0.3302,0.7429,1
0.4922,0.7119,0.7526,1
0.9289,0.651,0.6815,1
0.1474,0.0336,0.7601,0
0.5466,0.7901,0.9755,1
0.2724,0.2853,0.2072,0
0.748,0.8052,0.9903,1
0.0666,0.5259,0.1155,0
0.3121,0.1147,0.1111,0
0.2513,0.526,0.5357,0
0.8589,0.0566,0.0256,0
0.5451,0.8479,0.5171,1
0.522,0.6578,0.6655,1
0.4522,0.8152,0.892,1
0.7902,0.4556,0.358,1
0.6107,0.6964,0.3671,1
0.0897,0.7746,0.6701,0
0.0224,0.7406,0.233,0
0.3556,0.1912,0.5768,0
0.5237,0.6201,0.0962,0
0.6127,0.0674,0.9459,0
0.7135,0.8685,0.9683,1
0.2676,0.6431,0.569,0
0.8518,0.4529,0.6104,1
0.5695,0.3251,0.1702,0
0.4745,0.2759,0.2839,0
0.9577,0.427,0.3202,1
0.9222,0.5,0.4788,1
0.99,0.272,0.2296,1
0.4887,0.7612,0.5916,1
0.61,0.9284,0.4424,1
0.778,0.0848,0.0667,0
0.8188,0.2509,0.96,1
0.7798,0.5287,0.3701,1
0.1636,0.5445,0.8579,0
0.8466,0.9303,0.7103,1
0.8448,0.1409,0.0411,0
0.7447,0.2784,0.8525,1
0.1503,0.187,0.8225,0
0.3956,0.5235,0.1542,0
0.5747,0.8129,0.7515,1
0.9559,0.2627,0.6248,1
0.5494,0.5415,0.2168,0
0.1039,0.8684,0.9459,0
0.2876,0.0609,0.4546,0
0.2862,0.4949,0.0259,0
0.0372,0.3648,0.0073,0
0.1168,0.3054,0.7893,0
0.0936,0.8626,0.4436,0
0.9693,0.2237,0.9243,1
0.7593,0.7963,0.9366,1
0.5268,0.1271,0.6505,0
0.6468,0.4657,0.9693,1
0.005,0.9616,0.4859,0
0.111,0.6956,0.8489,0
0.8274,0.2749,0.4495,1
0.4333,0.3226,0.877,0
0.5811,0.6312,0.9904,1
0.0865,0.0721,0.5575,0
0.79,0.409,0.409,1
0.9094,0.2934,0.6491,1
0.6683,0.1464,0.602,0
0.4194,0.0007,0.3976,0
0.0285,0.4474,0.9024,0
0.6051,0.5745,0.2677,1
0.6851,0.6202,0.1065,1
0.1449,0.6382,0.4455,0
0.5404,0.6237,0.7234,1
0.6191,0.0837,0.79,0
0.7913,0.1714,0.5045,0
0.1334,0.9783,0.6076,0
