time,value
1,86.75
2,94.51
3,98.64
4,103.05
5,110.99
6,105.86
7,108.89
8,93.68
9,121.22
10,130.64
11,120.5
12,104.64
13,115.37
14,133.66
15,134.59
16,126.51
17,129.47
18,130.17
19,134.26
20,133.1
21,142.83
22,139.2
23,129.55
24,149.99
25,137.6
26,135.29
27,142.74
28,153.05
29,151.78
30,154.86
31,167.72
32,160.11
33,161.58
34,153.24
35,157.08
36,159.29
37,160.57
38,167.92
39,162.4
40,165.02
41,178.65
42,179.74
43,165.77
44,176.83
45,182.6
46,180.6
47,192.44
48,170.24
49,177.87
50,201.99
51,191.53
52,197.88
53,206.28
54,212.56
55,201.73
56,190.65
57,199.64
58,202.54
59,212.13
60,210.33
