x1,x2,x3,label
0.8739,0.7754,0.5661,1
0.5377,0.1604,0.8222,0
0.9412,0.2446,0.0425,1
0.6308,0.7041,0.0425,1
0.1497,0.7601,0.2261,0
0.5712,0.1645,0.8044,0
0.4283,0.8906,0.5175,1
0.3968,0.313,0.4144,0
0.2485,0.5508,0.0694,0
0.0098,0.8046,0.1551,0
0.6866,0.5919,0.3973,1
0.5998,0.8869,0.5638,1
0.5676,0.3528,0.4114,0
0.5842,0.0332,0.2027,0
0.4774,0.182,0.544,0
0.3081,0.7679,0.9538,1
0.8676,0.9821,0.0672,1
0.8279,0.506,0.1959,1
0.4963,0.5873,0.4747,1
0.8054,0.3318,0.0097,1
0.2675,0.3801,0.8647,0
0.8771,0.3978,0.333,1
0.5231,0.2515,0.8922,0
0.744,0.1251,0.4809,0
0.8067,0.2863,0.2647,1
0.6924,0.7379,0.6919,1
0.934,0.0218,0.0359,1
0.3272,0.3762,0.3249,0
0.8525,0.4661,0.4274,1
0.162,0.5595,0.4328,0
0.9675,0.7853,0.2213,1
0.0971,0.1444,0.2886,0
0.4408,0.1499,0.0719,0
0.8932,0.9126,0.9045,1
0.9842,0.832,0.9318,1
0.8128,0.8788,0.3137,1
0.8627,0.3459,0.1936,1
0.0321,0.4118,0.2699,0
0.0782,0.5716,0.7347,0
0.9547,0.322,0.4158,1
0.5019,0.6158,0.4377,1
0.6587,0.2331,0.7934,0
0.5161,0.8198,0.0329,1
0.8751,0.5946,0.9245,1
0.1909,0.4313,0.9427,0
0.8765,0.4123,0.1826,1
0.5842,0.3263,0.5523,0
0.7923,0.9742,0.4279,1
0.5543,0.8335,0.7537,1
0.8169,0.0449,0.5602,0
0.7066,0.7039,0.3415,1
0.2287,0.485,0.879,0
0.443,0.9129,0.2582,1
0.6358,0.7455,0.9002,1
0.4664,0.1236,0.4142,0
0.748,0.6774,0.2178,1
0.6587,0.731,0.6375,1
0.4631,0.0167,0.3753,0
0.8449,0.0005,0.2664,0
0.3754,0.4529,0.9803,0
0.4202,0.0741,0.0154,0
0.0829,0.272,0.0567,0
0.3389,0.4626,0.3236,0
0.5024,0.0848,0.5918,0
0.6431,0.4649,0.2797,1
0.9772,0.5619,0.1522,1
0.7943,0.8395,0.8436,1
0.2479,0.6452,0.8671,0
0.7837,0.5824,0.7031,1
0.8288,0.282,0.2489,1
0.484,0.1226,0.657,0
0.7795,0.4515,0.8726,1
0.7259,0.4448,0.8506,1
0.1575,0.074,0.746,0
0.3521,0.2108,0.0398,0
0.8242,0.2087,0.4177,1
0.5335,0.6498,0.9476,1
0.21,0.1058,0.9622,0
0.0377,0.9438,0.7642,1
0.7143,0.8179,0.045,1
