x1,x2,x3,label
0.9844,0.9853,0.8844,1
0.169,0.2128,0.0044,0
0.9008,0.0884,0.0001,1
0.0495,0.6907,0.2957,0
0.904,0.6916,0.2117,1
0.4976,0.5293,0.3527,1
0.9855,0.0228,0.8523,1
0.6953,0.2354,0.9847,0
0.6778,0.5409,0.845,1
0.5035,0.9693,0.8865,1
0.6207,0.2395,0.7918,0
0.0688,0.714,0.8411,0
0.8048,0.373,0.0349,1
0.2069,0.4134,0.9457,0
0.1352,0.7123,0.9934,0
0.188,0.2763,0.6973,0
0.1354,0.6986,0.8571,0
0.5271,0.5163,0.3286,1
0.9544,0.5223,0.2683,1
0.8946,0.9507,0.8565,1
0.7042,0.5482,0.3211,1
0.1459,0.0145,0.7046,0
0.0958,0.1438,0.2212,0
0.5551,0.5767,0.6072,1
0.5402,0.1182,0.2122,0
0.7476,0.3014,0.3924,1
0.5119,0.8864,0.5341,1
0.6879,0.59,0.4367,1
0.6801,0.959,0.3124,1
0.4569,0.8788,0.9676,1
0.1308,0.1038,0.1599,0
0.183,0.7773,0.7225,1
0.6172,0.8098,0.8706,1
0.5264,0.2582,0.822,0
0.2113,0.2619,0.1053,0
0.1795,0.6116,0.37,0
0.9016,0.0298,0.8554,0
0.8962,0.4333,0.2771,1
0.8405,0.6976,0.4202,1
0.331,0.7137,0.6623,1
0.818,0.5779,0.0673,1
0.1099,0.5413,0.7496,0
0.4646,0.4016,0.0678,0
0.5585,0.647,0.275,1
0.8857,0.8096,0.0803,1
0.7817,0.425,0.7469,1
0.3875,0.4626,0.8923,0
0.1441,0.7136,0.1389,0
0.8436,0.1915,0.0587,1
0.1868,0.1923,0.959,0
0.9936,0.6422,0.4595,1
0.271,0.7951,0.6176,1
0.881,0.2545,0.9684,1
0.9369,0.7544,0.6902,1
0.6153,0.3767,0.6813,1
0.9336,0.0894,0.1065,1
0.9077,0.7879,0.427,1
0.1091,0.6629,0.0379,0
0.9316,0.7546,0.139,1
0.5978,0.6594,0.573,1
0.563,0.18,0.4795,0
0.6106,0.0163,0.7831,0
0.7371,0.7483,0.9274,1
0.1044,0.8214,0.8771,0
0.1748,0.1371,0.7897,0
0.7904,0.0943,0.0943,0
0.7114,0.2347,0.6715,0
0.0438,0.2214,0.24,0
0.2354,0.8414,0.0153,1
0.8592,0.5409,0.4918,1
0.1462,0.4121,0.9642,0
0.9369,0.6471,0.2265,1
0.4064,0.8405,0.7037,1
0.312,0.1861,0.1617,0
0.9028,0.5619,0.3488,1
0.3003,0.2794,0.0976,0
0.2467,0.4817,0.331,0
0.3346,0.685,0.6708,1
0.033,0.6424,0.8446,0
0.8978,0.869,0.4913,1
