x1,x2,x3,label
0.544,0.6961,0.7626,1
0.5317,0.9206,0.3985,1
0.7308,0.3799,0.6696,1
0.5159,0.3619,0.9883,1
0.0973,0.9464,0.657,0
0.4378,0.5398,0.1831,0
0.3525,0.6874,0.9243,1
0.2439,0.7729,0.4844,0
0.1652,0.5597,0.1044,0
0.7129,0.5186,0.9398,1
0.59,0.5115,0.6331,1
0.3733,0.483,0.0991,0
0.7318,0.1978,0.8785,1
0.0762,0.9293,0.5183,0
0.6201,0.3053,0.8766,1
0.6981,0.4959,0.5375,1
0.6881,0.8724,0.7448,1
0.9373,0.1356,0.9035,1
0.1231,0.3109,0.7563,0
0.7743,0.6613,0.93,1
0.2722,0.3006,0.6566,0
0.5249,0.9426,0.8607,1
0.4926,0.3514,0.6794,0
0.791,0.6959,0.1482,1
0.1344,0.6658,0.3732,0
0.6794,0.6694,0.7068,1
0.3619,0.3851,0.6944,0
0.7267,0.9783,0.3893,1
0.3903,0.3071,0.3181,0
0.9021,0.9808,0.038,1
0.2062,0.4687,0.7915,0
0.9416,0.2528,0.955,1
0.7177,0.5897,0.2052,1
0.7499,0.4245,0.2968,0
0.6522,0.1381,0.9783,1
0.0594,0.6006,0.0807,0
0.9145,0.1845,0.9355,1
0.7811,0.4173,0.8261,1
0.2795,0.2739,0.2304,0
0.9649,0.1552,0.3805,1
0.5682,0.9698,0.1105,1
0.8511,0.2723,0.9214,1
0.8003,0.8275,0.5445,1
0.729,0.6913,0.2067,1
0.8002,0.5576,0.1274,1
0.8523,0.3807,0.4897,1
0.9096,0.1228,0.3508,1
0.2815,0.1107,0.9115,0
0.5421,0.6304,0.2025,0
0.7732,0.9628,0.078,1
0.1058,0.3347,0.2976,0
0.2389,0.9477,0.0209,0
0.3009,0.4914,0.8022,0
0.7972,0.0878,0.4062,0
0.6183,0.2419,0.5613,0
0.2487,0.4463,0.7185,0
0.5022,0.2462,0.0652,0
0.4239,0.2362,0.1772,0
0.552,0.3122,0.6248,0
0.8069,0.9266,0.0218,1
0.6164,0.1296,0.6197,0
0.5713,0.4879,0.2142,0
0.6967,0.4156,0.1684,0
0.208,0.1661,0.2703,0
0.376,0.849,0.5336,1
0.1814,0.1193,0.4928,0
0.5893,0.2034,0.7737,0
0.5343,0.2467,0.2301,0
0.2622,0.8307,0.3633,0
0.7706,0.0393,0.3242,0
0.5647,0.1365,0.9087,0
0.7849,0.5021,0.4873,1
0.9136,0.8338,0.6398,1
0.8115,0.2177,0.5539,1
0.316,0.3256,0.3893,0
0.9771,0.1702,0.9593,1
0.8059,0.1943,0.5963,1
0.8736,0.5918,0.2622,1
0.268,0.9144,0.4633,0
0.5918,0.8417,0.2355,1
0.7804,0.3142,0.5483,1
0.0438,0.5214,0.6503,0
0.6005,0.1915,0.3969,0
0.4998,0.7516,0.5129,1
0.3254,0.1171,0.4342,0
0.5249,0.2951,0.2392,0
0.5343,0.9478,0.8108,1
0.6842,0.6809,0.9849,1
0.7651,0.7699,0.8364,1
0.9216,0.0812,0.0879,0
0.0503,0.9476,0.7993,0
0.7827,0.0122,0.5214,0
0.4083,0.9194,0.2822,0
0.8364,0.7467,0.1179,1
0.0759,0.7496,0.7174,0
0.2893,0.7167,0.9309,0
0.2379,0.3225,0.9005,0
0.1581,0.7091,0.1337,0
0.2726,0.7859,0.9937,1
0.7875,0.8997,0.6764,1
0.735,0.5347,0.857,1
0.6617,0.0288,0.1412,0
0.5449,0.35,0.2836,0
0.85,0.7753,0.3627,1
0.7805,0.0118,0.1029,0
0.3047,0.6819,0.3986,0
0.3373,0.0414,0.4721,0
0.8026,0.3299,0.1245,0
0.9055,0.7936,0.9038,1
0.0503,0.5064,0.7416,0
0.6893,0.1135,0.8887,1
0.0716,0.0339,0.5602,0
0.007,0.4006,0.6386,0
0.989,0.4334,0.5654,1
0.3166,0.6575,0.2391,0
0.5936,0.3904,0.2353,0
0.7323,0.5704,0.631,1
0.0534,0.7646,0.7457,0
0.622,0.3005,0.2443,0
0.1444,0.8369,0.1119,0
0.2278,0.9351,0.2369,0
0.9982,0.0615,0.7656,1
0.8994,0.1415,0.8472,1
0.3342,0.5009,0.4386,0
0.6615,0.5689,0.0526,1
0.6073,0.9463,0.1286,1
0.4769,0.2546,0.2845,0
0.2118,0.1515,0.7392,0
0.0653,0.3448,0.9116,0
0.4981,0.3078,0.2141,0
0.4473,0.3761,0.7995,0
0.5721,0.1833,0.0562,0
0.5378,0.1453,0.6177,0
0.2876,0.5413,0.1511,0
0.7375,0.0846,0.8198,1
0.43,0.468,0.8903,0
0.5121,0.4384,0.38,0
0.1498,0.7824,0.5089,0
0.2599,0.9729,0.2162,0
0.2372,0.5006,0.812,0
0.2397,0.0693,0.9928,0
0.8097,0.1609,0.9731,1
0.7301,0.5281,0.4042,1
0.0578,0.7798,0.0343,0
0.1179,0.7269,0.4249,0
0.2442,0.1533,0.8044,0
0.5029,0.2837,0.4817,0
0.4355,0.7187,0.1985,0
0.6718,0.5271,0.5509,1
0.2544,0.1729,0.0659,0
0.3377,0.2257,0.1886,0
0.5372,0.2786,0.8193,0
0.7114,0.0235,0.9197,0
0.0987,0.9183,0.7802,0
0.1255,0.1055,0.5084,0
0.865,0.9423,0.8467,1
0.3341,0.1814,0.1038,0
0.0538,0.7959,0.0188,0
0.4429,0.4943,0.5751,0
0.723,0.5647,0.7045,1
0.0016,0.4333,0.0945,0
0.0748,0.9013,0.455,0
0.2245,0.2374,0.0005,0
0.378,0.6619,0.2792,0
0.5258,0.9311,0.63,1
0.922,0.8022,0.0905,1
0.7397,0.7989,0.263,1
0.2044,0.2186,0.0188,0
0.6698,0.1432,0.6531,0
0.9978,0.1833,0.0111,1
0.6054,0.4349,0.2601,0
0.0243,0.5183,0.0016,0
0.0935,0.3997,0.2214,0
0.5193,0.2529,0.278,0
0.301,0.4372,0.2063,0
0.4998,0.3155,0.4469,0
0.025,0.439,0.4798,0
0.0881,0.4526,0.7833,0
0.0595,0.3479,0.5733,0
0.9701,0.5003,0.0336,1
