x1,x2,x3,label
0.037,0.3975,0.8645,0
0.0281,0.2377,0.6913,0
0.3097,0.087,0.0764,0
0.7181,0.1224,0.3422,0
0.5463,0.9617,0.9001,1
0.1437,0.357,0.1855,0
0.4334,0.176,0.5124,0
0.5788,0.2158,0.2803,0
0.1362,0.8349,0.0221,1
0.2158,0.5274,0.3138,0
0.5271,0.2435,0.3652,0
0.8714,0.4565,0.1783,1
0.3586,0.6182,0.1578,1
0.607,0.0137,0.8972,0
0.0784,0.5226,0.0166,0
0.9205,0.7173,0.0975,1
0.1475,0.04,0.4841,0
0.1177,0.9297,0.7867,1
0.5308,0.8586,0.1098,1
0.5901,0.9617,0.7227,1
0.4645,0.2278,0.3132,0
0.1408,0.3731,0.318,0
0.983,0.5746,0.56,1
0.02,0.0145,0.0685,0
0.8671,0.7451,0.2589,1
0.6024,0.4467,0.9074,1
0.3226,0.5322,0.4311,0
0.7259,0.0264,0.4723,0
0.3508,0.1159,0.3361,0
0.2063,0.1668,0.5263,0
0.888,0.2679,0.2362,1
0.5494,0.6583,0.3721,1
0.1745,0.567,0.4604,0
0.606,0.5164,0.7557,1
0.1364,0.6173,0.2015,0
0.0265,0.2447,0.0974,0
0.9162,0.1666,0.6659,1
0.5619,0.9446,0.4111,1
0.6372,0.9901,0.0364,1
0.6233,0.5569,0.0124,1
0.4139,0.3426,0.1208,0
0.7826,0.4825,0.3641,1
0.9897,0.3474,0.5907,1
0.0684,0.8335,0.7471,0
0.8799,0.0094,0.0457,0
0.1605,0.318,0.1242,0
0.5609,0.6582,0.621,1
0.1396,0.8,0.6164,0
0.6053,0.7428,0.0512,1
0.9572,0.6044,0.2098,1
0.2013,0.5433,0.4688,0
0.5491,0.7492,0.112,1
0.9134,0.8885,0.3221,1
0.1209,0.2666,0.9433,0
0.5233,0.4734,0.681,1
0.8233,0.5924,0.6075,1
0.2251,0.9636,0.3915,1
0.1781,0.942,0.0497,1
0.5228,0.167,0.6273,0
0.9103,0.5622,0.1904,1
0.5247,0.4842,0.9802,1
0.3691,0.7565,0.6091,1
0.2073,0.6082,0.7864,0
0.9912,0.0974,0.3512,1
0.2429,0.7301,0.9381,1
0.8661,0.7735,0.133,1
0.7534,0.1153,0.7048,0
0.5614,0.0422,0.7564,0
0.8721,0.7364,0.0541,1
0.9687,0.288,0.6903,1
0.5541,0.4178,0.5466,1
0.0844,0.1284,0.9319,0
0.8701,0.5458,0.548,1
0.61,0.1463,0.3116,0
0.2132,0.428,0.4331,0
0.5795,0.7607,0.496,1
0.2432,0.7789,0.6349,1
0.3868,0.7655,0.7479,1
0.0201,0.8787,0.8173,0
0.4688,0.9349,0.7514,1
