x1,x2,x3,label
0.8952,0.839,0.8767,1
0.1219,0.4253,0.3954,0
0.3438,0.2602,0.8559,0
0.8244,0.1118,0.7836,0
0.4302,0.2084,0.127,0
0.9111,0.0379,0.2145,0
0.0798,0.6869,0.44,0
0.7368,0.6796,0.3715,1
0.9614,0.7634,0.3226,1
0.606,0.9961,0.4994,1
0.3478,0.4923,0.1219,0
0.0475,0.085,0.7561,0
0.2394,0.6517,0.2983,0
0.8832,0.7758,0.656,1
0.4938,0.7955,0.4399,1
0.9906,0.9081,0.6527,1
0.8487,0.5611,0.1123,1
0.9728,0.7585,0.4595,1
0.4916,0.8071,0.0389,1
0.4098,0.4412,0.473,0
0.6939,0.3105,0.7689,1
0.507,0.5681,0.4313,1
0.8088,0.235,0.1557,1
0.218,0.0706,0.3715,0
0.1805,0.5371,0.0221,0
0.9597,0.825,0.9428,1
0.8212,0.747,0.7172,1
0.4293,0.6612,0.2528,1
0.172,0.3526,0.8641,0
0.8621,0.392,0.8733,1
0.8692,0.8033,0.5248,1
0.501,0.3893,0.6581,0
0.2596,0.2052,0.5504,0
0.3432,0.7619,0.6924,1
0.318,0.7635,0.2714,1
0.5245,0.6124,0.9776,1
0.6911,0.8358,0.7782,1
0.5096,0.2029,0.7622,0
0.8629,0.7136,0.6034,1
0.6152,0.7078,0.0385,1
0.4859,0.3757,0.8876,0
0.143,0.9186,0.745,1
0.4825,0.6432,0.5856,1
0.6482,0.8098,0.07,1
0.8445,0.4278,0.7615,1
0.6822,0.1646,0.3587,0
0.0669,0.62,0.6287,0
0.7285,0.0943,0.3863,0
0.8371,0.7816,0.0506,1
0.9217,0.2743,0.3063,1
0.2595,0.4254,0.7342,0
0.3133,0.3448,0.4505,0
0.217,0.3425,0.7393,0
0.5508,0.4684,0.1452,1
0.8148,0.8721,0.3508,1
0.485,0.4734,0.4041,1
0.8909,0.3053,0.804,1
0.2054,0.4493,0.8019,0
0.5484,0.5748,0.9369,1
0.0527,0.4445,0.8009,0
0.1493,0.496,0.8813,0
0.9192,0.9159,0.3219,1
0.3292,0.5878,0.699,0
0.7753,0.4279,0.05,1
0.4836,0.9565,0.2917,1
0.5345,0.6668,0.475,1
0.002,0.4748,0.001,0
0.5383,0.1504,0.8246,0
0.7882,0.5262,0.5622,1
0.3746,0.144,0.677,0
0.0746,0.8927,0.2527,1
0.3377,0.778,0.3607,1
0.6244,0.5569,0.6915,1
0.6809,0.9649,0.7869,1
0.6791,0.7649,0.6734,1
0.1757,0.1804,0.8478,0
0.0313,0.7691,0.8444,0
0.8259,0.1901,0.3336,1
0.6973,0.2181,0.1636,0
0.7415,0.2501,0.0133,1
