x1,x2,x3,label
0.1503,0.5995,0.6046,0
0.5201,0.9994,0.7745,1
0.5877,0.3086,0.4112,0
0.0925,0.7765,0.8456,0
0.0604,0.4861,0.9143,0
0.0167,0.7453,0.2107,0
0.7516,0.4892,0.0894,1
0.0229,0.4879,0.1905,0
0.1591,0.552,0.2656,0
0.0336,0.3267,0.4673,0
0.9161,0.7728,0.334,1
0.5078,0.9306,0.61,1
0.1453,0.7571,0.9755,0
0.3868,0.0025,0.8276,0
0.7744,0.097,0.0372,0
0.4988,0.4121,0.2413,0
0.6651,0.4175,0.8229,1
0.9328,0.8583,0.0997,1
0.5354,0.3699,0.634,0
0.5929,0.2023,0.1578,0
0.1154,0.4307,0.0928,0
0.3103,0.435,0.4277,0
0.3343,0.8855,0.4173,1
0.3533,0.6241,0.5999,1
0.4914,0.1373,0.4391,0
0.9129,0.1665,0.5852,1
0.7751,0.5397,0.9704,1
0.1481,0.9786,0.9543,1
0.6057,0.7443,0.7431,1
0.9395,0.7887,0.4193,1
0.5694,0.3736,0.895,0
0.5239,0.9051,0.9156,1
0.0132,0.3359,0.0848,0
0.0788,0.4445,0.2589,0
0.6539,0.4396,0.6039,1
0.6139,0.342,0.1939,1
0.6268,0.7567,0.9771,1
0.3977,0.7578,0.9023,1
0.0357,0.4717,0.996,0
0.6969,0.5322,0.6869,1
0.998,0.247,0.4725,1
0.8517,0.025,0.7015,0
0.1922,0.137,0.4789,0
0.7365,0.5672,0.7661,1
0.7753,0.4677,0.2046,1
0.8552,0.8397,0.1912,1
0.2351,0.09,0.7518,0
0.0158,0.3546,0.1247,0
0.7192,0.9494,0.9664,1
0.916,0.7832,0.3496,1
0.8705,0.3548,0.1638,1
0.6069,0.0918,0.7672,0
0.8324,0.9163,0.1628,1
0.5095,0.4067,0.6565,0
0.814,0.4182,0.699,1
0.9373,0.5644,0.8841,1
0.2134,0.5717,0.5171,0
0.266,0.7155,0.4504,1
0.8149,0.3657,0.1066,1
0.3742,0.4138,0.8842,0
0.1663,0.2437,0.3256,0
0.1485,0.1643,0.0656,0
0.7364,0.4637,0.9316,1
0.9401,0.4255,0.0036,1
0.3326,0.8498,0.8069,1
0.2677,0.4063,0.8291,0
0.1799,0.1373,0.122,0
0.7861,0.9806,0.1677,1
0.2169,0.2595,0.2947,0
0.8195,0.8288,0.0173,1
0.2316,0.2743,0.237,0
0.2776,0.6692,0.281,0
0.0043,0.5224,0.6646,0
0.4281,0.0651,0.3853,0
0.8052,0.8517,0.6877,1
0.8254,0.2209,0.8015,1
0.59,0.4376,0.7988,1
0.2105,0.6533,0.3429,0
0.7804,0.4952,0.1926,1
0.4291,0.1625,0.099,0
