x1,x2,x3,label
0.8794,0.1766,0.6044,1
0.9949,0.6494,0.4278,1
0.832,0.5767,0.2543,1
0.1082,0.6427,0.7521,0
0.9642,0.1545,0.2109,1
0.998,0.5521,0.7184,1
0.0036,0.6546,0.0652,0
0.1259,0.1381,0.9634,0
0.7432,0.6881,0.9238,1
0.8856,0.6617,0.0861,1
0.2722,0.6508,0.7131,0
0.6625,0.9075,0.7585,1
0.2921,0.0587,0.9419,0
0.8491,0.1212,0.2937,1
0.1478,0.1829,0.4149,0
0.1125,0.7051,0.2818,0
0.6487,0.8078,0.624,1
0.3771,0.7294,0.6412,1
0.2714,0.7634,0.209,1
0.7561,0.4854,0.7635,1
0.7271,0.678,0.1138,1
0.9883,0.9186,0.495,1
0.4787,0.7821,0.3557,1
0.9717,0.8172,0.7733,1
0.6895,0.791,0.3185,1
0.8217,0.431,0.407,1
0.0881,0.0068,0.2661,0
0.183,0.8763,0.3189,1
0.821,0.3779,0.1861,1
0.7141,0.3961,0.4887,1
0.6488,0.5844,0.3794,1
0.4221,0.544,0.4331,1
0.2179,0.8036,0.2818,1
0.9132,0.8676,0.7423,1
0.8661,0.7105,0.3484,1
0.7027,0.5631,0.0816,1
0.3259,0.1623,0.3576,0
0.4403,0.5765,0.1474,1
0.2364,0.513,0.97,0
0.2926,0.8454,0.1584,1
0.5509,0.4127,0.9319,1
0.8011,0.6862,0.0953,1
0.3202,0.0568,0.5788,0
0.2675,0.7247,0.7046,1
0.8134,0.3353,0.226,1
0.9111,0.4488,0.8344,1
0.9166,0.6099,0.7455,1
0.4626,0.2676,0.4707,0
0.22,0.8249,0.1585,1
0.7691,0.9657,0.8726,1
0.9675,0.1887,0.5564,1
0.6976,0.4962,0.0036,1
0.3627,0.0468,0.0671,0
0.1929,0.8985,0.8152,1
0.3931,0.3142,0.363,0
0.0393,0.0455,0.2787,0
0.4677,0.7732,0.0137,1
0.3321,0.2985,0.2971,0
0.319,0.6797,0.4042,1
0.2114,0.4961,0.1305,0
0.8739,0.5214,0.8174,1
0.5069,0.0899,0.42,0
0.936,0.2733,0.1036,1
0.1034,0.3666,0.291,0
0.5546,0.5739,0.1394,1
0.0497,0.0598,0.4278,0
0.2713,0.6032,0.9104,0
0.9835,0.1718,0.8595,1
0.1625,0.8507,0.8924,1
0.7876,0.8132,0.5066,1
0.8927,0.8352,0.9318,1
0.1016,0.3564,0.5755,0
0.7134,0.726,0.5456,1
0.5555,0.3861,0.2195,0
0.9308,0.2769,0.327,1
0.8832,0.7729,0.4615,1
0.9044,0.735,0.9292,1
0.9656,0.5497,0.849,1
0.0823,0.473,0.9031,0
0.1288,0.2819,0.4691,0
