x1,x2,x3,label
0.7921,0.4008,0.569,1
0.0588,0.5755,0.6119,0
0.0793,0.8037,0.1817,0
0.0814,0.7867,0.1661,0
0.8327,0.1512,0.0407,1
0.2667,0.1125,0.8448,0
0.77,0.5561,0.3939,1
0.3629,0.0098,0.7634,0
0.0089,0.5051,0.267,0
0.2504,0.551,0.8749,0
0.262,0.5158,0.4477,0
0.098,0.6857,0.3732,0
0.7706,0.5581,0.8289,1
0.9547,0.4319,0.2682,1
0.5469,0.7105,0.4322,1
0.4395,0.8018,0.6774,1
0.8201,0.3726,0.6052,1
0.5488,0.6055,0.4574,1
0.9974,0.4064,0.4331,1
0.6136,0.5363,0.5201,1
0.1488,0.9377,0.4696,1
0.9359,0.1474,0.8756,1
0.641,0.6655,0.0974,1
0.8063,0.5204,0.5955,1
0.4732,0.8586,0.7857,1
0.4182,0.9193,0.4872,1
0.3482,0.0667,0.3753,0
0.4036,0.7384,0.8398,1
0.864,0.2619,0.7701,1
0.7144,0.5331,0.8105,1
0.3945,0.8578,0.7101,1
0.6929,0.1234,0.8512,0
0.9566,0.671,0.4317,1
0.5531,0.099,0.4073,0
0.5078,0.4684,0.1316,1
0.3061,0.7434,0.5816,1
0.8894,0.7987,0.5706,1
0.887,0.4423,0.049,1
0.2393,0.5459,0.9061,0
0.4384,0.3042,0.6449,0
0.5994,0.2439,0.3737,0
0.5498,0.3457,0.6842,0
0.1953,0.3719,0.7002,0
0.348,0.7075,0.0743,1
0.1567,0.517,0.9135,0
0.6969,0.7478,0.6592,1
0.9965,0.9881,0.014,1
0.5406,0.7854,0.1057,1
0.9895,0.1885,0.6027,1
0.5654,0.1022,0.7631,0
0.3427,0.1748,0.9041,0
0.7061,0.0128,0.1535,0
0.0553,0.0223,0.508,0
0.9661,0.8805,0.2641,1
0.2897,0.5878,0.6712,0
0.1451,0.0273,0.6699,0
0.3072,0.377,0.3304,0
0.871,0.0217,0.0765,0
0.8337,0.047,0.854,0
0.0947,0.52,0.957,0
0.7279,0.9259,0.6632,1
0.1681,0.0985,0.7908,0
0.7359,0.6911,0.6765,1
0.1409,0.2772,0.5461,0
0.8471,0.3613,0.3373,1
0.6276,0.1547,0.121,0
0.9366,0.889,0.4801,1
0.6799,0.9735,0.4445,1
0.6955,0.9255,0.6794,1
0.0171,0.7433,0.1495,0
0.0476,0.5882,0.5785,0
0.3609,0.0906,0.8502,0
0.6245,0.0387,0.1556,0
0.0621,0.6868,0.9999,0
0.828,0.5534,0.8418,1
0.1216,0.9584,0.1932,1
0.3405,0.9042,0.061,1
0.0308,0.4247,0.8082,0
0.6248,0.3119,0.8882,0
0.0789,0.0255,0.4614,0
