x1,x2,x3,label
0.1575,0.3054,0.6455,0
0.3257,0.1541,0.0343,0
0.0753,0.7433,0.7468,0
0.8843,0.7965,0.6556,1
0.4681,0.5596,0.8649,1
0.9399,0.3411,0.6135,1
0.5614,0.6492,0.6756,1
0.4046,0.2151,0.5132,0
0.167,0.7871,0.5852,1
0.6431,0.5135,0.4386,1
0.7274,0.2537,0.652,1
0.2869,0.889,0.7776,1
0.9877,0.8732,0.9288,1
0.1271,0.455,0.2812,0
0.6069,0.8012,0.4387,1
0.3713,0.5823,0.8414,1
0.2463,0.3461,0.3031,0
0.5546,0.9605,0.5638,1
0.1149,0.5558,0.083,0
0.3776,0.7708,0.5598,1
0.5242,0.5502,0.102,1
0.6591,0.0651,0.7504,0
0.6777,0.4984,0.1796,1
0.4917,0.7209,0.6233,1
0.4639,0.9031,0.7237,1
0.1009,0.5622,0.9351,0
0.5632,0.8596,0.7052,1
0.9599,0.7303,0.581,1
0.5959,0.1702,0.9404,0
0.3011,0.1202,0.3507,0
0.0328,0.4198,0.7716,0
0.4449,0.8434,0.3928,1
0.356,0.1747,0.1441,0
0.1409,0.1789,0.5491,0
0.9214,0.866,0.0693,1
0.9317,0.8563,0.7072,1
0.2483,0.8037,0.5783,1
0.9521,0.6904,0.8399,1
0.3242,0.2545,0.2985,0
0.1358,0.358,0.1971,0
0.0944,0.0041,0.6283,0
0.1026,0.4084,0.9354,0
0.6043,0.2906,0.623,0
0.2491,0.9271,0.8797,1
0.2157,0.6236,0.184,0
0.8036,0.8711,0.2208,1
0.2774,0.9746,0.4019,1
0.8028,0.9492,0.629,1
0.3802,0.9668,0.0617,1
0.2201,0.5546,0.4573,0
0.0214,0.5929,0.4438,0
0.6732,0.575,0.4379,1
0.209,0.4193,0.566,0
0.3742,0.3435,0.3821,0
0.2856,0.3564,0.5041,0
0.8872,0.6794,0.5155,1
0.0254,0.2931,0.3883,0
0.9146,0.6557,0.9009,1
0.3465,0.0488,0.1304,0
0.9285,0.0997,0.654,1
0.177,0.9943,0.361,1
0.2979,0.3749,0.7678,0
0.0168,0.3341,0.5901,0
0.2938,0.479,0.4186,0
0.1586,0.8374,0.8825,1
0.2269,0.99,0.208,1
0.2599,0.0404,0.7888,0
0.0984,0.39,0.2722,0
0.3292,0.6099,0.1988,0
0.3464,0.3037,0.8486,0
0.1669,0.074,0.4955,0
0.8774,0.6467,0.975,1
0.2135,0.8175,0.8275,1
0.7211,0.8715,0.893,1
0.4025,0.3287,0.6603,0
0.4522,0.7613,0.6466,1
0.9801,0.3244,0.0249,1
0.5659,0.7046,0.1103,1
0.6653,0.5944,0.0113,1
0.1123,0.0647,0.904,0
