x1,x2,x3,label
0.6811,0.9151,0.9395,1
0.2315,0.7887,0.8346,1
0.3408,0.4195,0.711,0
0.447,0.2311,0.6279,0
0.958,0.1736,0.0227,1
0.9314,0.6408,0.5796,1
0.3593,0.9972,0.5529,1
0.3654,0.8642,0.1448,1
0.0457,0.9715,0.6895,1
0.1406,0.3721,0.7173,0
0.4693,0.9168,0.2394,1
0.933,0.1022,0.0145,1
0.0524,0.6454,0.1563,0
0.6029,0.9229,0.8604,1
0.1932,0.0552,0.2454,0
0.9858,0.3133,0.5641,1
0.7297,0.5133,0.0687,1
0.0678,0.7305,0.5563,0
0.1108,0.2525,0.9785,0
0.5495,0.164,0.1336,0
0.2544,0.5228,0.7842,0
0.557,0.6633,0.7635,1
0.2485,0.5903,0.1056,0
0.7,0.4093,0.6512,1
0.6214,0.8944,0.6767,1
0.6912,0.563,0.0467,1
0.7138,0.4068,0.1361,1
0.1053,0.3164,0.7735,0
0.6682,0.1146,0.3944,0
0.9954,0.0988,0.3831,1
0.7507,0.7382,0.1935,1
0.5487,0.5242,0.8495,1
0.9413,0.2014,0.9134,1
0.1997,0.8131,0.4298,1
0.9665,0.1232,0.3687,1
0.5563,0.147,0.7463,0
0.7799,0.6508,0.789,1
0.8624,0.2759,0.2763,1
0.9772,0.2411,0.0342,1
0.4696,0.3569,0.3742,0
0.305,0.648,0.1384,1
0.3603,0.87,0.819,1
0.3495,0.0178,0.91,0
0.5645,0.149,0.0297,0
0.0301,0.4654,0.1947,0
0.6767,0.1809,0.525,0
0.5649,0.4289,0.1257,1
0.2534,0.4505,0.6352,0
0.0222,0.8177,0.6251,0
0.5188,0.6156,0.7574,1
0.5215,0.2282,0.3259,0
0.5711,0.0332,0.1968,0
0.0479,0.8773,0.0843,0
0.2671,0.0886,0.6275,0
0.9703,0.6733,0.829,1
0.7685,0.6326,0.4071,1
0.6257,0.7594,0.5049,1
0.2273,0.7143,0.0531,0
0.5843,0.8798,0.914,1
0.3343,0.1849,0.0659,0
0.1461,0.6086,0.0402,0
0.2433,0.0052,0.0999,0
0.1547,0.934,0.357,1
0.9157,0.9675,0.209,1
0.3941,0.4871,0.6295,0
0.5945,0.6509,0.9888,1
0.6035,0.1501,0.4379,0
0.2205,0.4894,0.1191,0
0.9641,0.1415,0.0503,1
0.7649,0.8769,0.9073,1
0.077,0.0934,0.9053,0
0.2302,0.7053,0.1557,0
0.7365,0.4018,0.1639,1
0.0853,0.4867,0.065,0
0.3106,0.0442,0.2206,0
0.8577,0.8234,0.4351,1
0.6309,0.9508,0.3793,1
0.6317,0.6371,0.9138,1
0.485,0.478,0.214,1
0.1218,0.7584,0.3547,0
