x1,x2,x3,label
0.2856,0.8665,0.1345,1
0.6225,0.0959,0.9067,0
0.6873,0.9166,0.562,1
0.6705,0.2948,0.24,1
0.0266,0.6983,0.6907,0
0.4926,0.4794,0.2614,1
0.9712,0.9299,0.7166,1
0.1912,0.2772,0.6843,0
0.5793,0.916,0.7635,1
0.999,0.3333,0.2591,1
0.8114,0.021,0.1933,0
0.7684,0.9837,0.9424,1
0.6834,0.5551,0.4786,1
0.745,0.2708,0.7511,1
0.9469,0.1114,0.739,1
0.4294,0.6208,0.2258,1
0.3533,0.6686,0.0045,1
0.211,0.6713,0.9733,0
0.9338,0.0616,0.6805,1
0.2421,0.5349,0.2156,0
0.3178,0.6121,0.6597,0
0.3026,0.7026,0.3474,1
0.7363,0.2931,0.9744,1
0.9006,0.597,0.9234,1
0.7309,0.162,0.6718,0
0.7214,0.1445,0.6931,0
0.8569,0.8071,0.3029,1
0.3849,0.2974,0.9306,0
0.472,0.6864,0.5979,1
0.0087,0.7071,0.7285,0
0.733,0.3424,0.9018,1
0.703,0.8132,0.6061,1
0.5027,0.2058,0.7143,0
0.4025,0.4133,0.7164,0
0.7653,0.4554,0.4163,1
0.8866,0.9598,0.8857,1
0.7916,0.8061,0.1631,1
0.6809,0.541,0.8039,1
0.4664,0.3464,0.9911,0
0.5039,0.9219,0.176,1
0.6414,0.366,0.9986,1
0.8395,0.2423,0.6123,1
0.6847,0.2772,0.2198,1
0.9199,0.0531,0.4976,1
0.5746,0.2534,0.8932,0
0.7342,0.3365,0.9933,1
0.6161,0.5596,0.1931,1
0.9162,0.9328,0.3847,1
0.8283,0.7827,0.1908,1
0.1121,0.1629,0.9303,0
0.6106,0.0667,0.3794,0
0.4418,0.9853,0.7577,1
0.356,0.9437,0.7119,1
0.2227,0.1418,0.3776,0
0.091,0.3584,0.2171,0
0.5796,0.2213,0.4138,0
0.8166,0.4453,0.7622,1
0.3331,0.1505,0.237,0
0.6389,0.9993,0.7565,1
0.7162,0.5061,0.9002,1
0.4365,0.5658,0.7147,1
0.845,0.0057,0.4136,0
0.4136,0.2939,0.4438,0
0.0006,0.2951,0.9913,0
0.5182,0.4006,0.574,0
0.3507,0.8384,0.4375,1
0.7407,0.1043,0.9018,0
0.0364,0.9824,0.695,1
0.5669,0.5485,0.2317,1
0.545,0.1523,0.7016,0
0.4126,0.6313,0.5914,1
0.4819,0.5397,0.0907,1
0.9961,0.1967,0.9948,1
0.1502,0.608,0.7435,0
0.9468,0.9349,0.6147,1
0.1681,0.2244,0.5145,0
0.6355,0.4604,0.285,1
0.3027,0.2294,0.3227,0
0.1832,0.1285,0.99,0
0.8123,0.1345,0.2884,0
