x1,x2,x3
49.91,29.71,68.92
32.63,26.04,75.37
54.62,26.9,57.03
57.84,28.74,84.19
59.79,28.77,76.28
38.03,20.09,81.57
45.94,26.64,68.76
47.92,28.33,58.32
60.84,25.25,78.36
54.05,36.67,59.93
38.93,26.93,83.44
45.73,25.45,90.95
52.7,33.92,69.46
55.59,33.23,76.09
61.38,23.95,75.83
46.22,40.83,79.16
61.11,39.95,73.25
63.54,27.02,86.08
32.04,36.14,85.46
44.01,32.95,84.35
50.1,25.98,77.15
40.15,30.49,85.42
43.35,26.4,68.36
54.7,27.62,59.85
49.62,32.5,62.65
53.19,23.56,71.93
54.56,30.1,67.61
48.0,40.54,81.71
52.76,21.83,69.24
47.91,31.16,76.73
48.67,30.86,68.15
57.58,33.45,73.95
54.05,30.95,65.88
41.27,30.02,79.0
61.73,21.08,88.27
38.6,28.04,56.13
44.09,32.67,60.19
27.95,33.55,84.42
46.56,18.52,56.19
49.71,24.07,45.24
37.79,23.8,76.98
39.3,26.12,79.74
54.22,33.81,78.64
47.52,24.57,48.78
51.78,18.95,72.56
53.09,31.62,48.59
57.09,33.82,66.75
49.07,29.62,68.02
32.31,26.17,81.71
66.48,31.49,69.84
46.09,30.6,82.43
43.13,32.14,56.32
47.12,36.17,66.2
59.74,29.88,68.59
65.87,21.78,75.46
59.0,25.82,79.45
57.83,25.21,86.07
52.09,22.15,79.09
63.3,25.25,88.93
53.19,34.48,53.52
47.37,28.23,85.2
52.48,36.55,79.4
46.3,35.83,76.14
62.5,37.34,66.18
54.41,36.23,66.72
45.34,30.33,70.21
50.1,33.68,72.57
36.68,24.57,72.9
46.15,27.11,77.06
43.14,27.13,61.07
49.87,40.79,50.45
61.3,29.78,83.72
45.12,34.69,69.34
39.56,29.82,72.32
45.89,33.7,75.75
36.36,31.55,68.64
50.47,35.38,61.18
48.38,32.88,60.71
58.79,32.8,78.8
51.79,32.26,57.24
62.04,27.22,80.39
60.12,31.73,79.27
71.94,29.49,59.96
57.48,22.63,66.21
51.4,19.33,69.58
55.11,28.31,88.72
55.61,28.84,80.69
60.11,33.04,70.62
49.41,21.27,74.33
46.36,30.59,65.38
60.17,34.86,69.12
44.73,22.38,80.47
60.15,27.23,81.05
60.84,30.56,41.0
67.24,24.25,63.72
52.45,26.14,59.52
50.8,32.31,60.61
55.25,14.94,72.44
54.26,22.34,75.61
58.18,19.19,70.33
34.35,25.38,54.63
48.92,41.15,73.8
59.13,33.57,70.97
44.79,29.62,75.92
59.91,33.97,78.92
48.5,34.71,65.69
75.57,28.82,64.17
71.56,29.85,83.37
43.31,29.56,68.49
53.92,24.86,83.11
61.52,37.5,77.35
48.47,15.28,78.39
42.92,31.0,69.58
55.35,19.9,72.44
45.5,26.6,57.31
40.62,19.63,70.87
48.59,32.08,64.48
62.71,31.26,73.6
35.79,31.88,40.63
63.29,21.43,68.75
