x1,x2,x3,label
0.3026,0.9444,0.3129,1
0.1993,0.012,0.9859,0
0.6715,0.0462,0.6096,0
0.2901,0.1334,0.9799,0
0.6944,0.0623,0.8295,0
0.7445,0.5421,0.8106,1
0.0013,0.2118,0.8586,0
0.9067,0.0733,0.8499,1
0.6622,0.9594,0.4727,1
0.95,0.9334,0.9538,1
0.3969,0.4863,0.8609,0
0.623,0.6226,0.7602,1
0.2706,0.5613,0.581,0
0.6325,0.8516,0.2816,1
0.3243,0.5521,0.8988,0
0.1427,0.0426,0.4763,0
0.0113,0.1156,0.7187,0
0.0751,0.3401,0.4473,0
0.1489,0.2762,0.0961,0
0.2674,0.8096,0.1189,1
0.5753,0.8246,0.3512,1
0.1266,0.113,0.5787,0
0.8028,0.9783,0.7657,1
0.7999,0.4392,0.7051,1
0.7837,0.0685,0.6253,0
0.297,0.6877,0.915,1
0.7374,0.001,0.2225,0
0.2962,0.8958,0.0305,1
0.8461,0.5585,0.357,1
0.5897,0.4535,0.9045,1
0.4072,0.7288,0.3152,1
0.1449,0.0243,0.9358,0
0.4181,0.5226,0.3162,0
0.297,0.2463,0.3346,0
0.9076,0.886,0.3715,1
0.1871,0.8172,0.6144,1
0.4206,0.1137,0.844,0
0.8501,0.9991,0.3712,1
0.059,0.9842,0.0192,1
0.7606,0.6649,0.4579,1
0.7039,0.8462,0.6325,1
0.7681,0.2476,0.8555,1
0.196,0.5272,0.7981,0
0.2131,0.1831,0.1542,0
0.6239,0.1494,0.016,0
0.0052,0.7866,0.2258,0
0.8985,0.4125,0.0829,1
0.8301,0.0957,0.7394,0
0.2648,0.0442,0.3431,0
0.272,0.5805,0.1565,0
0.6521,0.37,0.7629,1
0.6412,0.5217,0.3598,1
0.2318,0.7033,0.0082,0
0.034,0.5872,0.5698,0
0.5963,0.0383,0.3066,0
0.2595,0.5015,0.336,0
0.6143,0.7304,0.7663,1
0.4444,0.7029,0.351,1
0.6338,0.1645,0.5113,0
0.5213,0.7832,0.9798,1
0.6204,0.3954,0.004,1
0.2488,0.9145,0.384,1
0.6344,0.1102,0.7134,0
0.8518,0.4977,0.1909,1
0.8145,0.0382,0.98,0
0.8873,0.9283,0.6254,1
0.4927,0.2761,0.4259,0
0.1369,0.3596,0.6148,0
0.0332,0.5349,0.6814,0
0.877,0.7867,0.4558,1
0.97,0.9252,0.3733,1
0.7035,0.2577,0.1503,1
0.2106,0.51,0.5207,0
0.1728,0.4965,0.139,0
0.4749,0.3611,0.9541,0
0.0005,0.2459,0.2098,0
0.9843,0.9788,0.9117,1
0.9149,0.4184,0.5349,1
0.7052,0.7645,0.4781,1
0.7776,0.8805,0.3964,1
