time,value
1,107.18
2,98.22
3,113.07
4,112.83
5,93.96
6,107.73
7,108.03
8,97.25
9,114.19
10,110.44
11,114.58
12,126.88
13,116.88
14,122.04
15,116.15
16,121.4
17,143.63
18,139.71
19,117.1
20,125.64
21,149.72
22,152.18
23,139.98
24,142.28
25,132.27
26,148.24
27,142.31
28,146.17
29,159.09
30,159.05
31,164.45
32,164.25
33,166.41
34,165.85
35,163.97
36,163.34
37,169.46
38,167.61
39,189.89
40,165.9
41,196.91
42,173.12
43,174.83
44,181.2
45,173.55
46,176.97
47,179.72
48,190.63
49,184.99
50,186.65
51,189.55
52,201.22
53,197.01
54,199.99
55,200.55
56,196.42
57,202.19
58,174.54
59,201.2
60,205.2
