x1,x2,x3,label
0.6431,0.4501,0.982,1
0.1487,0.8681,0.8067,1
0.4195,0.2392,0.7864,0
0.6131,0.7248,0.5197,1
0.0205,0.8318,0.1173,0
0.7504,0.5755,0.9898,1
0.4497,0.4428,0.7443,0
0.5349,0.9115,0.1881,1
0.6817,0.1729,0.6613,0
0.5086,0.2938,0.4393,0
0.48,0.0712,0.4792,0
0.8352,0.785,0.9849,1
0.8721,0.3309,0.4155,1
0.4103,0.9061,0.376,1
0.7444,0.5032,0.3876,1
0.3824,0.9246,0.7175,1
0.9439,0.5934,0.1495,1
0.516,0.8321,0.1116,1
0.4607,0.627,0.4628,1
0.7684,0.9889,0.8179,1
0.0512,0.9355,0.058,1
0.1725,0.3017,0.016,0
0.5156,0.4735,0.6113,1
0.9211,0.5088,0.2088,1
0.2821,0.9336,0.2495,1
0.9779,0.7477,0.4422,1
0.4797,0.9477,0.7877,1
0.3759,0.8524,0.6156,1
0.7441,0.1573,0.9034,0
0.1743,0.296,0.7546,0
0.2874,0.4165,0.1402,0
0.5669,0.686,0.3823,1
0.3641,0.0444,0.7779,0
0.3003,0.599,0.0691,0
0.1341,0.9427,0.907,1
0.8356,0.4645,0.3712,1
0.2228,0.2106,0.3401,0
0.6431,0.4729,0.6365,1
0.196,0.5724,0.1176,0
0.4887,0.1922,0.3133,0
0.1255,0.7907,0.3455,0
0.2157,0.5849,0.2161,0
0.8948,0.5091,0.7821,1
0.7504,0.1478,0.0037,0
0.5927,0.8982,0.2125,1
0.0418,0.6921,0.1697,0
0.2915,0.7551,0.9099,1
0.8637,0.5781,0.8417,1
0.3233,0.6919,0.0151,1
0.4257,0.5524,0.4745,1
0.0155,0.9797,0.1306,1
0.3893,0.3026,0.8182,0
0.5526,0.3603,0.9759,0
0.9071,0.1322,0.2527,1
0.9244,0.6706,0.2909,1
0.1433,0.5936,0.8978,0
0.2748,0.9773,0.2045,1
0.5808,0.0556,0.9273,0
0.5392,0.9484,0.3897,1
0.3686,0.2948,0.8636,0
0.8871,0.2918,0.6815,1
0.6596,0.3854,0.159,1
0.7644,0.5834,0.95,1
0.6957,0.2101,0.4159,0
0.7975,0.0745,0.1372,0
0.2468,0.0998,0.9314,0
0.55,0.012,0.2844,0
0.9922,0.9971,0.0741,1
0.9335,0.7079,0.074,1
0.4122,0.2313,0.4315,0
0.9031,0.9846,0.8263,1
0.4185,0.4103,0.7446,0
0.1616,0.4629,0.0548,0
0.6345,0.0614,0.0811,0
0.2833,0.7377,0.8194,1
0.6497,0.7892,0.529,1
0.708,0.2817,0.451,1
0.7585,0.5242,0.2214,1
0.0958,0.9026,0.344,1
0.8004,0.2055,0.3777,1
