x1,x2,x3,label
0.4367,0.5562,0.4874,1
0.8167,0.3097,0.688,1
0.3684,0.8953,0.7208,1
0.3293,0.7624,0.8182,1
0.216,0.9578,0.6316,1
0.2929,0.9807,0.0697,1
0.3175,0.7261,0.7566,1
0.3459,0.4373,0.846,0
0.6847,0.0877,0.1684,0
0.4708,0.9473,0.761,1
0.7662,0.3947,0.2101,1
0.2627,0.5704,0.5951,0
0.6724,0.4835,0.9871,1
0.5144,0.4541,0.5882,1
0.6255,0.6658,0.4876,1
0.476,0.629,0.3208,1
0.1666,0.6317,0.5956,0
0.544,0.8151,0.3386,1
0.3122,0.6765,0.8722,1
0.1012,0.0266,0.611,0
0.8986,0.0072,0.3858,0
0.048,0.1857,0.7718,0
0.0709,0.3832,0.7305,0
0.3098,0.913,0.0458,1
0.4339,0.6674,0.2379,1
0.5952,0.6471,0.7643,1
0.5466,0.0684,0.2742,0
0.3677,0.3026,0.7551,0
0.1674,0.6518,0.2734,0
0.0164,0.4017,0.9785,0
0.8286,0.3585,0.1314,1
0.5504,0.9688,0.3834,1
0.2788,0.3169,0.3273,0
0.1096,0.5766,0.8729,0
0.0681,0.2093,0.6589,0
0.2926,0.0867,0.8603,0
0.2582,0.4206,0.5519,0
0.3713,0.2827,0.569,0
0.427,0.0493,0.58,0
0.7614,0.9246,0.2172,1
0.462,0.3246,0.2287,0
0.7664,0.973,0.1502,1
0.2952,0.078,0.0475,0
0.1482,0.5112,0.0279,0
0.9902,0.635,0.1227,1
0.2477,0.632,0.0919,0
0.4751,0.6614,0.7964,1
0.1163,0.4552,0.3605,0
0.7616,0.9933,0.0778,1
0.618,0.57,0.9196,1
0.9169,0.5281,0.9196,1
0.7445,0.5934,0.7004,1
0.2928,0.5708,0.2426,0
0.2072,0.0527,0.4602,0
0.1945,0.0111,0.866,0
0.5335,0.238,0.3763,0
0.9364,0.9924,0.9538,1
0.4504,0.5285,0.5285,1
0.4462,0.2152,0.2031,0
0.311,0.5094,0.8823,0
0.2839,0.8359,0.4852,1
0.1981,0.6595,0.9076,0
0.4663,0.9976,0.5051,1
0.0233,0.4337,0.4722,0
0.6118,0.4313,0.4211,1
0.1488,0.2562,0.0674,0
0.3352,0.7893,0.8732,1
0.9252,0.7103,0.1745,1
0.057,0.4813,0.7284,0
0.6318,0.9691,0.5346,1
0.2602,0.1869,0.9834,0
0.2333,0.6928,0.7771,0
0.9977,0.3926,0.3712,1
0.0424,0.8292,0.2639,0
0.4099,0.6377,0.7669,1
0.213,0.3136,0.2091,0
0.1137,0.9927,0.4599,1
0.0311,0.5377,0.4593,0
0.2275,0.2731,0.6738,0
0.9847,0.2531,0.7202,1
