x1,x2,x3,label
0.2805,0.4568,0.4131,0
0.2462,0.7002,0.5549,0
0.0797,0.6744,0.7455,0
0.3139,0.8231,0.0066,1
0.9029,0.6897,0.7588,1
0.55,0.3431,0.1572,0
0.8906,0.7995,0.1614,1
0.7663,0.8575,0.4637,1
0.9631,0.1108,0.6202,1
0.9726,0.6196,0.4124,1
0.8507,0.682,0.4718,1
0.0667,0.1705,0.6142,0
0.1243,0.191,0.2703,0
0.5144,0.158,0.3312,0
0.7379,0.4878,0.7543,1
0.4325,0.4559,0.5633,0
0.5556,0.3028,0.4305,0
0.9359,0.3551,0.8992,1
0.9983,0.6244,0.4102,1
0.5246,0.0674,0.6256,0
0.1681,0.6153,0.0171,0
0.8063,0.5133,0.5868,1
0.3125,0.5784,0.0413,0
0.3485,0.5517,0.3141,0
0.634,0.5942,0.3923,1
0.7428,0.9742,0.01,1
0.2544,0.7438,0.9042,1
0.6561,0.6851,0.8512,1
0.4987,0.8719,0.267,1
0.9575,0.0716,0.8955,1
0.3076,0.9712,0.7113,1
0.4591,0.8168,0.0665,1
0.3887,0.2723,0.7698,0
0.2955,0.3145,0.3935,0
0.3495,0.9389,0.2608,1
0.634,0.1421,0.9841,0
0.0507,0.9341,0.7537,1
0.7137,0.8709,0.1281,1
0.6297,0.6656,0.5409,1
0.3604,0.9718,0.966,1
0.7216,0.7214,0.3719,1
0.6426,0.2194,0.5041,0
0.5776,0.2832,0.3972,0
0.8898,0.6341,0.4476,1
0.4256,0.8495,0.1114,1
0.7011,0.1549,0.741,0
0.6136,0.3639,0.068,1
0.0155,0.0608,0.3221,0
0.4713,0.9527,0.5918,1
0.7986,0.426,0.2866,1
0.9079,0.8628,0.5782,1
0.6771,0.922,0.6321,1
0.8207,0.0057,0.8595,0
0.0574,0.4483,0.7595,0
0.7685,0.9724,0.0648,1
0.2289,0.6174,0.5259,0
0.7596,0.5177,0.2336,1
0.6469,0.5722,0.0708,1
0.1256,0.2538,0.9096,0
0.4145,0.6592,0.6477,1
0.764,0.4827,0.2546,1
0.0411,0.3961,0.9489,0
0.3727,0.9146,0.957,1
0.1001,0.205,0.3331,0
0.0184,0.7217,0.4139,0
0.7117,0.2905,0.3288,1
0.7763,0.1497,0.3079,0
0.6652,0.0603,0.5749,0
0.9626,0.0046,0.2974,1
0.9918,0.4141,0.3514,1
0.1764,0.9952,0.6999,1
0.2574,0.0797,0.4943,0
0.8238,0.8589,0.7389,1
0.8684,0.0937,0.73,1
0.5244,0.7144,0.9742,1
0.3447,0.9136,0.297,1
0.4718,0.1459,0.2349,0
0.3264,0.7847,0.3506,1
0.8088,0.7027,0.8222,1
0.9461,0.9508,0.5926,1
