x1,x2,x3,label
0.6995,0.0078,0.1847,0
0.2646,0.3773,0.3961,0
0.5209,0.1478,0.6646,0
0.4283,0.3322,0.7617,0
0.5007,0.5032,0.1889,1
0.6211,0.3518,0.2901,1
0.6729,0.7622,0.0153,1
0.9043,0.0955,0.1315,1
0.6179,0.6753,0.1467,1
0.5447,0.4731,0.5912,1
0.07,0.1998,0.921,0
0.951,0.0482,0.0085,1
0.8513,0.275,0.5349,1
0.128,0.1738,0.5162,0
0.4354,0.6034,0.6615,1
0.9601,0.44,0.5207,1
0.4736,0.4495,0.894,0
0.5172,0.729,0.8406,1
0.9866,0.6865,0.3066,1
0.6613,0.177,0.195,0
0.8795,0.8179,0.2594,1
0.741,0.2412,0.9146,1
0.3598,0.4501,0.0147,0
0.3584,0.2667,0.5497,0
0.3573,0.1097,0.4648,0
0.5479,0.4777,0.8022,1
0.7519,0.37,0.1266,1
0.8022,0.4375,0.2048,1
0.703,0.3543,0.2021,1
0.0619,0.8909,0.8389,1
0.8195,0.4554,0.9775,1
0.8789,0.3962,0.2298,1
0.3615,0.389,0.8093,0
0.4706,0.8991,0.6686,1
0.4555,0.9142,0.2509,1
0.1397,0.1706,0.3339,0
0.353,0.175,0.9231,0
0.1823,0.2447,0.9253,0
0.9569,0.41,0.6256,1
0.6566,0.9571,0.3183,1
0.9583,0.8677,0.9526,1
0.6805,0.5791,0.1248,1
0.8133,0.1481,0.1718,1
0.9685,0.7043,0.8626,1
0.2475,0.7351,0.0336,1
0.955,0.7354,0.9928,1
0.9644,0.4457,0.9254,1
0.1135,0.7345,0.2229,0
0.0731,0.0484,0.3227,0
0.9435,0.7284,0.8722,1
0.8535,0.7989,0.1759,1
0.0348,0.208,0.186,0
0.5847,0.0006,0.2267,0
0.0267,0.4171,0.3413,0
0.781,0.544,0.1299,1
0.5507,0.488,0.6697,1
0.8805,0.315,0.8264,1
0.0798,0.6095,0.8981,0
0.0102,0.1641,0.8157,0
0.6342,0.3544,0.7496,1
0.5742,0.8539,0.0049,1
0.3177,0.8247,0.1129,1
0.2202,0.2576,0.2843,0
0.5835,0.3206,0.8287,0
0.8679,0.8446,0.5669,1
0.6679,0.2391,0.289,0
0.5131,0.5859,0.9025,1
0.3787,0.1383,0.0861,0
0.7976,0.8829,0.8994,1
0.4411,0.1896,0.3092,0
0.2319,0.3191,0.4888,0
0.4269,0.2626,0.4376,0
0.877,0.1289,0.3684,1
0.101,0.6831,0.621,0
0.9671,0.7088,0.8411,1
0.0602,0.1739,0.0758,0
0.342,0.447,0.0652,0
0.7634,0.1439,0.8512,0
0.2023,0.9617,0.6883,1
0.2033,0.1797,0.5072,0
