x1,x2,x3
45.2,19.41,57.21
52.97,29.04,70.17
44.97,22.46,67.77
40.71,34.57,56.17
47.39,31.26,67.56
52.57,32.26,69.88
49.6,35.24,77.51
40.38,24.36,84.08
57.38,34.11,78.01
56.82,31.4,63.12
44.66,26.81,65.26
46.4,38.88,61.09
49.97,27.37,65.35
52.4,33.65,78.37
68.6,31.8,76.44
57.39,23.17,71.3
67.06,29.58,61.8
49.13,29.72,58.94
51.94,36.58,67.59
51.44,32.83,73.48
51.28,27.59,72.89
49.51,27.33,51.26
51.67,27.65,56.41
47.38,35.27,79.98
46.81,26.31,77.97
43.47,26.33,65.48
42.1,34.94,62.5
51.95,31.08,86.18
49.8,25.2,41.49
54.05,34.79,74.74
32.07,24.74,66.37
51.12,21.94,62.39
54.28,26.7,70.88
48.37,34.23,74.05
53.43,27.2,76.59
55.9,23.47,82.8
53.9,37.21,72.92
55.58,33.55,68.69
59.23,35.06,63.98
43.77,31.62,82.28
50.84,23.89,73.67
43.06,25.73,72.65
45.84,31.43,70.81
62.59,31.27,67.67
50.53,29.92,77.94
51.41,27.35,68.09
49.5,27.71,58.33
45.33,43.02,83.11
48.66,23.35,67.54
49.71,31.39,66.53
45.82,37.77,62.31
43.25,35.3,64.85
48.29,28.11,74.02
47.95,33.43,46.77
40.67,36.91,60.19
52.06,22.81,76.63
57.57,28.45,71.93
53.68,31.97,44.62
41.14,23.15,69.23
52.09,31.14,70.81
51.12,24.13,69.47
44.89,32.24,71.85
48.86,35.11,66.42
42.9,33.76,80.26
52.72,26.29,79.62
29.76,30.4,55.46
62.28,25.54,59.49
51.39,28.57,71.53
40.66,21.92,78.95
47.17,22.28,70.47
39.39,27.61,70.2
40.31,29.62,63.97
49.91,26.5,52.02
56.28,27.58,83.63
47.97,25.75,62.17
39.19,32.5,72.61
57.13,27.76,74.24
50.9,26.37,79.92
58.92,12.76,72.94
44.66,34.02,81.41
41.14,29.97,80.63
46.99,30.74,79.85
51.84,34.11,71.17
36.2,32.42,89.0
50.02,30.85,57.43
45.41,28.27,80.0
53.17,28.17,67.77
53.79,24.84,49.99
51.97,23.55,87.55
44.5,30.29,71.74
52.75,24.56,66.26
56.73,35.64,69.0
44.55,37.11,71.01
54.61,27.52,60.17
49.14,37.11,70.71
50.54,25.0,71.42
59.17,31.34,71.05
56.4,29.93,77.84
46.94,35.28,73.76
43.82,37.4,63.52
59.76,21.26,67.01
43.12,24.57,86.46
56.4,37.36,66.36
55.64,27.99,53.81
39.82,19.97,86.06
40.01,29.42,44.5
54.75,18.01,74.8
39.61,30.76,60.46
47.07,28.79,66.06
30.05,24.02,80.47
60.24,15.12,75.69
43.64,27.77,67.12
59.67,30.72,88.06
47.03,33.08,68.2
41.57,27.79,48.39
59.67,29.13,81.11
40.32,29.92,72.13
43.34,25.37,61.6
53.62,28.89,74.53
45.85,28.96,81.86
