x1,x2,x3,label
0.0045,0.1338,0.8522,0
0.4471,0.9725,0.7659,1
0.3262,0.9858,0.5362,1
0.7083,0.3632,0.2036,1
0.1792,0.2212,0.8379,0
0.9351,0.7024,0.6312,1
0.2864,0.0137,0.808,0
0.0711,0.7405,0.2305,0
0.4518,0.399,0.768,0
0.6808,0.7848,0.0161,1
0.2388,0.3562,0.1134,0
0.7991,0.9852,0.5909,1
0.602,0.1119,0.684,0
0.6063,0.554,0.7414,1
0.7552,0.6475,0.161,1
0.4871,0.812,0.5154,1
0.6506,0.0926,0.3462,0
0.2706,0.8567,0.2651,1
0.3506,0.6391,0.0208,1
0.4816,0.0201,0.4458,0
0.808,0.2577,0.1189,1
0.0749,0.1396,0.3397,0
0.4416,0.5329,0.7883,1
0.6591,0.2367,0.6195,0
0.1419,0.0557,0.0635,0
0.2852,0.5905,0.393,0
0.1639,0.38,0.7301,0
0.4193,0.1383,0.47,0
0.0234,0.7999,0.7442,0
0.1335,0.0426,0.3076,0
0.9414,0.0507,0.8377,1
0.4385,0.4659,0.9621,0
0.4724,0.5179,0.5612,1
0.3248,0.6753,0.3026,1
0.8962,0.0222,0.1062,0
0.1835,0.8787,0.7119,1
0.4991,0.6193,0.3507,1
0.3692,0.2123,0.4272,0
0.2568,0.2273,0.4737,0
0.7895,0.4129,0.8532,1
0.1581,0.6432,0.3927,0
0.7472,0.4441,0.0361,1
0.947,0.2856,0.1733,1
0.8061,0.146,0.5907,1
0.6372,0.0043,0.7697,0
0.9424,0.5057,0.9833,1
0.2062,0.2026,0.8261,0
0.04,0.2835,0.692,0
0.1229,0.8199,0.6164,0
0.6514,0.378,0.8475,1
0.654,0.6243,0.006,1
0.024,0.6163,0.833,0
0.5303,0.2925,0.8781,0
0.1194,0.7771,0.8305,0
0.0187,0.1469,0.8122,0
0.6351,0.255,0.8978,0
0.6636,0.5604,0.4536,1
0.7113,0.9996,0.7676,1
0.5519,0.6147,0.3941,1
0.6193,0.2634,0.4864,0
0.1082,0.7929,0.5657,0
0.4179,0.4531,0.2285,0
0.5773,0.5197,0.4701,1
0.5828,0.9972,0.7747,1
0.8064,0.3595,0.4972,1
0.3983,0.7122,0.4607,1
0.374,0.7656,0.7854,1
0.4967,0.5339,0.171,1
0.0336,0.1586,0.6183,0
0.8619,0.216,0.748,1
0.8765,0.1906,0.4836,1
0.6764,0.2182,0.1286,0
0.6636,0.953,0.9347,1
0.4826,0.7172,0.3109,1
0.6408,0.2957,0.774,0
0.5707,0.6596,0.8038,1
0.7001,0.6671,0.8824,1
0.5973,0.7716,0.0012,1
0.5601,0.4894,0.9856,1
0.2212,0.4621,0.241,0
