x1,x2,x3,label
0.358,0.6174,0.55,0
0.1397,0.1123,0.9484,0
0.6041,0.2779,0.784,0
0.9744,0.4723,0.8355,1
0.7588,0.5623,0.9343,1
0.0309,0.763,0.4918,0
0.4382,0.2665,0.6252,0
0.6135,0.5492,0.3614,0
0.8053,0.15,0.5986,1
0.9004,0.2843,0.635,1
0.6108,0.2106,0.2356,0
0.6869,0.563,0.4951,1
0.0304,0.5762,0.5388,0
0.9083,0.5232,0.5531,1
0.6424,0.8617,0.2816,1
0.4891,0.8924,0.3761,1
0.3805,0.7646,0.637,0
0.6461,0.1,0.6764,0
0.9626,0.7737,0.9146,1
0.0993,0.5867,0.8083,0
0.7749,0.3336,0.0689,0
0.7061,0.6614,0.4316,1
0.6802,0.3332,0.7768,1
0.2433,0.0928,0.2719,0
0.4195,0.5862,0.393,0
0.0162,0.6454,0.5521,0
0.0867,0.6766,0.0055,0
0.8062,0.7293,0.8126,1
0.5901,0.3023,0.1597,0
0.4222,0.5055,0.129,0
0.9629,0.7932,0.9963,1
0.634,0.2159,0.8422,0
0.2686,0.4713,0.817,0
0.8439,0.9456,0.1397,1
0.4534,0.0231,0.5488,0
0.0317,0.986,0.0804,0
0.8254,0.2517,0.0079,0
0.6147,0.8084,0.869,1
0.0435,0.1833,0.9503,0
0.5509,0.0923,0.1555,0
0.4182,0.311,0.0098,0
0.3763,0.2819,0.6263,0
0.5553,0.1232,0.0233,0
0.4105,0.5536,0.7271,1
0.2784,0.1352,0.0151,0
0.5841,0.8979,0.7215,1
0.2418,0.497,0.6807,0
0.7906,0.1322,0.7224,1
0.7951,0.2605,0.7622,1
0.3461,0.318,0.5693,0
0.4386,0.0382,0.4405,0
0.3803,0.5819,0.2351,0
0.6815,0.4727,0.4688,1
0.9783,0.8027,0.5717,1
0.6057,0.1351,0.6791,0
0.6813,0.6265,0.2433,1
0.5028,0.8923,0.1182,1
0.2226,0.7814,0.0424,0
0.0255,0.6895,0.0414,0
0.1674,0.1984,0.7916,0
0.8314,0.906,0.1872,1
0.7294,0.2768,0.909,1
0.1917,0.4387,0.622,0
0.1757,0.7219,0.2385,0
0.5937,0.0469,0.4204,0
0.0839,0.7123,0.4048,0
0.3528,0.8042,0.2188,0
0.234,0.1488,0.9303,0
0.394,0.7971,0.7083,1
0.8137,0.7497,0.1135,1
0.4669,0.5462,0.1774,0
0.1578,0.6831,0.0539,0
0.2106,0.2546,0.8525,0
0.2291,0.9196,0.1189,0
0.8774,0.9479,0.6941,1
0.9786,0.9882,0.1548,1
0.5986,0.0521,0.0596,0
0.8943,0.9475,0.8141,1
0.2753,0.7169,0.7113,0
0.8548,0.8385,0.5914,1
0.1247,0.0281,0.6713,0
0.3406,0.7112,0.6612,1
0.4755,0.04,0.0124,0
0.5224,0.4194,0.3365,0
