x1,x2,x3,label
0.4308,0.7299,0.0702,1
0.9203,0.536,0.8259,1
0.9215,0.9251,0.5262,1
0.5743,0.077,0.37,0
0.1632,0.4186,0.8196,0
0.048,0.0343,0.5547,0
0.0378,0.2235,0.6009,0
0.499,0.9836,0.5643,1
0.43,0.7041,0.0356,1
0.6348,0.6335,0.0024,1
0.1751,0.1658,0.3802,0
0.1343,0.2975,0.644,0
0.0302,0.2812,0.9797,0
0.1971,0.885,0.6872,1
0.3941,0.3838,0.7712,0
0.8392,0.6057,0.4632,1
0.4926,0.6332,0.4191,1
0.9188,0.5803,0.759,1
0.3628,0.8324,0.7125,1
0.9893,0.2876,0.7119,1
0.155,0.3233,0.8069,0
0.3702,0.5356,0.3292,0
0.0762,0.789,0.86,0
0.1768,0.9162,0.4556,1
0.9766,0.1907,0.5008,1
0.9394,0.1099,0.8236,1
0.177,0.325,0.4295,0
0.0602,0.7457,0.7481,0
0.182,0.8369,0.6778,1
0.0155,0.7282,0.6011,0
0.0765,0.9769,0.6252,1
0.3468,0.4632,0.3117,0
0.6773,0.7683,0.8903,1
0.3333,0.751,0.3493,1
0.7871,0.0959,0.2649,0
0.7731,0.7126,0.446,1
0.8408,0.7668,0.067,1
0.298,0.7396,0.0504,1
0.763,0.1505,0.2443,0
0.7771,0.198,0.5668,1
0.6393,0.6209,0.0236,1
0.3728,0.0636,0.7514,0
0.9406,0.225,0.457,1
0.6324,0.6799,0.9769,1
0.8297,0.4281,0.7322,1
0.789,0.4578,0.6107,1
0.6501,0.6707,0.2477,1
0.7377,0.5558,0.7138,1
0.4945,0.3953,0.3708,0
0.5146,0.5342,0.3055,1
0.9635,0.1661,0.2063,1
0.6484,0.3838,0.3601,1
0.8718,0.3613,0.9488,1
0.846,0.5259,0.087,1
0.4672,0.5987,0.4767,1
0.6864,0.7341,0.8712,1
0.6148,0.1262,0.9628,0
0.4779,0.2253,0.1716,0
0.7623,0.3346,0.4366,1
0.5748,0.7527,0.4861,1
0.0561,0.8804,0.7991,0
0.1319,0.5685,0.876,0
0.1443,0.3938,0.1542,0
0.9146,0.2686,0.7753,1
0.8358,0.3485,0.8892,1
0.8324,0.7598,0.7623,1
0.5507,0.4381,0.6445,1
0.8858,0.4749,0.9946,1
0.5508,0.9068,0.3172,1
0.566,0.8306,0.9431,1
0.4778,0.8388,0.0649,1
0.899,0.6705,0.9038,1
0.2912,0.6977,0.4881,1
0.3656,0.4461,0.1355,0
0.9882,0.7868,0.255,1
0.9682,0.1627,0.2305,1
0.9206,0.6834,0.1486,1
0.3312,0.2248,0.2965,0
0.9934,0.4814,0.1845,1
0.9647,0.8304,0.7983,1
