x1,x2,x3,label
0.5706,0.4656,0.462,1
0.8289,0.405,0.8813,1
0.1585,0.7516,0.9925,0
0.6783,0.9499,0.441,1
0.1478,0.9764,0.4782,1
0.5366,0.5498,0.642,1
0.7457,0.5451,0.0283,1
0.0134,0.9263,0.9846,0
0.0928,0.55,0.4289,0
0.9696,0.4197,0.6415,1
0.6782,0.2969,0.161,1
0.6849,0.5614,0.2085,1
0.4092,0.2194,0.707,0
0.5658,0.1697,0.6743,0
0.6576,0.4613,0.9101,1
0.2217,0.5023,0.079,0
0.3234,0.1332,0.916,0
0.0412,0.36,0.9099,0
0.2674,0.2491,0.0774,0
0.2108,0.9733,0.9896,1
0.1096,0.1087,0.691,0
0.9422,0.4745,0.6662,1
0.664,0.7696,0.9411,1
0.7489,0.5725,0.4621,1
0.324,0.9536,0.4999,1
0.1474,0.6777,0.2951,0
0.7609,0.1577,0.8173,0
0.213,0.4417,0.9152,0
0.3729,0.301,0.1027,0
0.9847,0.3794,0.0177,1
0.3567,0.5958,0.1759,1
0.1411,0.0752,0.5997,0
0.197,0.3267,0.2852,0
0.9326,0.5735,0.0704,1
0.3008,0.4696,0.2781,0
0.2433,0.9867,0.3859,1
0.128,0.6665,0.8722,0
0.354,0.1164,0.5568,0
0.8685,0.8048,0.0286,1
0.2673,0.9313,0.4748,1
0.5275,0.6525,0.4627,1
0.0424,0.6108,0.5453,0
0.7185,0.332,0.9129,1
0.0393,0.328,0.6536,0
0.9112,0.8303,0.9879,1
0.1493,0.7455,0.0479,0
0.0741,0.7258,0.3703,0
0.3881,0.6474,0.7942,1
0.4641,0.4541,0.6851,0
0.7233,0.5874,0.7396,1
0.9961,0.2542,0.1102,1
0.6084,0.8865,0.8729,1
0.7933,0.1167,0.0324,0
0.4654,0.8267,0.0121,1
0.3924,0.3489,0.3139,0
0.5858,0.7062,0.9681,1
0.2958,0.3731,0.3719,0
0.9754,0.3558,0.339,1
0.3444,0.489,0.9861,0
0.5936,0.574,0.1254,1
0.903,0.5427,0.5447,1
0.2527,0.8082,0.3781,1
0.8876,0.9064,0.2569,1
0.1213,0.0513,0.7008,0
0.0059,0.7176,0.8673,0
0.0997,0.8726,0.5817,1
0.565,0.5042,0.5006,1
0.2404,0.8576,0.005,1
0.244,0.2987,0.7721,0
0.3974,0.0847,0.8062,0
0.9315,0.9479,0.9897,1
0.969,0.6345,0.6734,1
0.8271,0.939,0.1897,1
0.9764,0.5581,0.4227,1
0.7397,0.8141,0.841,1
0.4061,0.4792,0.6049,0
0.8979,0.9147,0.653,1
0.6074,0.5263,0.0686,1
0.4882,0.5392,0.3766,1
0.2571,0.7622,0.8806,1
