x1,x2,x3,label
0.3911,0.0504,0.9519,0
0.5829,0.1341,0.1593,0
0.6019,0.9094,0.904,1
0.4582,0.2754,0.3603,0
0.7953,0.8099,0.6637,1
0.451,0.9866,0.6289,1
0.7059,0.3637,0.5583,1
0.4442,0.8048,0.3061,1
0.0493,0.5336,0.3118,0
0.3693,0.8501,0.4844,1
0.5341,0.0144,0.4799,0
0.9968,0.7281,0.8095,1
0.6142,0.0629,0.7915,0
0.8187,0.8929,0.1217,1
0.7997,0.9731,0.463,1
0.888,0.0122,0.1998,0
0.5178,0.6802,0.3167,1
0.3113,0.6948,0.7513,1
0.5106,0.2486,0.105,0
0.7682,0.6342,0.5903,1
0.1138,0.2624,0.1373,0
0.742,0.0795,0.9322,0
0.9678,0.5704,0.5063,1
0.5701,0.6387,0.0878,1
0.0888,0.2022,0.1515,0
0.1528,0.7986,0.5128,1
0.764,0.4958,0.2328,1
0.6768,0.9776,0.9592,1
0.3764,0.4934,0.3918,0
0.3587,0.8297,0.9385,1
0.6224,0.2329,0.5618,0
0.6665,0.9768,0.5977,1
0.912,0.2426,0.407,1
0.7512,0.372,0.3574,1
0.403,0.5422,0.2018,0
0.2736,0.5418,0.659,0
0.6997,0.5327,0.967,1
0.2468,0.0319,0.262,0
0.8115,0.0449,0.1708,0
0.8447,0.4426,0.2948,1
0.1804,0.1285,0.1986,0
0.0682,0.8229,0.6338,0
0.6982,0.1781,0.4335,0
0.9761,0.6248,0.8714,1
0.3471,0.9079,0.6588,1
0.5737,0.783,0.0845,1
0.7632,0.6405,0.3371,1
0.4475,0.333,0.2382,0
0.523,0.2901,0.3367,0
0.3203,0.6583,0.0807,1
0.5849,0.6375,0.0541,1
0.829,0.9622,0.3275,1
0.0007,0.6612,0.8462,0
0.244,0.4643,0.2975,0
0.7387,0.835,0.8667,1
0.2377,0.724,0.2164,1
0.6797,0.2769,0.1649,1
0.6616,0.1642,0.0466,0
0.7348,0.1244,0.4929,0
0.6406,0.7418,0.666,1
0.2974,0.3698,0.9377,0
0.8781,0.9267,0.1816,1
0.9049,0.9301,0.2579,1
0.8769,0.1146,0.4885,1
0.8504,0.9864,0.0652,1
0.2699,0.4916,0.9285,0
0.5969,0.5444,0.904,1
0.5758,0.0336,0.2137,0
0.2317,0.1039,0.3302,0
0.746,0.4053,0.0387,1
0.4482,0.4489,0.0903,0
0.3823,0.0304,0.9988,0
0.7644,0.2585,0.4961,1
0.6685,0.9632,0.006,1
0.5695,0.3845,0.2645,1
0.799,0.1335,0.8305,0
0.2549,0.5238,0.4629,0
0.4575,0.5879,0.2314,1
0.5316,0.4218,0.5952,1
0.5706,0.2454,0.9945,0
