x1,x2,x3,label
0.4196,0.9797,0.4272,1
0.021,0.4115,0.5801,0
0.6256,0.3777,0.2883,1
0.2423,0.8488,0.3197,1
0.3351,0.0219,0.1981,0
0.5151,0.5918,0.1073,1
0.1879,0.1703,0.3299,0
0.575,0.8064,0.158,1
0.5686,0.4759,0.508,1
0.6509,0.2848,0.1248,0
0.9376,0.0224,0.809,1
0.2486,0.6599,0.5707,0
0.9122,0.7037,0.8547,1
0.4439,0.1798,0.9382,0
0.3416,0.7511,0.2822,1
0.3562,0.5559,0.3685,0
0.9687,0.1604,0.9639,1
0.3777,0.364,0.6476,0
0.968,0.2099,0.656,1
0.9146,0.5309,0.1425,1
0.7076,0.5746,0.0264,1
0.4054,0.3357,0.0989,0
0.0956,0.212,0.7669,0
0.6366,0.3173,0.8736,1
0.3647,0.862,0.7337,1
0.6144,0.2593,0.873,0
0.1454,0.3777,0.2469,0
0.831,0.2817,0.1531,1
0.1514,0.4019,0.1664,0
0.5689,0.9129,0.4281,1
0.2726,0.4611,0.3506,0
0.0481,0.4461,0.8062,0
0.7101,0.8736,0.0294,1
0.4709,0.441,0.6059,0
0.2566,0.0722,0.8302,0
0.4546,0.0265,0.8,0
0.9835,0.8722,0.9116,1
0.5283,0.7229,0.8694,1
0.3793,0.0043,0.5411,0
0.4593,0.8853,0.6312,1
0.9367,0.8122,0.9143,1
0.3786,0.8387,0.0714,1
0.1577,0.1457,0.6454,0
0.4986,0.562,0.4406,1
0.8299,0.3319,0.9078,1
0.8147,0.5094,0.2047,1
0.4286,0.1211,0.5701,0
0.4496,0.2681,0.3398,0
0.1732,0.3807,0.1701,0
0.1002,0.6633,0.5056,0
0.5788,0.76,0.8549,1
0.7675,0.1071,0.2693,0
0.6434,0.201,0.567,0
0.3079,0.8111,0.6199,1
0.6959,0.4642,0.4995,1
0.2644,0.9655,0.275,1
0.1693,0.6363,0.4775,0
0.507,0.2858,0.6458,0
0.3587,0.5137,0.7689,0
0.0099,0.8525,0.185,0
0.5139,0.9834,0.2488,1
0.7767,0.7909,0.4245,1
0.233,0.708,0.3898,0
0.2072,0.5828,0.5493,0
0.1388,0.6396,0.3526,0
0.1387,0.7887,0.8615,0
0.1973,0.7669,0.9739,1
0.4978,0.0179,0.3617,0
0.1089,0.9857,0.3888,1
0.461,0.2854,0.1703,0
0.3644,0.1764,0.3268,0
0.5462,0.2412,0.7766,0
0.3401,0.3427,0.047,0
0.1475,0.2557,0.0958,0
0.343,0.9207,0.1568,1
0.6557,0.8777,0.666,1
0.1754,0.201,0.7691,0
0.8448,0.743,0.0939,1
0.7512,0.1324,0.3322,0
0.2979,0.1598,0.2043,0
