x1,x2,x3,label
0.4895,0.153,0.7355,0
0.5601,0.6625,0.3368,1
0.6848,0.6815,0.1245,1
0.8242,0.6626,0.249,1
0.6717,0.0396,0.7043,0
0.8654,0.2979,0.5518,1
0.7364,0.4348,0.416,1
0.0109,0.6713,0.797,0
0.9874,0.6918,0.3617,1
0.935,0.7927,0.537,1
0.3093,0.031,0.6092,0
0.711,0.4236,0.8564,1
0.078,0.9518,0.4067,1
0.3596,0.5657,0.6642,0
0.2255,0.8359,0.1357,1
0.3923,0.041,0.0312,0
0.1695,0.4131,0.0969,0
0.776,0.6966,0.2684,1
0.5282,0.3012,0.0547,0
0.4787,0.1438,0.6578,0
0.9562,0.3958,0.4883,1
0.5048,0.6456,0.3002,1
0.793,0.4634,0.2357,1
0.3976,0.7983,0.5693,1
0.4198,0.1886,0.0206,0
0.3683,0.5788,0.5989,0
0.1022,0.9581,0.8189,1
0.6112,0.4663,0.8864,1
0.6319,0.4542,0.3197,1
0.9748,0.256,0.5943,1
0.0382,0.393,0.0066,0
0.0108,0.256,0.0115,0
0.86,0.1898,0.2828,1
0.7512,0.4303,0.2567,1
0.3485,0.4726,0.9577,0
0.2751,0.8306,0.1939,1
0.9865,0.486,0.6751,1
0.0143,0.9501,0.4334,1
0.3078,0.3726,0.7643,0
0.0719,0.2416,0.9334,0
0.6009,0.9091,0.0683,1
0.5211,0.5203,0.689,1
0.6987,0.3195,0.1149,1
0.1856,0.5169,0.1785,0
0.7159,0.5071,0.2666,1
0.2548,0.2315,0.575,0
0.5984,0.9847,0.042,1
0.9232,0.4911,0.3997,1
0.3717,0.7631,0.6611,1
0.7747,0.6165,0.5428,1
0.6364,0.4671,0.9962,1
0.4537,0.5969,0.8176,1
0.0809,0.0127,0.3848,0
0.2301,0.3925,0.735,0
0.7205,0.1427,0.1572,0
0.9254,0.8248,0.7729,1
0.884,0.1231,0.1029,1
0.3694,0.465,0.6358,0
0.2346,0.6881,0.0563,0
0.6938,0.2247,0.041,0
0.5969,0.157,0.6918,0
0.1982,0.2684,0.5102,0
0.7671,0.0935,0.1937,0
0.9878,0.9185,0.7822,1
0.2203,0.506,0.1931,0
0.1158,0.9904,0.3799,1
0.8946,0.8787,0.3173,1
0.4195,0.2826,0.4153,0
0.037,0.9874,0.6889,1
0.0954,0.9104,0.4713,1
0.9106,0.4716,0.8881,1
0.481,0.3674,0.0608,0
0.2055,0.0568,0.4047,0
0.8165,0.3233,0.3813,1
0.656,0.4671,0.134,1
0.7448,0.1007,0.7781,0
0.426,0.0445,0.7405,0
0.7544,0.5243,0.8292,1
0.8991,0.1072,0.8007,1
0.5666,0.6002,0.6725,1
